iter,beta,beta_omega,volume,N_pre,N_trial,drho_norm,drho_max,step_alpha,inner_iters,inner_cpu_time,inner_converged,omega_pre_1,omega_pre_2,omega_pre_3,omega_pre_4,omega_post_1,omega_post_2,omega_post_3,omega_post_4
1,66866.719,258.5859992,0.4997223494,1,1,0.4645177467,0.4999977733,1,30,1.21991,0,145.9675547,364.2686531,622.6850533,643.8147501,0.08838571492,0.150503794,0.2113247238,0.3525081746
2,20.72968127,4.552985973,0.3920442797,1,2,0.8274031035,0.998977628,1,30,0.27068,0,0.08838571492,0.150503794,0.2113247238,0.3525081746,17.88411109,17.88421406,92.67597161,92.67601054
3,6740.772531,82.10220783,0.3583990182,2,1,0.7298638603,0.9989743989,1,30,1.23226,0,17.88411109,17.88421406,92.67597161,92.67601054,0.2253184474,0.5004992349,0.800172701,203.5514939
4,117.2029343,10.8260304,0.4692478795,1,1,0.7572225178,0.9989999443,1,30,0.288894,0,0.2253184474,0.5004992349,0.800172701,203.5514939,14.6001843,16.09255983,87.07769994,91.99160992
5,4733.690281,68.80181888,0.399963893,1,1,0.7414113388,0.9989503003,1,30,0.848875,0,14.6001843,16.09255983,87.07769994,91.99160992,58.35053251,200.4602077,278.2438719,453.8292155
6,84268.94558,290.2911393,0.4995154295,1,1,0.6594043878,0.997733979,1,30,1.05036,0,58.35053251,200.4602077,278.2438719,453.8292155,0.1053213821,0.3649530947,0.5045215987,258.8953549
7,25.5933063,5.058982733,0.4089860814,1,1,0.8605748104,0.9989999822,1,30,0.346521,0,0.1053213821,0.3649530947,0.5045215987,258.8953549,2.304655406,20.64877126,28.45410301,175.8571739
8,261.9788207,16.18575981,0.4998275569,1,1,0.900577402,0.9989931366,1,30,1.32253,0,2.304655406,20.64877126,28.45410301,175.8571739,0.05056900574,0.1206010219,0.1602667555,308.6900617
9,6.951543363,2.636577964,0.4768421127,1,1,0.9092381205,0.9989999683,1,30,0.244539,0,0.05056900574,0.1206010219,0.1602667555,308.6900617,1.937942493,18.0091379,22.33969125,204.7327662
10,192.5410317,13.87591552,0.4999602596,1,1,0.9524998132,0.9989929433,1,30,0.820104,0,1.937942493,18.0091379,22.33969125,204.7327662,0.03793747542,0.09918602383,0.1462533185,359.2784018
11,3.900596868,1.974992878,0.498823514,1,1,0.9788091851,0.9989998025,1,30,0.836153,0,0.03793747542,0.09918602383,0.1462533185,359.2784018,0.08568601435,0.420125749,0.5152280358,904.162944
12,12.8320745,3.582188507,0.4931607999,1,1,0.9746409,0.9989853586,1,30,0.76987,0,0.08568601435,0.420125749,0.5152280358,904.162944,0.3157546621,1.856537069,2.950797096,414.2520456
13,36.37451751,6.031129041,0.4991523263,1,1,0.9620486244,0.9989971894,1,30,0.307896,0,0.3157546621,1.856537069,2.950797096,414.2520456,1.04596125,9.997171188,12.94086108,417.0980006
14,85.50981859,9.247151918,0.4838505016,1,1,0.9566306173,0.9989885157,1,30,0.701322,0,1.04596125,9.997171188,12.94086108,417.0980006,2.900789808,17.21777601,27.73524718,463.9684082
15,631.9953377,25.13951745,0.4988052672,1,1,0.9716986985,0.9989884182,1,30,0.56128,0,2.900789808,17.21777601,27.73524718,463.9684082,0.2093210772,1.925301118,2.300320899,1047.894361
16,13.03340057,3.61018013,0.499125682,1,1,0.9833995655,0.9989998888,1,30,0.963439,0,0.2093210772,1.925301118,2.300320899,1047.894361,0.09609971179,0.5418467828,0.8323519381,458.2022295
17,9.437796628,3.07209971,0.4951787643,1,1,0.9863436503,0.9989998525,1,30,0.32858,0,0.09609971179,0.5418467828,0.8323519381,458.2022295,0.06299229271,0.4738432477,0.5793909923,1121.279726
18,5.491949958,2.343490977,0.4983182552,1,1,0.9821744995,0.9989997566,1,30,0.764573,0,0.06299229271,0.4738432477,0.5793909923,1121.279726,0.03660739841,0.1023390683,0.1495595188,499.5059853
19,3.519829338,1.876120822,0.4970024168,1,1,0.9842504051,0.9989898737,1,30,0.247577,0,0.03660739841,0.1023390683,0.1495595188,499.5059853,0.0318673348,0.0854578237,0.1006039909,1263.086717
20,2.488405342,1.577468016,0.4998166172,1,1,0.9895727861,0.9989998688,1,30,0.227442,0,0.0318673348,0.0854578237,0.1006039909,1263.086717,0.03277600112,0.08832206384,0.1274704872,538.0185606
21,2.942125317,1.715262463,0.4956899115,1,1,0.9889103906,0.9989920157,1,30,0.227094,0,0.03277600112,0.08832206384,0.1274704872,538.0185606,0.03218899734,0.09297715284,0.1085109082,1410.749266
22,2.536790522,1.592730524,0.4998391142,1,1,0.9895688214,0.9989892438,1,30,0.246937,0,0.03218899734,0.09297715284,0.1085109082,1410.749266,0.03185969436,0.0876109347,0.1245964006,581.548736
23,2.780698615,1.667542687,0.4955714302,1,1,0.9889967941,0.9989963665,1,30,0.229535,0,0.03185969436,0.0876109347,0.1245964006,581.548736,0.02989371116,0.08289884382,0.09560489237,1592.077377
24,2.22021118,1.490037308,0.4997124432,1,1,0.9892097937,0.998989907,1,30,0.224223,0,0.02989371116,0.08289884382,0.09560489237,1592.077377,0.0306286446,0.085142579,0.1154389476,624.5613868
25,2.576878513,1.60526587,0.4989696414,1,1,0.9885691645,0.9989980051,1,30,0.217118,0,0.0306286446,0.085142579,0.1154389476,624.5613868,0.02484330233,0.06333992231,0.07340593373,1645.884458
26,1.683711231,1.297578988,0.4990237155,1,1,0.9865585897,0.998990639,1,30,0.216867,0,0.02484330233,0.06333992231,0.07340593373,1645.884458,0.03011406927,0.08663176599,0.1198612515,648.941769
27,2.485640781,1.576591507,0.4988940435,1,1,0.9828961119,0.9989900493,1,30,0.223643,0,0.03011406927,0.08663176599,0.1198612515,648.941769,0.02475584062,0.06327377416,0.0727430415,1817.772771
28,1.660962398,1.288783302,0.4993402825,1,1,0.9845897711,0.9989900504,1,30,0.215206,0,0.02475584062,0.06327377416,0.0727430415,1817.772771,0.0295113504,0.0879059995,0.1202583379,707.3042832
29,2.381137683,1.543093543,0.4990455508,1,1,0.9832585487,0.9989900706,1,30,0.229207,0,0.0295113504,0.0879059995,0.1202583379,707.3042832,0.02445929562,0.06280221806,0.07158803889,1729.990027
30,1.623427292,1.274137862,0.4986660707,1,1,0.9817322708,0.9989900711,1,30,0.211619,0,0.02445929562,0.06280221806,0.07158803889,1729.990027,0.0289252651,0.08991408228,0.122602013,770.3001698
31,2.281790526,1.510559673,0.4991721687,1,1,0.982102292,0.9989897542,1,30,0.226082,0,0.0289252651,0.08991408228,0.122602013,770.3001698,0.0242799298,0.06284217439,0.0715059215,1656.588076
32,1.59668018,1.263598109,0.4988322086,1,1,0.98159913,0.9989897548,1,30,0.222053,0,0.0242799298,0.06284217439,0.0715059215,1656.588076,0.02871966584,0.09468394546,0.1294538085,835.6461333
33,2.228720823,1.492890091,0.4989887756,1,1,0.9820122853,0.9989897983,1,30,0.229111,0,0.02871966584,0.09468394546,0.1294538085,835.6461333,0.02379080732,0.06234919626,0.07095584226,1585.056376
34,1.534766847,1.238857073,0.4992787425,1,1,0.9816931548,0.9989897986,1,30,0.212897,0,0.02379080732,0.06234919626,0.07095584226,1585.056376,0.02798320702,0.09585491143,0.1295530476,922.7650499
35,2.129727604,1.459358628,0.4980426906,1,1,0.9845668135,0.9989901659,1,30,0.224439,0,0.02798320702,0.09585491143,0.1295530476,922.7650499,0.02335941002,0.06162322242,0.07041777843,1520.880691
36,1.489777413,1.220564383,0.4986727993,1,1,0.9844722592,0.9989901661,1,30,0.209468,0,0.02335941002,0.06162322242,0.07041777843,1520.880691,0.02769044332,0.09736656445,0.1260105897,1012.168476
37,2.066793721,1.437634766,0.4994170772,1,1,0.987613221,0.9989994038,1,30,0.238187,0,0.02769044332,0.09736656445,0.1260105897,1012.168476,0.02326017388,0.06198979814,0.07143439721,1470.377274
38,1.476504073,1.215114839,0.4967135085,1,1,0.9844584801,0.9989902532,1,30,0.206799,0,0.02326017388,0.06198979814,0.07143439721,1470.377274,0.02922838494,0.1126020604,0.1476575579,1119.744345
39,2.226454855,1.492130978,0.498919904,1,1,0.9914797827,0.998998478,1,30,0.249565,0,0.02922838494,0.1126020604,0.1476575579,1119.744345,0.02218297248,0.0594824924,0.06655875838,1427.711504
40,1.358760338,1.165658757,0.4978982256,1,1,0.9893493816,0.9989917621,1,30,0.22042,0,0.02218297248,0.0594824924,0.06655875838,1427.711504,0.02766420176,0.1057951776,0.1444539032,1136.081874
41,2.056748946,1.434137004,0.4992386923,1,1,0.9873624833,0.998989739,1,30,0.237535,0,0.02766420176,0.1057951776,0.1444539032,1136.081874,0.022863492,0.06249501544,0.07224226536,1401.611187
42,1.421795037,1.192390472,0.4975683521,1,1,0.9888795459,0.9989897391,1,30,0.224896,0,0.022863492,0.06249501544,0.07224226536,1401.611187,0.02776167637,0.1099219024,0.1457069614,1200.541695
43,2.053558985,1.433024419,0.4993113548,1,1,0.9927930075,0.9989904326,1,30,0.242924,0,0.02776167637,0.1099219024,0.1457069614,1200.541695,0.02243769926,0.06148251923,0.07019609146,1376.042478
44,1.37821928,1.173975843,0.4971585057,1,1,0.9899621282,0.9989904327,1,30,0.213277,0,0.02243769926,0.06148251923,0.07019609146,1376.042478,0.03134226809,0.1360550773,0.1763305102,1264.087319
45,2.452015898,1.565891407,0.4989458457,1,1,0.9888326619,0.9989979965,1,30,0.254949,0,0.03134226809,0.1360550773,0.1763305102,1264.087319,0.0219622027,0.06218406147,0.07232264825,1361.375878
46,1.310824,1.144912224,0.4977068986,1,1,0.9870822229,0.9989995244,1,30,0.222812,0,0.0219622027,0.06218406147,0.07232264825,1361.375878,0.028029542,0.1117775082,0.1437484509,1339.157405
47,2.077068725,1.441203915,0.4991202285,1,1,0.9885639619,0.9989900515,1,30,0.231901,0,0.028029542,0.1117775082,0.1437484509,1339.157405,0.02221111252,0.06285924662,0.07243606112,1358.694494
