iter,track_id,track_mac,mode1_tracking_loss,omega_1,omega_2,omega_3,omega_4,ld_strain_frac_1,ld_strain_frac_2,ld_strain_frac_3,ld_strain_frac_4,mac_best_1,mac_best_2,mac_best_3,mac_best_4
1,NaN,NaN,NaN,177.7003894,397.0691127,643.2466961,674.2419506,0,0,0,0,NaN,NaN,NaN,NaN
2,1,0.9965392471,0.003460752871,206.6888016,425.2034471,653.2775728,672.7309963,0,0,0,0,0.9965392471,0.9968728484,0.9899257215,0.9761752586
3,1,0.9965245134,0.003475486555,233.0185353,415.8005197,622.1877048,731.5656264,0,0,0,0,0.9965245134,0.9705471465,0.9368754526,0.9959036273
4,1,0.9984008119,0.001599188058,258.8811216,346.9837444,632.1354644,634.8450806,0,0,0,0,0.9984008119,0.8340404771,0.9718633116,3.529916703e-26
5,1,0.9992041186,0.0007958814497,281.92807,313.0556805,620.8589748,636.9989424,0.01588143912,0.3439212841,0.11902411,0.09531688977,0.9992041186,0.982766005,0.9760973628,0.9906127213
6,1,0.9992767961,0.0007232039175,297.9893737,309.3691491,601.3133786,622.0629154,0.01598428111,0.354433526,0.52661511,0.1026410161,0.9992767961,0.9954531472,0.9962648718,0.001159288543
7,1,0.999171427,0.0008285730441,309.4241797,313.9276173,564.6291028,633.4962981,0.01974671842,0.3608729403,0.572106603,0.1092194258,0.999171427,0.9992893785,0.9900245596,0.9978946397
8,1,0.999273247,0.0007267530317,315.5538172,317.0624304,601.1877244,629.7342136,0.01472496956,0.35517376,0.544250746,0.1014710566,0.999273247,0.9984754704,0.9859362243,0.9976847139
9,2,0.9989389711,0.001061028874,319.9698947,322.1627638,570.8198007,635.9168955,0.3591738321,0.02071708118,0.5840386215,0.103924395,0.9989389711,0.9991567755,0.9871845776,0.998628486
10,1,0.9990165224,0.000983477628,321.680148,324.2096406,612.7993302,630.8961868,0.3397898533,0.01389062968,0.5302343166,0.09611498229,0.9990165224,0.9989999662,0.986384655,0.9984719744
11,1,0.9977016601,0.002298339944,323.9351327,326.839948,567.6669,632.216768,0.3372826382,0.02303117459,0.5584339042,0.09270772724,0.9977016601,0.9964637529,0.9840106922,0.9989764269
12,1,0.8308226876,0.1691773124,320.179303,331.7065588,625.4888834,628.0154457,0.2716199993,0.08709078205,0.4946550389,0.08631294313,0.8308226876,0.818578475,0.9821936885,0.9962976615
13,1,0.6407025538,0.3592974462,305.4748849,369.9444039,569.7163756,615.7648567,0.09361103735,0.2058785673,0.5444320465,0.09284247148,0.6407025538,0.6015230783,0.9634575161,0.8849033298
14,1,0.8416318267,0.1583681733,316.4202087,380.202879,625.2240658,688.6104869,0.005537817071,0.1977964752,0.1032915247,0.4524375469,0.8416318267,0.812014104,0.951612058,0.8724617405
15,1,0.8807855732,0.1192144268,323.5413047,367.1413967,615.1431359,653.5107694,0.06991578075,0.2364175085,0.09783126963,0.492251457,0.8807855732,0.8399886861,0.979218429,0.958188994
16,1,0.6719513886,0.3280486114,318.0434866,388.134038,618.5544664,633.667014,0.03859717447,0.206537851,0.1067386422,0.539373687,0.6719513886,0.5935738311,0.9527037616,0.8988892753
17,1,0.7263330218,0.2736669782,317.5207179,389.7791782,613.5510048,664.1203171,0.06177574469,0.1974518237,0.1064874138,0.4876954115,0.7263330218,0.6105607675,0.9162747043,0.8815800102
18,1,0.7221330231,0.2778669769,320.3310797,395.3884971,616.0566852,636.5946733,0.03847475499,0.2026625486,0.1071273475,0.519477084,0.7221330231,0.6141183107,0.9266635986,0.8819534483
19,1,0.733475451,0.266524549,320.1273576,396.2083197,612.6260065,662.2293895,0.06178838692,0.1976693929,0.1075014403,0.4835759455,0.733475451,0.6082037463,0.9315852549,0.8677696826
20,1,0.7271209612,0.2728790388,322.0219195,400.7630145,613.9806842,630.0164058,0.03933979702,0.2106334521,0.1077429342,0.5181481571,0.7271209612,0.6139404137,0.9319164154,0.8679292847
21,1,0.7284824304,0.2715175696,321.930087,401.228192,610.5119255,645.1379367,0.09836863686,0.2279453174,0.1262955206,0.5246868132,0.7284824304,0.5953263928,0.932800888,0.8455003102
