iter,beta,beta_omega,volume,N_pre,N_trial,drho_norm,drho_max,step_alpha,inner_iters,inner_cpu_time,inner_converged,omega_pre_1,omega_pre_2,omega_pre_3,omega_pre_4,omega_post_1,omega_post_2,omega_post_3,omega_post_4
1,39551.47645,198.87553,0.4999458561,1,1,0.09327564278,0.0999988877,0.5,30,0.578265,0,145.9675547,364.2686531,622.6850533,643.8147501,177.4696322,395.6259914,639.4030878,678.3042816
2,49794.93324,223.1477834,0.4998618075,1,1,0.07760410163,0.09999834371,0.5,30,0.185646,0,177.4696322,395.6259914,639.4030878,678.3042816,205.8038509,424.0435363,658.528784,673.0951594
3,60461.18289,245.8885579,0.4998442991,1,1,0.06589304652,0.09999752561,0.5,30,0.21287,0,205.8038509,424.0435363,658.528784,673.0951594,230.8044786,417.7464592,622.6431751,735.824929
4,71243.26145,266.9143335,0.4998110713,1,1,0.06227684654,0.09999656733,0.5,30,0.415213,0,230.8044786,417.7464592,622.6431751,735.824929,256.3273603,353.0042844,616.3809908,654.7745696
5,79866.20647,282.6060977,0.4998013621,1,1,0.0474852115,0.09999043387,0.5,30,0.360927,0,256.3273603,353.0042844,616.3809908,654.7745696,278.0912563,324.3954674,579.5763015,605.1951224
6,96200.90167,310.1627019,0.4997966333,1,1,0.04887614512,0.09999300708,0.5,30,0.24921,0,278.0912563,324.3954674,579.5763015,605.1951224,291.5432912,320.5284597,509.7951975,599.6230872
7,100374.6109,316.8195241,0.4998205806,1,1,0.04595766175,0.09999494096,0.5,30,0.196532,0,291.5432912,320.5284597,509.7951975,599.6230872,302.5761598,319.418988,494.5019475,595.1784216
8,106986.6561,327.0881473,0.4998529744,1,1,0.04416406551,0.09999490079,0.5,30,0.195479,0,302.5761598,319.418988,494.5019475,595.1784216,308.6603613,316.2472752,466.4523223,567.5920034
9,114601.993,338.5291612,0.4998902517,1,1,0.05044729203,0.09999614402,0.5,30,0.213034,0,308.6603613,316.2472752,466.4523223,567.5920034,308.116216,308.5807055,468.2015582,567.6849896
10,125856.8704,354.7631187,0.4999003268,1,1,0.04924927445,0.09999803039,0.5,30,0.240792,0,308.116216,308.5807055,468.2015582,567.6849896,309.5983642,322.878744,432.1511697,542.588745
11,119024.175,344.9988044,0.4999031605,1,1,0.05063128302,0.0999970743,0.5,30,0.23808,0,309.5983642,322.878744,432.1511697,542.588745,309.5094722,310.0654696,463.2007265,556.2927603
12,127288.7039,356.775425,0.4998822917,1,1,0.05411619742,0.09999755669,0.5,30,0.188493,0,309.5094722,310.0654696,463.2007265,556.2927603,303.4212602,332.0199333,434.2903726,542.1611342
13,139017.0613,372.8499179,0.499849465,1,1,0.05206345393,0.099999356,0.5,30,0.23774,0,303.4212602,332.0199333,434.2903726,542.1611342,298.6123009,351.6137245,371.6062888,476.3174888
14,127503.1004,357.0757629,0.4998305996,1,1,0.04724902607,0.09999801854,0.5,30,0.325308,0,298.6123009,351.6137245,371.6062888,476.3174888,310.1318071,344.2548729,471.3601635,582.904937
15,134449.329,366.6733273,0.4998308036,1,1,0.05245194912,0.09999928113,0.5,30,0.315572,0,310.1318071,344.2548729,471.3601635,582.904937,294.50886,361.5306446,369.9656438,521.2460207
16,182927.8423,427.7006456,0.4997426032,1,1,0.05777649393,0.09999992248,0.5,30,0.344689,0,294.50886,361.5306446,369.9656438,521.2460207,302.9952866,347.6259074,423.1052202,557.9379029
17,132137.8347,363.5076818,0.4997481609,1,1,0.06138003194,0.09999750148,0.5,30,0.281677,0,302.9952866,347.6259074,423.1052202,557.9379029,310.1843786,340.3397832,429.0906441,551.3575597
18,142050.2027,376.8954798,0.4997740979,1,1,0.05402418991,0.09999886815,0.5,30,0.330476,0,310.1843786,340.3397832,429.0906441,551.3575597,302.0558679,355.520488,416.7644892,543.3416293
19,155416.8645,394.2294566,0.499824903,1,1,0.06069269042,0.09999983631,0.5,30,0.298825,0,302.0558679,355.520488,416.7644892,543.3416293,294.5181968,359.4273781,381.8422775,536.6947661
20,147773.3518,384.4129964,0.499772316,1,1,0.06077660298,0.0999992904,0.5,30,0.33019,0,294.5181968,359.4273781,381.8422775,536.6947661,308.7614477,352.0744609,428.556351,556.3646696
21,136564.38,369.5461811,0.4998234469,1,1,0.06093125299,0.0999985882,0.5,30,0.281273,0,308.7614477,352.0744609,428.556351,556.3646696,300.9260911,363.806487,450.4063407,556.3967334
22,146544.3403,382.8111027,0.4997598684,1,1,0.05679748506,0.09999923892,0.5,30,0.294014,0,300.9260911,363.806487,450.4063407,556.3967334,309.1914411,348.0157178,363.1872676,394.4488774
23,166256.2979,407.7453837,0.4996972281,1,1,0.06881061844,0.09999975547,0.5,30,1.05747,0,309.1914411,348.0157178,363.1872676,394.4488774,307.2135255,332.7328899,519.3028908,558.2531862
24,158862.1754,398.5751816,0.4997312348,1,1,0.06158593016,0.09999886636,0.5,30,0.249224,0,307.2135255,332.7328899,519.3028908,558.2531862,309.1542398,361.5056637,406.386236,528.8767567
25,141643.6199,376.3557093,0.4998046698,1,1,0.05794002446,0.09999974249,0.5,30,0.269204,0,309.1542398,361.5056637,406.386236,528.8767567,314.258485,336.5453475,475.1984711,551.8000137
26,161230.2548,401.5348737,0.4998017407,1,1,0.05851475153,0.09999949265,0.5,30,0.271627,0,314.258485,336.5453475,475.1984711,551.8000137,312.9831182,362.9504551,405.8168665,531.7413529
27,136338.9594,369.2410586,0.499825943,1,1,0.05646567046,0.09999626035,0.5,30,0.313494,0,312.9831182,362.9504551,405.8168665,531.7413529,320.4927719,341.6686726,433.2097783,532.5045236
28,162835.207,403.5284463,0.4997997618,1,1,0.05890845681,0.09999900986,0.5,30,0.261116,0,320.4927719,341.6686726,433.2097783,532.5045236,308.5998625,366.3476096,393.4821584,516.6259897
29,152097.0046,389.9961597,0.4997893434,1,1,0.05863566584,0.09999849492,0.5,30,0.33344,0,308.5998625,366.3476096,393.4821584,516.6259897,319.9688611,346.3587862,429.7073532,529.0341227
30,160721.0893,400.9003483,0.4997530663,1,1,0.05881632748,0.09999904055,0.5,30,0.27349,0,319.9688611,346.3587862,429.7073532,529.0341227,310.6994959,362.8106694,412.2024124,524.9962826
31,147434.0617,383.9714334,0.4997706389,1,1,0.05856557307,0.0999972786,0.5,30,0.34514,0,310.6994959,362.8106694,412.2024124,524.9962826,311.6779122,357.2284973,400.8357384,508.2167483
32,172220.7965,414.9949355,0.4997055469,1,1,0.06334948241,0.09999861543,0.5,30,0.293143,0,311.6779122,357.2284973,400.8357384,508.2167483,311.9690346,356.1566588,441.1269731,553.9122254
33,147005.8573,383.4134287,0.4997687187,1,1,0.06302364227,0.09999668868,0.5,30,0.340484,0,311.9690346,356.1566588,441.1269731,553.9122254,316.476632,358.4484519,407.5609555,500.6567399
34,176004.4345,419.5288244,0.4996920549,1,1,0.06463915872,0.09999975071,0.5,30,0.285921,0,316.476632,358.4484519,407.5609555,500.6567399,308.4619383,356.8694729,432.2818985,548.4288478
35,145302.9982,381.1863039,0.4997679169,1,1,0.06375503472,0.0999970534,0.5,30,0.359099,0,308.4619383,356.8694729,432.2818985,548.4288478,312.0051849,359.6533753,403.5484649,499.0091672
36,163571.8601,404.4401811,0.4996810512,1,1,0.06364233421,0.09999899913,0.5,30,0.302792,0,312.0051849,359.6533753,403.5484649,499.0091672,315.5360771,355.3196446,435.0398297,548.1046791
37,147117.8209,383.5594099,0.4997841323,1,1,0.06462161169,0.09999824471,0.5,30,0.327889,0,315.5360771,355.3196446,435.0398297,548.1046791,308.5057426,359.5182911,410.7365594,506.7397207
38,181551.3934,426.0884807,0.4997514072,1,1,0.06342387936,0.09999980286,0.5,30,0.294579,0,308.5057426,359.5182911,410.7365594,506.7397207,313.5401483,355.9057576,423.3991433,534.9824765
39,141033.7316,375.54458,0.4998086395,1,1,0.06270305609,0.09999875814,0.5,30,0.272872,0,313.5401483,355.9057576,423.3991433,534.9824765,314.3485113,351.0498152,446.3936135,518.783112
40,171936.686,414.6524883,0.4997720023,1,1,0.06098196392,0.0999989203,0.5,30,0.228374,0,314.3485113,351.0498152,446.3936135,518.783112,309.5213896,360.5589948,397.3528019,516.0179421
41,166496.7066,408.0400796,0.499802837,1,1,0.06303326895,0.09999979287,0.5,30,0.325332,0,309.5213896,360.5589948,397.3528019,516.0179421,320.6500483,340.3103077,405.4145753,499.5386757
42,179307.9622,423.4477089,0.499768619,1,1,0.06639996088,0.09999935021,0.5,30,0.266659,0,320.6500483,340.3103077,405.4145753,499.5386757,161.7277947,309.8720326,359.4299003,449.3593791
43,197947.8431,444.9132985,0.4997597212,1,1,0.0721044318,0.09999996712,0.5,30,0.550143,0,161.7277947,309.8720326,359.4299003,449.3593791,48.04848988,48.50445872,74.87863336,285.393767
44,61412.56082,247.8155782,0.4973677036,1,1,0.03371130536,0.099999998,0.5,30,0.434513,0,48.04848988,48.50445872,74.87863336,285.393767,261.2489726,273.4379435,391.2686513,540.7026414
45,202984.2552,450.53774,0.4985693127,1,1,0.08325028492,0.09999983856,0.5,30,0.755983,0,261.2489726,273.4379435,391.2686513,540.7026414,283.9243198,367.9541857,516.3102702,627.1821069
46,225922.2876,475.3128313,0.4992243496,1,1,0.08585499359,0.09999994017,0.5,30,0.33536,0,283.9243198,367.9541857,516.3102702,627.1821069,269.6849691,387.9410851,539.3595007,596.6198742
47,180801.4731,425.2075647,0.4994836148,1,1,0.08479021524,0.09999986997,0.5,30,0.324695,0,269.6849691,387.9410851,539.3595007,596.6198742,280.8346345,379.7759832,530.67672,656.3272504
48,151254.5723,388.914608,0.4996608385,1,1,0.07823159244,0.09999898587,0.5,30,0.299935,0,280.8346345,379.7759832,530.67672,656.3272504,273.139046,396.6372396,550.693702,618.624324
49,155632.1787,394.5024445,0.4996999908,1,1,0.06891905159,0.09999949724,0.5,30,0.312107,0,273.139046,396.6372396,550.693702,618.624324,284.4473667,377.305536,526.4988711,634.2864477
50,150919.9332,388.484148,0.4997721152,1,1,0.07021522882,0.09999886909,0.5,30,0.309667,0,284.4473667,377.305536,526.4988711,634.2864477,274.520142,390.8064497,555.433243,610.526432
51,154315.4595,392.8300645,0.4997897996,1,1,0.06747283734,0.09999939076,0.5,30,0.361368,0,274.520142,390.8064497,555.433243,610.526432,285.8366314,388.1787402,542.065724,641.332883
52,142152.1843,377.0307471,0.4998072503,1,1,0.06799083619,0.09999902605,0.5,30,0.294613,0,285.8366314,388.1787402,542.065724,641.332883,278.7794364,383.9070733,551.1364217,596.2200278
53,153549.2165,391.8535651,0.4998236996,1,1,0.06679466151,0.0999992854,0.5,30,0.363441,0,278.7794364,383.9070733,551.1364217,596.2200278,283.7200672,391.0858968,540.2399778,648.6238094
54,143681.6368,379.0536068,0.499830513,1,1,0.0679224731,0.09999923902,0.5,30,0.26179,0,283.7200672,391.0858968,540.2399778,648.6238094,281.9326155,380.7054033,560.0866211,619.5283732
55,149681.2139,386.8865646,0.4998421733,1,1,0.07006143689,0.09999865142,0.5,30,0.380489,0,281.9326155,380.7054033,560.0866211,619.5283732,285.6986244,387.2704434,528.8856893,655.6670637
56,155895.2389,394.8357113,0.499854008,1,1,0.07178622468,0.09999946926,0.5,30,0.287469,0,285.6986244,387.2704434,528.8856893,655.6670637,279.6122592,386.6727744,559.1406234,636.2312982
57,150809.1589,388.3415493,0.4998529816,1,1,0.07129862268,0.09999864631,0.5,30,0.307278,0,279.6122592,386.6727744,559.1406234,636.2312982,284.6164514,389.6182576,536.7462752,659.727855
58,149555.5297,386.7241002,0.4998458063,1,1,0.07132815813,0.09999911282,0.5,30,0.29751,0,284.6164514,389.6182576,536.7462752,659.727855,278.8973801,387.3722334,559.3572189,629.6659953
59,151066.6641,388.6729526,0.4998374931,1,1,0.0713177001,0.09999868785,0.5,30,0.307802,0,278.8973801,387.3722334,559.3572189,629.6659953,285.587965,388.9378118,538.2066107,658.3338972
60,149231.3353,386.3047181,0.4998290073,1,1,0.07217504776,0.09999910496,0.5,30,0.291602,0,285.587965,388.9378118,538.2066107,658.3338972,279.0831487,389.8783803,558.7326238,629.5262263
61,151069.4017,388.6764744,0.4998400931,1,1,0.07119145001,0.0999986834,0.5,30,0.347625,0,279.0831487,389.8783803,558.7326238,629.5262263,285.0409206,388.0100283,534.2397945,656.553325
62,149527.3522,386.6876675,0.4998563176,1,1,0.07105932063,0.09999907361,0.5,30,0.296384,0,285.0409206,388.0100283,534.2397945,656.553325,278.4712783,388.2853191,557.6695062,629.8761718
