iter,beta,beta_omega,volume,N_pre,N_trial,drho_norm,drho_max,step_alpha,inner_iters,inner_cpu_time,inner_converged,omega_pre_1,omega_pre_2,omega_pre_3,omega_pre_4,omega_post_1,omega_post_2,omega_post_3,omega_post_4
1,20349.19785,142.6506146,0.499874729,1,1,0.0901409323,0.09999478002,0.5,30,1.02133,0,103.6257115,306.6768424,496.3323877,574.9701344,126.0901768,341.7234417,514.6458995,614.5473589
2,26391.14689,162.4535222,0.4998190857,1,1,0.07959459629,0.09999274138,0.5,30,0.869863,0,126.0901768,341.7234417,514.6458995,614.5473589,145.7939729,362.9655402,551.6081001,601.2800256
3,32123.05897,179.2290684,0.4997845507,1,1,0.07150344704,0.09998994796,0.5,30,0.870824,0,145.7939729,362.9655402,551.6081001,601.2800256,163.534673,340.083734,537.6013486,595.2892514
4,38763.94412,196.8856118,0.499767068,1,1,0.06768913067,0.09998782945,0.5,30,1.11865,0,163.534673,340.083734,537.6013486,595.2892514,181.4035265,259.7635764,489.5261989,636.7975383
5,43614.67092,208.8412577,0.499756084,1,1,0.05635648561,0.0999803226,0.5,30,0.871807,0,181.4035265,259.7635764,489.5261989,636.7975383,195.8123118,229.2031267,490.33046,543.3670763
6,50572.61214,224.8835524,0.4997660282,1,1,0.05599944484,0.0999844787,0.5,30,0.804137,0,195.8123118,229.2031267,490.33046,543.3670763,200.2385403,229.5778245,516.0088434,530.797151
7,63528.9446,252.0494884,0.4997031551,1,1,0.05884149801,0.09999366,0.5,30,0.744627,0,200.2385403,229.5778245,516.0088434,530.797151,201.3550143,261.9156405,512.9195864,595.7564998
8,59012.67248,242.9252405,0.4997202695,1,1,0.06400969566,0.09999028401,0.5,30,0.880964,0,201.3550143,261.9156405,512.9195864,595.7564998,204.3980461,248.5696321,526.5101197,561.8861155
9,70478.64872,265.4781511,0.4997280948,1,1,0.06656632617,0.09999341807,0.5,30,0.889868,0,204.3980461,248.5696321,526.5101197,561.8861155,205.6650474,266.6576014,515.3185274,601.0511548
10,64076.53176,253.1334268,0.4997311358,1,1,0.0658826338,0.09999185576,0.5,30,1.11043,0,205.6650474,266.6576014,515.3185274,601.0511548,208.4672328,253.410392,527.8927567,596.468481
11,71547.8277,267.4842569,0.4997380108,1,1,0.06497788308,0.09999269106,0.5,30,1.14234,0,208.4672328,253.410392,527.8927567,596.468481,209.2360209,269.9437442,520.861494,650.3145526
12,65799.32436,256.5137898,0.4997336458,1,1,0.0644216349,0.0999906313,0.5,30,1.18399,0,209.2360209,269.9437442,520.861494,650.3145526,212.7067459,257.6472315,429.4119367,533.8133102
13,71245.82415,266.9191341,0.4997740348,1,1,0.06243958867,0.0999922823,0.5,30,1.24645,0,212.7067459,257.6472315,429.4119367,533.8133102,213.2746129,270.3865839,525.0618063,659.2277247
14,68240.54276,261.2289087,0.4997527486,1,1,0.06323007947,0.0999911202,0.5,30,1.32175,0,213.2746129,270.3865839,525.0618063,659.2277247,216.1744924,265.4853806,308.0774715,315.8715696
15,72045.75598,268.413405,0.4997869703,1,1,0.06066047847,0.09999563234,0.5,30,1.37993,0,216.1744924,265.4853806,308.0774715,315.8715696,215.9171354,275.2578922,529.9765955,604.6382836
16,68592.88472,261.9024336,0.4997852772,1,1,0.06087066545,0.09999104422,0.5,30,1.44802,0,215.9171354,275.2578922,529.9765955,604.6382836,219.4075388,269.7981467,352.9879417,512.0335218
17,72348.13347,268.9760834,0.4998236032,1,1,0.05849252247,0.09999310912,0.5,30,1.2841,0,219.4075388,269.7981467,352.9879417,512.0335218,218.8495641,283.3099675,536.2817891,686.2182307
18,68805.51486,262.3080534,0.4998252831,1,1,0.05907716988,0.09999062853,0.5,30,1.3994,0,218.8495641,283.3099675,536.2817891,686.2182307,221.375644,272.5974056,547.4621448,671.9218944
19,73308.84106,270.7560545,0.4998428018,1,1,0.05792046046,0.09999332927,0.5,30,1.27843,0,221.375644,272.5974056,547.4621448,671.9218944,219.8780692,287.6000113,540.1998119,693.4398951
20,69035.56577,262.7462003,0.4998504207,1,1,0.05788362799,0.09999060122,0.5,30,1.31266,0,219.8780692,287.6000113,540.1998119,693.4398951,222.8949806,275.666004,551.6977397,675.7936913
21,72833.55882,269.8769327,0.4998573598,1,1,0.0567522227,0.09999323292,0.5,30,1.34305,0,222.8949806,275.666004,551.6977397,675.7936913,221.2684928,290.0670546,544.2851408,696.3454348
22,69487.27047,263.6043825,0.4998709221,1,1,0.05709031226,0.09999058852,0.5,30,1.39469,0,221.2684928,290.0670546,544.2851408,696.3454348,224.0168998,278.1675821,554.8881153,679.3394903
23,72962.25272,270.1152582,0.4998668634,1,1,0.0564776817,0.09999326112,0.5,30,1.37419,0,224.0168998,278.1675821,554.8881153,679.3394903,222.0837597,291.6249081,547.0572854,699.0088838
24,69957.57913,264.494951,0.4998774793,1,1,0.05715023683,0.09999029702,0.5,30,1.39318,0,222.0837597,291.6249081,547.0572854,699.0088838,224.7260604,278.1875751,557.4033699,677.7082991
25,74125.91171,272.2607421,0.4998627835,1,1,0.0573064705,0.09999349585,0.5,30,1.36568,0,224.7260604,278.1875751,557.4033699,677.7082991,222.3948937,294.689575,548.8135724,704.5958686
26,69903.3303,264.3923794,0.4998794599,1,1,0.05707261626,0.0999902493,0.5,30,1.48536,0,222.3948937,294.689575,548.8135724,704.5958686,225.2736096,279.1114781,558.7952714,679.3602868
27,74133.22428,272.2741712,0.4998651252,1,1,0.05683292689,0.09999350131,0.5,30,1.39083,0,225.2736096,279.1114781,558.7952714,679.3602868,223.0420857,295.0182358,550.3473614,702.9221545
28,70111.12145,264.7850476,0.4998790349,1,1,0.05674068025,0.09999015659,0.5,30,1.49568,0,223.0420857,295.0182358,550.3473614,702.9221545,225.8336393,280.3290327,559.7443425,678.1434297
29,74043.49619,272.109346,0.4998611959,1,1,0.05665644279,0.09999345931,0.5,30,1.3993,0,225.8336393,280.3290327,559.7443425,678.1434297,223.3873447,296.4182577,551.5142775,704.9581454
30,70301.25852,265.143845,0.4998780116,1,1,0.05671263566,0.09999009483,0.5,30,1.45462,0,223.3873447,296.4182577,551.5142775,704.9581454,226.3472943,281.2123767,560.6173288,679.3293999
31,74116.84437,272.2440897,0.4998576012,1,1,0.05660944003,0.0999934291,0.5,30,1.42416,0,226.3472943,281.2123767,560.6173288,679.3293999,223.827177,297.1883479,552.2916588,704.4662658
32,70518.41016,265.553027,0.4998743316,1,1,0.05686204464,0.09998987011,0.5,30,1.48133,0,223.827177,297.1883479,552.2916588,704.4662658,226.7619432,281.1334723,561.2522693,676.4398888
33,74722.09335,273.353422,0.4998582329,1,1,0.05712445036,0.09999351596,0.5,30,1.42963,0,226.7619432,281.1334723,561.2522693,676.4398888,224.0149985,298.6911711,553.0325702,706.5394371
34,70661.36794,265.8220607,0.4998770462,1,1,0.05671403328,0.09999001385,0.5,30,1.47264,0,224.0149985,298.6911711,553.0325702,706.5394371,227.2137865,282.7442848,561.3632184,678.8932813
35,74120.38126,272.2505854,0.4998607904,1,1,0.05635361968,0.09999334849,0.5,30,1.40543,0,227.2137865,282.7442848,561.3632184,678.8932813,224.7172077,298.0389969,553.9899325,702.9292612
36,71022.0543,266.4996328,0.4998748465,1,1,0.05671357436,0.09998984644,0.5,30,1.47699,0,224.7172077,298.0389969,553.9899325,702.9292612,227.6869104,282.8064458,562.1682317,675.3876664
37,75047.36793,273.9477467,0.4998585668,1,1,0.05721899153,0.09999344971,0.5,30,1.43738,0,227.6869104,282.8064458,562.1682317,675.3876664,224.5846564,300.64451,554.1755976,705.2867811
38,71029.02666,266.5127139,0.499875082,1,1,0.05689407985,0.09998991338,0.5,30,1.50104,0,224.5846564,300.64451,554.1755976,705.2867811,228.0620883,283.6040924,562.1068005,676.603899
39,74501.69938,272.9499943,0.4998595519,1,1,0.05651515548,0.09999337611,0.5,30,1.42889,0,228.0620883,283.6040924,562.1068005,676.603899,225.3175179,300.0950392,555.0216566,702.4311396
40,71372.81104,267.1569034,0.4998741903,1,1,0.05654200294,0.09998992252,0.5,30,1.45842,0,225.3175179,300.0950392,555.0216566,702.4311396,228.5119,284.6127354,562.4769757,675.1571124
41,74645.66568,273.2135899,0.4998554428,1,1,0.05655937239,0.09999330453,0.5,30,1.39114,0,228.5119,284.6127354,562.4769757,675.1571124,225.4691585,301.6736331,555.4112468,703.3948119
42,71487.34459,267.3711738,0.4998751994,1,1,0.05674639826,0.0999898214,0.5,30,1.50461,0,225.4691585,301.6736331,555.4112468,703.3948119,228.8512251,284.6453924,562.5864294,675.089669
43,74963.26685,273.7942053,0.4998616207,1,1,0.05662463691,0.09999335134,0.5,30,1.3548,0,228.8512251,284.6453924,562.5864294,675.089669,225.8144485,302.1492311,555.712673,702.5696225
44,71674.1401,267.7202646,0.4998758742,1,1,0.05660425839,0.09998987466,0.5,30,1.51301,0,225.8144485,302.1492311,555.712673,702.5696225,229.1305944,285.1838876,562.6594769,674.1169599
45,74953.43306,273.7762463,0.4998561805,1,1,0.05645528861,0.09999334808,0.5,30,1.34227,0,229.1305944,285.1838876,562.6594769,674.1169599,225.9734715,302.7677899,555.9566061,701.4314425
46,71822.58947,267.9973684,0.4998759389,1,1,0.05652195703,0.09998994693,0.5,30,1.49843,0,225.9734715,302.7677899,555.9566061,701.4314425,229.4138197,285.6886774,562.2258029,674.1575089
47,74802.40261,273.500279,0.4998594558,1,1,0.05605456082,0.09999331194,0.5,30,1.34932,0,229.4138197,285.6886774,562.2258029,674.1575089,226.4500408,302.5593829,556.3197007,700.066501
48,72039.17233,268.4011407,0.4998759238,1,1,0.05633026139,0.09998994076,0.5,30,1.50224,0,226.4500408,302.5593829,556.3197007,700.066501,229.7115308,286.1594123,562.5367359,672.6639597
49,75309.2175,274.4252494,0.4998596829,1,1,0.05623200644,0.09999334346,0.5,30,1.36836,0,229.7115308,286.1594123,562.5367359,672.6639597,226.5018019,303.7711684,556.3917768,700.1046823
50,72048.52893,268.4185704,0.4998782998,1,1,0.05633314644,0.0999898914,0.5,30,1.56989,0,226.5018019,303.7711684,556.3917768,700.1046823,229.9761329,286.514627,562.0540236,672.7128954
51,75052.26298,273.9566808,0.499862387,1,1,0.05593026164,0.09999331734,0.5,30,1.40511,0,229.9761329,286.514627,562.0540236,672.7128954,226.9466578,303.9476543,556.5906413,698.8063133
52,72179.06755,268.6616228,0.499879782,1,1,0.05616176377,0.09998988292,0.5,30,1.52667,0,226.9466578,303.9476543,556.5906413,698.8063133,230.2040526,286.8026117,562.0300151,670.6195888
53,75452.29601,274.6858133,0.4998613822,1,1,0.05614595885,0.09999337524,0.5,30,1.33599,0,230.2040526,286.8026117,562.0300151,670.6195888,227.018442,304.9142323,556.535273,699.9510885
54,72286.07289,268.8606942,0.4998800671,1,1,0.05610821086,0.0999899249,0.5,30,1.58094,0,227.018442,304.9142323,556.535273,699.9510885,230.4212062,287.6625638,561.2687561,671.8764601
55,75016.76572,273.8918869,0.4998665798,1,1,0.05552704856,0.09999327482,0.5,30,1.42838,0,230.4212062,287.6625638,561.2687561,671.8764601,227.5360519,304.3677526,556.725975,696.9148693
56,72496.71276,269.252136,0.4998809762,1,1,0.05605270753,0.09998978741,0.5,30,1.57913,0,227.5360519,304.3677526,556.725975,696.9148693,230.6195857,287.4384796,561.3467202,668.683722
57,75862.24009,275.4310079,0.4998710968,1,1,0.05620594646,0.0999934124,0.5,30,1.38668,0,230.6195857,287.4384796,561.3467202,668.683722,227.3440004,306.396114,556.2932823,699.25935
58,72395.75235,269.0645877,0.4998868513,1,1,0.05589210223,0.09998998711,0.5,30,1.52363,0,227.3440004,306.396114,556.2932823,699.25935,230.8730318,289.4443036,560.1524675,671.2155515
59,74495.865,272.9393064,0.4998756854,1,1,0.0548699978,0.09999313728,0.5,30,1.39794,0,230.8730318,289.4443036,560.1524675,671.2155515,228.2276229,304.5531144,556.804194,693.964494
60,72742.28641,269.7077797,0.4998867606,1,1,0.05592769312,0.09998962485,0.5,30,1.4613,0,228.2276229,304.5531144,556.804194,693.964494,231.1385271,288.3940231,560.6121518,666.0230404
61,76480.23155,276.5505949,0.4998783255,1,1,0.05624541439,0.09999339471,0.5,30,1.32795,0,231.1385271,288.3940231,560.6121518,666.0230404,227.7693043,307.518933,555.858731,699.4781971
62,72516.79842,269.2894324,0.4998920973,1,1,0.05598101765,0.0999897877,0.5,30,1.47934,0,227.7693043,307.518933,555.858731,699.4781971,231.2314979,289.707182,559.3021516,667.6459034
63,75239.38717,274.2979897,0.4998813853,1,1,0.05531416582,0.09999325744,0.5,30,1.42578,0,231.2314979,289.707182,559.3021516,667.6459034,228.4225399,306.9793835,555.9594036,696.2044486
64,72712.74482,269.6530082,0.4998905084,1,1,0.05579701431,0.09998962767,0.5,30,1.61628,0,228.4225399,306.9793835,555.9594036,696.2044486,231.4179238,289.6043587,558.7878909,664.3672877
65,75780.55496,275.2826819,0.4998793989,1,1,0.05559664969,0.09999338067,0.5,30,1.38867,0,231.4179238,289.6043587,558.7878909,664.3672877,228.310485,308.3258939,555.0740803,698.6403606
66,72672.82271,269.578973,0.4998914099,1,1,0.05570620302,0.0999898009,0.5,30,1.49661,0,228.310485,308.3258939,555.0740803,698.6403606,231.5585026,290.8252384,557.4243907,666.0259822
67,75175.24044,274.1810359,0.4998811363,1,1,0.05484457597,0.09999327604,0.5,30,1.44587,0,231.5585026,290.8252384,557.4243907,666.0259822,228.8624172,307.7069616,554.6192998,695.0325669
68,72863.68724,269.9327458,0.4998911446,1,1,0.055632164,0.09998953056,0.5,30,1.52022,0,228.8624172,307.7069616,554.6192998,695.0325669,231.7616828,290.417112,556.6804333,661.9317808
69,76131.16807,275.9187708,0.4998864526,1,1,0.05543693823,0.09999344003,0.5,30,1.41785,0,231.7616828,290.417112,556.6804333,661.9317808,228.7556068,309.6343671,553.476364,698.3984655
70,72819.07541,269.850098,0.4998942045,1,1,0.05559752035,0.09998965163,0.5,30,1.53238,0,228.7556068,309.6343671,553.476364,698.3984655,231.9152719,291.3108159,555.5514716,662.8698226
71,75846.06421,275.4016416,0.4998944036,1,1,0.05487489794,0.099993458,0.5,30,1.4186,0,231.9152719,291.3108159,555.5514716,662.8698226,229.4265421,309.4097496,553.1264757,695.5923425
72,72909.22915,270.0170905,0.4998975022,1,1,0.05500983424,0.09998961778,0.5,30,1.50919,0,229.4265421,309.4097496,553.1264757,695.5923425,232.2740808,291.6495695,555.4773785,659.6924934
73,76426.92862,276.4542071,0.4998931765,1,1,0.05496419356,0.09999360588,0.5,30,1.50634,0,232.2740808,291.6495695,555.4773785,659.6924934,229.4674382,310.3461334,552.6608233,696.911569
74,73013.41706,270.20995,0.4998942975,1,1,0.05495679465,0.09998965165,0.5,30,1.55072,0,229.4674382,310.3461334,552.6608233,696.911569,232.4579622,292.2813075,555.2484113,661.0050296
75,76131.74143,275.9198098,0.4998936682,1,1,0.05460467198,0.09999359813,0.5,30,1.52099,0,232.4579622,292.2813075,555.2484113,661.0050296,229.8765776,310.2848299,552.6609713,694.8374651
76,73120.07054,270.4072309,0.4998982328,1,1,0.05496415814,0.09998939796,0.5,30,1.56856,0,229.8765776,310.2848299,552.6609713,694.8374651,232.7964567,291.8053579,555.605207,658.6655872
77,76948.88056,277.3966124,0.4998923828,1,1,0.0550888834,0.0999936831,0.5,30,1.46707,0,232.7964567,291.8053579,555.605207,658.6655872,229.6700488,311.2138504,552.1719222,695.9391776
78,73256.85486,270.6600356,0.4998951999,1,1,0.05499986646,0.09998953273,0.5,30,1.55641,0,229.6700488,311.2138504,552.1719222,695.9391776,232.8759277,292.4355621,555.3395951,660.1541736
79,76560.74861,276.6961305,0.4998943061,1,1,0.05467299909,0.09999367621,0.5,30,1.47031,0,232.8759277,292.4355621,555.3395951,660.1541736,230.0776097,311.1946284,552.0983704,693.4127016
80,73313.89777,270.7653925,0.4998997063,1,1,0.05454425029,0.09998972617,0.5,30,1.58349,0,230.0776097,311.1946284,552.0983704,693.4127016,233.2317459,293.2158194,555.1481763,657.8495604
