iter,track_id,track_mac,mode1_tracking_loss,omega_1,omega_2,omega_3,omega_4,ld_strain_frac_1,ld_strain_frac_2,ld_strain_frac_3,ld_strain_frac_4,mac_best_1,mac_best_2,mac_best_3,mac_best_4
1,NaN,NaN,NaN,124.3474329,334.1751891,497.1685644,624.2893683,0,0,0,0,NaN,NaN,NaN,NaN
2,1,0.997018927,0.002981072953,141.6610497,346.771661,527.1277239,637.2102219,0,0,0,0,0.997018927,0.9785658603,0.9479195105,0.9278351786
3,1,0.9970215625,0.00297843746,155.4059927,334.8749234,532.460717,633.1185067,0,0,0,0,0.9970215625,0.9752856949,0.8759522535,0.8341672325
4,1,0.9975018404,0.00249815961,167.8325612,280.1339023,507.3403997,586.7493336,0,0,0,0,0.9975018404,0.9306570436,0.7718008101,0.6762723439
5,1,0.9967411773,0.003258822702,177.1901909,256.9656824,482.8906157,538.6683551,0.01606582125,0.2345009639,0.4877920016,0.6205228662,0.9967411773,0.9765574895,0.7345064763,0.08121676143
6,1,0.9508197538,0.04918024624,179.6856932,247.2865765,423.8762612,511.7175902,0.0712120938,0.2474835659,0.7609182239,0.2509944323,0.9508197538,0.9161257423,0.6456774453,0.5471831612
7,1,0.8816702894,0.1183297106,180.1839415,257.2233708,432.0228849,489.4607023,0.06617292327,0.1849268225,0.7685711426,0.4606051106,0.8816702894,0.7862231367,0.7560139522,0.8153950289
8,1,0.8604166395,0.1395833605,182.3018654,250.069901,432.0571385,513.7505384,0.07734531215,0.247999951,0.8080011861,0.5085642369,0.8604166395,0.7732777887,0.6784245941,0.8324805156
9,1,0.8897217359,0.1102782641,182.3592679,261.934752,472.5485952,620.5164195,0.0137391461,0.05037161673,0.0471657354,0.1751336242,0.8897217359,0.7959052117,0.3103923864,0.4631630242
10,1,0.8811533208,0.1188466792,187.4173634,255.9228483,415.8350476,502.6320042,0.1209662671,0.1702216291,0.8723526073,0.4092350384,0.8811533208,0.8149934902,0.6962433979,0.009743425606
