iter,beta,beta_omega,volume,N_pre,N_trial,drho_norm,drho_max,step_alpha,inner_iters,inner_cpu_time,inner_converged,omega_pre_1,omega_pre_2,omega_pre_3,omega_pre_4,omega_post_1,omega_post_2,omega_post_3,omega_post_4
1,8704.086567,93.29569426,0.4998498991,1,1,0.08956577208,0.0999864945,0.5,30,1.21188,0,68.32085398,252.5915995,406.663066,511.0990612,83.24920051,290.4109991,417.9026386,559.1384367
2,11598.53102,107.6964764,0.4998046671,1,1,0.08119587611,0.0999815399,0.5,30,1.13698,0,83.24920051,290.4109991,417.9026386,559.1384367,96.88209947,309.0348995,452.4405498,547.9438919
3,14227.09101,119.2773701,0.4997944624,1,1,0.07345352351,0.09997635129,0.5,30,1.52504,0,96.88209947,309.0348995,452.4405498,547.9438919,108.981629,269.276007,469.1586103,482.0632424
4,17041.89026,130.5445911,0.4997504134,1,1,0.06839666554,0.09997633619,0.5,30,1.76711,0,108.981629,269.276007,469.1586103,482.0632424,121.0308533,195.9771138,468.0763655,513.6598913
5,19052.92247,138.032324,0.4997527203,1,1,0.05637238468,0.09995167587,0.5,30,1.09298,0,121.0308533,195.9771138,468.0763655,513.6598913,131.0411546,164.2808954,449.8088495,450.3800289
6,21597.66369,146.9614361,0.4997942581,1,1,0.05029881176,0.09995498807,0.5,30,0.819505,0,131.0411546,164.2808954,449.8088495,450.3800289,138.1926421,147.866423,385.6492838,443.8773342
7,22374.82929,149.5821824,0.4997889063,1,1,0.04806424606,0.09994581877,0.5,30,0.716849,0,138.1926421,147.866423,385.6492838,443.8773342,143.1922412,145.6460835,367.6753574,431.5650476
8,23554.01552,153.4731752,0.4998155877,1,1,0.04181193406,0.09995165274,0.5,30,0.78273,0,143.1922412,145.6460835,367.6753574,431.5650476,146.1076623,147.0344202,373.2098302,448.4131957
9,23882.26954,154.5388933,0.499795181,1,1,0.04173989381,0.09993438735,0.5,30,0.916824,0,146.1076623,147.0344202,373.2098302,448.4131957,147.69748,149.1672109,359.4567338,437.6570362
10,24387.38103,156.164596,0.4998174411,1,1,0.03542124774,0.09994131083,0.5,30,0.967358,0,147.69748,149.1672109,359.4567338,437.6570362,149.7970065,151.1665665,376.1522916,463.1307524
11,24022.96536,154.9934365,0.4998175817,1,1,0.03208586369,0.0999064145,0.5,30,1.09624,0,149.7970065,151.1665665,376.1522916,463.1307524,150.4241711,151.7676392,350.6149261,448.0832035
12,24215.29534,155.6126452,0.4998323629,1,1,0.02964369279,0.09993627896,0.5,30,1.09959,0,150.4241711,151.7676392,350.6149261,448.0832035,150.6137129,154.8743677,361.0290079,468.7545586
