iter,track_id,track_mac,mode1_tracking_loss,omega_1,omega_2,omega_3,omega_4,ld_strain_frac_1,ld_strain_frac_2,ld_strain_frac_3,ld_strain_frac_4,mac_best_1,mac_best_2,mac_best_3,mac_best_4
1,NaN,NaN,NaN,83.24920051,290.4109991,417.9026386,559.1384367,0,0,0,0,NaN,NaN,NaN,NaN
2,1,0.9997673211,0.0002326788589,96.88209947,309.0348995,452.4405498,547.9438919,0,0,0,0,0.9997673211,0.9959885745,0.9998171542,0.9861975909
3,1,0.9991124188,0.0008875812172,108.981629,269.276007,469.1586103,482.0632424,0,0,0,0,0.9991124188,0.9815906947,0.9997941528,0.9645229111
4,1,0.9998664567,0.0001335433415,121.0308533,195.9771138,468.0763655,513.6598913,0,0,0,0,0.9998664567,0.9710465821,0.9721096357,0.9997153838
5,1,0.9996405466,0.0003594534256,131.0411546,164.2808954,449.8088495,450.3800289,0.006413762716,0.3445560825,0.08942397468,0.6476239224,0.9996405466,0.9974043573,0.9912278789,1.332783183e-22
6,1,0.9999148241,8.517594249e-05,138.1926421,147.866423,385.6492838,443.8773342,0.006897136777,0.3948559943,0.6748806631,0.1314491322,0.9999148241,0.998917302,0.9847613766,0.9974001899
7,1,0.999661909,0.0003380909993,143.1922412,145.6460835,367.6753574,431.5650476,0.006663813692,0.3957122115,0.6972594498,0.1400200381,0.999661909,0.9998153895,0.9983595064,0.9975113633
8,2,0.9993549188,0.0006450812461,146.1076623,147.0344202,373.2098302,448.4131957,0.3908276868,0.003362324462,0.7008732119,0.1528477616,0.9993549188,0.9997260165,0.9984766697,0.9907114548
9,1,0.9996900701,0.0003099298934,147.69748,149.1672109,359.4567338,437.6570362,0.3793899352,0.004878004066,0.7160676358,0.1516530651,0.9996900701,0.9994916854,0.9971360136,0.9964525769
10,1,0.9997393892,0.0002606108132,149.7970065,151.1665665,376.1522916,463.1307524,0.3613040934,0.002111825358,0.699623967,0.1441738943,0.9997393892,0.9993022448,0.998205933,0.9934465188
11,1,0.9988382408,0.001161759249,150.4241711,151.7676392,350.6149261,448.0832035,0.3499334909,0.004577952758,0.7222346358,0.1400600847,0.9988382408,0.9986480013,0.9965052463,0.9961821919
12,1,0.5067542416,0.4932457584,150.6137129,154.8743677,361.0290079,468.7545586,0.1923422353,0.203598371,0.7018594569,0.1314938028,0.5067542416,0.5042904906,0.9983765569,0.9963207337
13,1,0.5697962997,0.4302037003,149.1398242,164.6460388,388.2770034,514.0849455,0.001660915139,0.2727303011,0.6427596952,0.1015633633,0.5697962997,0.5644105672,0.9982889342,0.9976802117
14,1,0.9740498366,0.02595016337,151.1547652,161.1702915,356.7186995,479.8677366,0.00895452049,0.2683150432,0.6700257008,0.1033665245,0.9740498366,0.9724418728,0.9973047421,0.9963074109
15,1,0.7038664609,0.2961335391,148.3735738,165.5910847,355.8685711,485.9490538,0.08128492935,0.2168735322,0.6661954114,0.1093786948,0.7038664609,0.6659774009,0.988802693,0.9860833228
16,1,0.7770058925,0.2229941075,150.5402778,168.3206026,362.1541008,506.585627,0.003053257252,0.2472060526,0.651329174,0.1093079098,0.7770058925,0.7526458726,0.9857348295,0.9852412611
17,1,0.8867939439,0.1132060561,150.7859267,169.282516,360.230604,503.7494113,0.04497515474,0.2330482607,0.6621286306,0.1105624927,0.8867939439,0.8620921056,0.9862870622,0.9849080191
18,1,0.7826392506,0.2173607494,151.4548363,171.1616285,361.5131117,513.9043606,0.01512961149,0.2449868828,0.6605333227,0.102400804,0.7826392506,0.7445096295,0.9797628607,0.9793036278
19,1,0.7125680113,0.2874319887,148.6162303,172.3930478,360.1347122,508.4913385,0.07095341319,0.2206188398,0.6667830092,0.1037503585,0.7125680113,0.6511502855,0.9759157598,0.9742976133
20,1,0.823375853,0.176624147,151.954449,173.2289021,363.7096341,523.385019,0.003099281979,0.2574235958,0.6721922385,0.09980862886,0.823375853,0.792790351,0.9802519078,0.9798486241
21,1,0.8850790978,0.1149209022,151.8258673,172.399499,360.1180284,515.3068596,0.0469766595,0.237699045,0.6718807151,0.09862058536,0.8850790978,0.8571632984,0.9814745897,0.9782470704
22,1,0.7991489938,0.2008510062,153.4309133,173.8605222,359.3792248,525.291622,0.01269208295,0.258744161,0.6794269246,0.09691061738,0.7991489938,0.763022009,0.9781163469,0.9769990818
23,1,0.7389297579,0.2610702421,150.7871945,175.6637467,356.8315339,520.2032143,0.06960378659,0.2218627813,0.6725733227,0.09266034047,0.7389297579,0.6802314311,0.9758000679,0.9725409907
24,1,0.8246850113,0.1753149887,155.1870889,176.2215736,356.959682,534.1331791,0.00457446471,0.2683959556,0.6928811247,0.09754607436,0.8246850113,0.7952024722,0.9782312645,0.9753087098
25,1,0.8778699189,0.1221300811,155.3536171,175.5124968,356.2473149,529.7223597,0.05029654637,0.2426489943,0.6836887525,0.09647972745,0.8778699189,0.8524099705,0.9831726111,0.9783937925
26,1,0.7949669027,0.2050330973,157.0017134,176.5971418,354.7548496,537.6464887,0.01427179732,0.2753752092,0.7033380116,0.1017636155,0.7949669027,0.7629553123,0.9792477407,0.9763501265
27,1,0.743997134,0.256002866,154.0377046,178.5396619,355.9755109,534.1620653,0.07321073722,0.2348294695,0.6935356695,0.09731899324,0.743997134,0.6893012198,0.9777864333,0.973894614
28,1,0.8261071611,0.1738928389,157.6005012,178.4919779,355.2965988,544.6533893,0.004895678508,0.2839019816,0.7130928117,0.1035249414,0.8261071611,0.7978460532,0.9795756268,0.9764496483
29,1,0.8810769618,0.1189230382,156.974561,177.9959759,354.8457336,537.2884814,0.05047239931,0.2480789182,0.6955182801,0.09819862278,0.8810769618,0.855382473,0.9831542741,0.9767816488
30,1,0.808775435,0.191224565,158.4418669,178.470872,352.7321259,543.5305915,0.01344975961,0.2810781122,0.7133069355,0.1057291839,0.808775435,0.7779890452,0.9792469593,0.9754287877
31,1,0.7696138862,0.2303861138,155.3609037,180.3704962,355.4136809,539.8338455,0.06659834982,0.2329241272,0.6934549691,0.09594913136,0.7696138862,0.7181762484,0.9776939957,0.9737479162
32,1,0.8270919706,0.1729080294,158.5893708,179.5940453,352.3297372,547.1921591,0.005814740275,0.2786412677,0.713702607,0.102199427,0.8270919706,0.7975327935,0.9782164735,0.9747678036
33,1,0.8626693945,0.1373306055,157.2657829,180.0686302,354.2707461,542.0903525,0.05236046733,0.2403891679,0.6946951279,0.09582548797,0.8626693945,0.831757272,0.981999869,0.9742336987
34,1,0.8269589395,0.1730410605,159.1372676,179.9115112,350.8355807,547.5896754,0.009022692296,0.2751964746,0.7124944375,0.1000967885,0.8269589395,0.7975343009,0.9792040509,0.9738452221
35,1,0.8157616835,0.1842383165,156.3703751,181.8505891,355.4981198,544.6840256,0.05675536549,0.2263443962,0.6861572269,0.08943262988,0.8157616835,0.7708583929,0.9782201581,0.972848773
36,1,0.8354176012,0.1645823988,159.0658923,180.4694113,350.0063132,548.8886014,0.006294479707,0.2714147686,0.710516549,0.09809268899,0.8354176012,0.805075276,0.9778973423,0.9728804215
37,1,0.8543720668,0.1456279332,157.3909026,181.4609768,353.6932969,545.2913352,0.05086736028,0.2323145916,0.6890036148,0.09211442926,0.8543720668,0.8200947245,0.9813152853,0.9727015857
38,1,0.8263228042,0.1736771958,159.357894,180.2876721,348.5175678,548.1379874,0.008863519098,0.2662141064,0.7073249213,0.09725794627,0.8263228042,0.7957714634,0.9789690966,0.9719850918
39,1,0.8179436062,0.1820563938,156.5131157,182.4495983,354.3364053,546.3141257,0.05418027488,0.2204337184,0.6808151505,0.08824530349,0.8179436062,0.7724316177,0.9779247133,0.972110901
40,1,0.8394267135,0.1605732865,159.2366247,180.8818498,347.8287366,549.6598794,0.006015387844,0.2648384399,0.7076007661,0.09568478521,0.8394267135,0.8090186417,0.9780692733,0.9720215912
41,1,0.8599499191,0.1400500809,157.6806374,181.8696999,352.3323709,546.8392396,0.04841162377,0.2296089653,0.6874626405,0.09088893108,0.8599499191,0.8268424936,0.9816221981,0.9716740745
42,1,0.8354629198,0.1645370802,159.5400001,180.8183792,346.4987883,549.2666972,0.008376416107,0.2656589209,0.7098815137,0.09602207452,0.8354629198,0.8058557671,0.979204096,0.9711186234
43,1,0.8273925552,0.1726074448,156.8309475,182.8614425,353.3141393,547.8666972,0.05214891342,0.2209556104,0.6817228791,0.08693852343,0.8273925552,0.7836973232,0.9775301382,0.9711595416
44,1,0.8424573487,0.1575426513,159.4040062,181.2161828,346.0850511,550.3790576,0.006223258766,0.2651053904,0.7099205791,0.09491612123,0.8424573487,0.8121115581,0.9778081655,0.9709616094
45,1,0.8591084502,0.1408915498,157.7192961,182.4129556,351.4602823,548.3448606,0.04776264285,0.2282735192,0.687729203,0.08944433314,0.8591084502,0.8249911103,0.9809326304,0.9707256715
46,1,0.8350479242,0.1649520758,159.6076987,180.9950764,344.8590639,549.58198,0.008545669875,0.2637173379,0.7103377492,0.09504337484,0.8350479242,0.8047665741,0.978723277,0.9700820208
47,1,0.8265346118,0.1734653882,156.7982064,183.1737766,352.2464551,548.8353854,0.05166353109,0.2199232051,0.6819257397,0.08721771218,0.8265346118,0.7819599161,0.9769721283,0.9704468526
48,1,0.8450768506,0.1549231494,159.4616016,181.4923011,344.5582894,550.9650277,0.006107817806,0.2641191126,0.7116031371,0.09449726758,0.8450768506,0.8145801383,0.9775248258,0.9703272178
