nelx,nely,L,H,aspect_ratio,dx,dy,elem_aspect,nEl,nNode,nDof,bc,nFixedDof,mid_idx,mid_y_over_H,mid_offset_over_H,exact_midheight
40,5,8.000000,1.000000,8.000000,0.20000000,0.20000000,1.00000000,200,246,492,SS,4,4,0.6000000000,0.1000000000,0
40,5,8.000000,1.000000,8.000000,0.20000000,0.20000000,1.00000000,200,246,492,CS,14,4,0.6000000000,0.1000000000,0
40,5,8.000000,1.000000,8.000000,0.20000000,0.20000000,1.00000000,200,246,492,CC,24,4,0.6000000000,0.1000000000,0
80,10,8.000000,1.000000,8.000000,0.10000000,0.10000000,1.00000000,800,891,1782,SS,4,6,0.5000000000,0.0000000000,1
80,10,8.000000,1.000000,8.000000,0.10000000,0.10000000,1.00000000,800,891,1782,CS,24,6,0.5000000000,0.0000000000,1
80,10,8.000000,1.000000,8.000000,0.10000000,0.10000000,1.00000000,800,891,1782,CC,44,6,0.5000000000,0.0000000000,1
160,20,8.000000,1.000000,8.000000,0.05000000,0.05000000,1.00000000,3200,3381,6762,SS,4,11,0.5000000000,0.0000000000,1
160,20,8.000000,1.000000,8.000000,0.05000000,0.05000000,1.00000000,3200,3381,6762,CS,44,11,0.5000000000,0.0000000000,1
160,20,8.000000,1.000000,8.000000,0.05000000,0.05000000,1.00000000,3200,3381,6762,CC,84,11,0.5000000000,0.0000000000,1
240,30,8.000000,1.000000,8.000000,0.03333333,0.03333333,1.00000000,7200,7471,14942,SS,4,16,0.5000000000,0.0000000000,1
240,30,8.000000,1.000000,8.000000,0.03333333,0.03333333,1.00000000,7200,7471,14942,CS,64,16,0.5000000000,0.0000000000,1
240,30,8.000000,1.000000,8.000000,0.03333333,0.03333333,1.00000000,7200,7471,14942,CC,124,16,0.5000000000,0.0000000000,1
