outer,omega1,omega2,gap12,volume,volErr,Mnd,gray,mid,move,stage,moveChanged,descent,beta,betaStallRel,betaStallFires,prodStageShadow,prodMoveShadow,prodTol,prodStopRaw,prodSettled,prodStopAdmit,exA,exB,exE,exNA,exNB,exDecl,exAmp,exCos,exNet,exMedcos,exMednet,exTol,exStageStart,cosT,net_ratio,cosT_unsat,net_ratio_unsat,boundFrac,revFrac,maxAbs,ratio,l2,rms,stepNorm,path_W,net_W,nInner,cumInner,innerConv,multN,multJ,degen,tOuter
1,68.215607617021135,251.35772414293928,2.6847538697320141,0.50000000000000877,8.7707618945387367e-15,99.360000000211983,1,1,0.040000000000000001,1,1,0,5478.0751921086876,NaN,0,1,0.040000000000000001,0.15000000000000002,0,0,0,0,0,0,0,0,0,6.7882250982630223,NaN,NaN,NaN,NaN,0.15000000000000002,1,NaN,NaN,NaN,NaN,1,NaN,0.039999999999977838,0.99999999999944589,6.7882250982630223,0.039999999993354171,0.039999999993354206,NaN,NaN,28,28,1,2,0,0,45.097420416666665
2,74.338889103775955,268.94687949906967,2.6178490523798912,0.50000000000004929,4.929390229335695e-14,97.641955573429854,1,1,0.040000000000000001,1,0,0,6425.0340408095271,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,6.7882249903817184,0.84222223814745445,NaN,NaN,NaN,0.15000000000000002,1,0.84222223814745445,NaN,NaN,NaN,1,0.078888888888888883,0.03999999999921678,0.99999999998041944,6.7882249903817184,0.039999999357657495,0.039999999357657516,NaN,NaN,23,51,1,2,0,0,36.266257833333334
3,80.425944871020604,284.79617500918857,2.5410982794907451,0.50000000000751921,7.5192074788787977e-12,95.10400086574154,1,0.16875000000000001,0.040000000000000001,1,0,0,7429.1600400037105,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,6.7882190777129363,0.76777856254051291,NaN,NaN,NaN,0.15000000000000002,1,0.76777856254051291,NaN,NaN,NaN,1,0.11611111111111111,0.039999999896530976,0.99999999741327439,6.7882190777129363,0.039999964516922573,0.03999996451692258,NaN,NaN,23,74,1,2,0,0,36.67430816666667
4,86.388549754224172,298.44725229022521,2.4547084438772155,0.50000000000003875,3.8746783559417963e-14,92.30720028793516,1,0.30375000000000002,0.040000000000000001,1,0,0,8470.2330499504824,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,6.7882250605486636,0.5916676496447042,NaN,NaN,NaN,0.15000000000000002,1,0.5916676496447042,NaN,NaN,NaN,1,0.20416666666666666,0.039999999999399537,0.99999999998498845,6.7882250605486636,0.039999999771120183,0.039999999771120211,NaN,NaN,22,96,1,2,0,0,35.106362666666669
5,92.202907420434045,307.92082940760662,2.3395999976825577,0.50000000000006917,6.9166894434147252e-14,88.699022324116058,1,0.15027777777777779,0.040000000000000001,1,0,0,9556.5341941811621,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,6.7882250166798874,0.57222223461558808,NaN,NaN,NaN,0.15000000000000002,1,0.57222223461558808,NaN,NaN,NaN,1,0.21388888888888888,0.039999999998820986,0.99999999997052458,6.7882250166798874,0.03999999951262094,0.039999999512620954,NaN,NaN,48,144,1,2,0,0,69.506238624999995
6,97.884783441644132,310.6649973027574,2.1737823426658163,0.50000000000005607,5.6066262743570405e-14,84.915200021413824,1,0.27458333333333335,0.040000000000000001,1,0,0,10677.960080336994,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,6.788225039388883,0.58888890638588853,NaN,NaN,NaN,0.15000000000000002,1,0.58888890638588853,NaN,NaN,NaN,1,0.20555555555555555,0.039999999998891873,0.99999999997229683,6.788225039388883,0.039999999646434983,0.039999999646435004,NaN,NaN,26,170,1,2,0,0,40.456281875000002
7,103.40393540917339,303.55990497976939,1.9356707148385703,0.49999999999249856,-7.5014439104847952e-12,80.708977618066953,1,0.11791666666666667,0.040000000000000001,1,0,0,11833.107369002633,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,6.7882250162763711,0.54111112087386415,NaN,NaN,NaN,0.15000000000000002,1,0.54111112087386415,NaN,NaN,NaN,1,0.22944444444444445,0.039999999998685511,0.99999999996713773,6.7882250162763711,0.039999999510243196,0.039999999510243217,NaN,NaN,21,191,1,2,0,0,33.235846583333334
8,108.8711270462487,283.02755983966381,1.5996567457176505,0.50000000001239886,1.2398859716711286e-11,76.295822148474855,1,0.24236111111111111,0.040000000000000001,1,0,0,13043.703873530438,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,6.7882250133141993,0.52944446301237036,NaN,NaN,NaN,0.15000000000000002,1,0.52944446301237036,NaN,NaN,NaN,1,0.23527777777777778,0.039999999998931828,0.99999999997329569,6.7882250133141993,0.039999999492788436,0.039999999492788443,NaN,NaN,23,214,1,2,1,0,36.283590666666669
9,114.27536797870617,251.84152178026986,1.2038128271632211,0.50000000000013189,1.318944953254686e-13,71.631644428432764,1,0.12277777777777778,0.040000000000000001,1,0,0,14347.293646091897,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,6.7882250884879163,0.48388889946215458,NaN,NaN,NaN,0.15000000000000002,1,0.48388889946215458,NaN,NaN,NaN,1,0.25805555555555554,0.039999999999843612,0.99999999999609024,6.7882250884879163,0.039999999935753809,0.03999999993575383,NaN,NaN,22,236,1,2,0,0,34.965503875000003
10,120.03216123528416,213.16604196014009,0.77590772145056297,0.50000000000360767,3.6076697185194462e-12,66.416355634847008,1,0.24972222222222223,0.040000000000000001,1,0,0,15825.283959110126,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,6.7882250909524426,0.49833333511424405,0.72439253428493278,NaN,NaN,0.15000000000000002,1,0.49833333511424405,0.72439253428493278,NaN,NaN,1,0.25083333333333335,0.039999999999962822,0.99999999999907052,6.7882250909524426,0.039999999950276172,0.039999999950276179,0.39999996168717211,0.28975698596044663,23,259,1,2,0,0,37.707895291666667
11,126.0841851025199,177.40713637773158,0.40705304343665816,0.49999999999828276,-1.7172374633389609e-12,60.654222264322279,0.60333333333333339,0.14333333333333334,0.040000000000000001,1,0,0,17530.829669920477,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,6.7882250973525506,0.44388889017622224,0.72103327600391021,NaN,NaN,0.15000000000000002,1,0.44388889017622224,0.72103327600391021,NaN,NaN,1,0.27805555555555556,0.040000000000000001,1,6.7882250973525506,0.039999999987989171,0.039999999987989178,0.39999996168180713,0.28841328277287193,23,282,1,2,0,0,36.35422320833333
12,134.31252744508438,156.08780289458409,0.1621239348533802,0.49999999999828471,-1.7152945730458669e-12,54.059378022352256,0.60250000000000004,0.28833333333333333,0.040000000000000001,1,0,0,20037.642947599361,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,6.7882250993799698,0.47444444457667984,0.72806446740895547,NaN,NaN,0.15000000000000002,1,0.47444444457667984,0.72806446740895547,NaN,NaN,1,0.26277777777777778,0.040000000000000001,1,6.7882250993799698,0.039999999999935851,0.039999999999935858,0.39999996232408547,0.29122575953308755,32,314,1,2,0,0,49.53499875
13,140.82846783927423,150.45274992369318,0.068340458659274947,0.50000000000000155,1.5543122344752192e-15,49.856026796387518,0.55152777777777773,0.19263888888888889,0.040000000000000001,1,0,0,21133.196148991545,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,5.705126484914893,0.33761898080877922,0.72408277277829558,NaN,NaN,0.15000000000000002,1,0.33761898080877922,0.72408277277829558,NaN,NaN,0.61364583333333333,0.25958333333333333,0.039999999999977033,0.99999999999942579,5.705126484914893,0.033617780208419101,0.033617780208419115,0.39361777801558201,0.28501185212035424,23,337,1,2,0,0,54.877431000000001
14,145.63204671181609,151.05957984093706,0.03726881034544028,0.50000000000000533,5.3290705182007514e-15,48.12729348219181,0.54513888888888884,0.30732638888888891,0.040000000000000001,1,0,0,21976.416164488142,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,5.330065665613561,0.21691158408743694,0.70527143112543955,NaN,NaN,0.15000000000000002,1,0.21691158408743694,0.70527143112543955,0.20723844895962076,NaN,0.61652777777777779,0.23784722222222221,0.040000000000000001,1,5.330065665613561,0.031407713136041147,0.031407713136041168,0.3850254913805029,0.27154747932570289,23,360,1,2,0,0,54.461416791666664
