element,rho,delta,scheme,raw_analytic,FE_FD,filtered_analytic,raw_subspace_FD,filtered_subspace_FD,abs_error,relative_error,error_over_raw_interior_RMS
2.685000000000000000e+03,4.245782624267204763e-01,1.000000000000000021e-03,0.000000000000000000e+00,-1.547097014391205505e-01,-1.547240772197255865e-01,1.716332259132396398e+00,-1.547097014391233261e-01,1.716332259132393068e+00,1.437578060503597044e-05,9.292100282859734194e-05,2.480706975495254469e-06
2.685000000000000000e+03,4.245782624267204763e-01,2.999999999999999737e-04,0.000000000000000000e+00,-1.547097014391205505e-01,-1.547363899589981884e-01,1.716332259132396398e+00,-1.547097014391208281e-01,1.716332259132396176e+00,2.668851987763787292e-05,1.725070866880317193e-04,4.605412342124037886e-06
2.685000000000000000e+03,4.245782624267204763e-01,1.000000000000000048e-04,0.000000000000000000e+00,-1.547097014391205505e-01,-1.548001455375924706e-01,1.716332259132396398e+00,-1.547097014391205783e-01,1.716332259132396398e+00,9.044409847192014240e-05,5.846052162896234498e-04,1.560717376926820565e-05
2.708000000000000000e+03,4.801841960670187315e-01,1.000000000000000021e-03,0.000000000000000000e+00,2.259979243035463714e-01,2.259959692310076207e-01,1.795636254196406156e+00,2.259979243035447338e-01,1.795636254196402826e+00,1.955072538750712852e-06,8.650842899445309903e-06,3.373703465381992758e-07
2.708000000000000000e+03,4.801841960670187315e-01,2.999999999999999737e-04,0.000000000000000000e+00,2.259979243035463714e-01,2.259428098720188127e-01,1.795636254196406156e+00,2.259979243035461771e-01,1.795636254196405490e+00,5.511443152755868269e-05,2.438714058874824207e-04,9.510631700443114542e-06
2.708000000000000000e+03,4.801841960670187315e-01,1.000000000000000048e-04,0.000000000000000000e+00,2.259979243035463714e-01,2.258739186800085008e-01,1.795636254196406156e+00,2.259979243035463436e-01,1.795636254196406156e+00,1.240056235378705907e-04,5.487024888392954105e-04,2.139860253593960345e-05
4.104000000000000000e+03,9.994060292934764389e-01,1.000000000000000021e-03,-1.000000000000000000e+00,5.144050806726499836e+00,5.144052729519899003e+00,5.152417304311959434e+00,5.144050806726335523e+00,5.152417304311794233e+00,1.922793399167233019e-06,3.737897371956234366e-07,3.318002081973517482e-07
4.104000000000000000e+03,9.994060292934764389e-01,2.999999999999999737e-04,0.000000000000000000e+00,5.144050806726499836e+00,5.144066878225809880e+00,5.152417304311959434e+00,5.144050806726484737e+00,5.152417304311945223e+00,1.607149931004414611e-05,3.124288603259637351e-06,2.773322822631788932e-06
4.104000000000000000e+03,9.994060292934764389e-01,1.000000000000000048e-04,0.000000000000000000e+00,5.144050806726499836e+00,5.143923535797512159e+00,5.152417304311959434e+00,5.144050806726498948e+00,5.152417304311955881e+00,1.272709289876772232e-04,2.474138257368187696e-05,2.196206870372602481e-05
4.879000000000000000e+03,1.997122443554089338e-03,1.000000000000000021e-03,1.000000000000000000e+00,2.913568705865340699e-05,6.543632480315864086e-05,3.665285904932252917e-05,2.913568705865340699e-05,3.665285904932252917e-05,3.630063774450523726e-05,1.245916654425480941e+00,6.264094294550841338e-06
