iteration,final_core_gray_fraction,final_core_mid_fraction,domain_L1_to_final,final_core_L1_to_final,threshold_flip_to_final
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.809139649818901741e-01,8.747231494561050202e-02,2.768055555555555824e-01
2.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.666928712227167653e-01,8.777827206451499498e-02,2.634722222222222188e-01
3.000000000000000000e+00,1.000000000000000000e+00,9.951974386339380585e-01,3.519016693217985048e-01,8.888873757182576274e-02,2.548611111111110938e-01
4.000000000000000000e+00,1.000000000000000000e+00,9.951974386339380585e-01,3.371222425775852183e-01,9.051605743798418757e-02,2.431944444444444353e-01
5.000000000000000000e+00,1.000000000000000000e+00,9.951974386339380585e-01,3.221495032064860542e-01,9.231449761316752600e-02,2.390277777777777835e-01
6.000000000000000000e+00,1.000000000000000000e+00,9.882604055496264639e-01,3.076252224202264962e-01,9.403186177392153233e-02,2.293055555555555680e-01
7.000000000000000000e+00,1.000000000000000000e+00,9.397011739594450797e-01,2.938053927803809251e-01,9.559392757162990528e-02,2.251388888888888884e-01
8.000000000000000000e+00,1.000000000000000000e+00,8.996798292422625298e-01,2.803613240761329561e-01,9.705331051799596931e-02,2.212500000000000022e-01
9.000000000000000000e+00,1.000000000000000000e+00,8.729989327641408670e-01,2.679747979429329963e-01,9.834124873903565822e-02,2.106944444444444342e-01
1.000000000000000000e+01,1.000000000000000000e+00,8.527214514407683854e-01,2.567065877374412608e-01,9.943346193720832560e-02,2.095833333333333437e-01
1.100000000000000000e+01,1.000000000000000000e+00,8.356456776947704945e-01,2.460067514402252131e-01,1.003573888960430233e-01,2.034722222222222210e-01
1.200000000000000000e+01,1.000000000000000000e+00,8.292422625400213132e-01,2.358285669865130829e-01,1.011094401182204422e-01,1.943055555555555647e-01
1.300000000000000000e+01,1.000000000000000000e+00,8.367129135538954321e-01,2.267063518822239887e-01,1.013847762388766366e-01,1.841666666666666730e-01
1.400000000000000000e+01,1.000000000000000000e+00,8.623265741728921574e-01,2.195529595638680553e-01,1.011349095090778305e-01,1.780555555555555503e-01
1.500000000000000000e+01,1.000000000000000000e+00,8.879402347918889937e-01,2.135286826158430684e-01,1.007899488016847922e-01,1.762499999999999900e-01
1.600000000000000000e+01,1.000000000000000000e+00,9.210245464247598379e-01,2.082512095380906203e-01,1.004559045932218730e-01,1.772222222222222254e-01
1.700000000000000000e+01,1.000000000000000000e+00,9.589114194236926236e-01,2.035727108476475811e-01,1.001584444292667325e-01,1.779166666666666674e-01
1.800000000000000000e+01,1.000000000000000000e+00,9.914621131270010546e-01,1.996119950122426934e-01,9.991727102700194429e-02,1.779166666666666674e-01
1.900000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.958786986083327908e-01,9.968540799699146526e-02,1.809722222222222288e-01
2.000000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.925137179841076296e-01,9.947314154271065523e-02,1.851388888888888806e-01
2.100000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.897789434772541584e-01,9.934610101161393814e-02,1.894444444444444431e-01
2.200000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.875889032353858232e-01,9.946904930639460796e-02,1.903472222222222232e-01
2.300000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.854153884003414687e-01,9.955402112106712109e-02,1.910416666666666652e-01
2.400000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.839303182755691601e-01,9.954297379024551473e-02,1.911805555555555480e-01
2.500000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.824136780928828083e-01,9.953451786764150322e-02,1.912500000000000033e-01
2.600000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.810039750534500613e-01,9.950317141586602354e-02,1.914583333333333415e-01
2.700000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.795727012227846808e-01,9.947248921616390349e-02,1.914583333333333415e-01
2.800000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.783910159382839922e-01,9.936383752031528738e-02,1.914583333333333415e-01
2.900000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.771131598435946863e-01,9.925505321857971963e-02,1.916666666666666796e-01
3.000000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.761210788912640213e-01,9.911716380234386614e-02,1.920138888888889006e-01
3.100000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.748820525947465676e-01,9.890929268976567101e-02,1.915972222222222243e-01
3.200000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.738496615805730783e-01,9.868734381050446591e-02,1.917361111111111072e-01
3.300000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.729471923525831567e-01,9.848943496610944315e-02,1.919444444444444453e-01
3.400000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.718385359865456097e-01,9.826268822647449275e-02,1.917361111111111072e-01
3.500000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.709468855268852505e-01,9.805278124719091215e-02,1.918055555555555625e-01
3.600000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.698330739128834921e-01,9.784915041533739921e-02,1.913888888888888862e-01
3.700000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.688231206250408456e-01,9.759531153898277911e-02,1.911111111111111205e-01
3.800000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.679403353028745549e-01,9.730598726316815050e-02,1.910416666666666652e-01
3.900000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.670538824133217248e-01,9.700973695107027728e-02,1.909027777777777823e-01
4.000000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.659972959555830740e-01,9.676038543784733215e-02,1.897222222222222088e-01
4.100000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.652223809094101048e-01,9.645736596488993508e-02,1.896527777777777812e-01
4.200000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.641730188686690572e-01,9.609113151330246627e-02,1.894444444444444431e-01
4.300000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.634658937449907923e-01,9.579693699272723295e-02,1.893055555555555602e-01
4.400000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.625926192638887380e-01,9.552057256096195548e-02,1.885416666666666630e-01
4.500000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.614418273353703803e-01,9.511112877269026211e-02,1.878472222222222210e-01
4.600000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.603804436309978487e-01,9.470346590042934276e-02,1.870833333333333237e-01
4.700000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.596904215560039642e-01,9.441337558125292850e-02,1.865972222222222199e-01
4.800000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.588512625549505786e-01,9.408781907096339103e-02,1.869444444444444409e-01
4.900000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.581053246360547282e-01,9.377317697642317817e-02,1.868750000000000133e-01
5.000000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.571825101117856061e-01,9.343020937183547925e-02,1.857638888888888951e-01
5.100000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.563277882293336585e-01,9.308939382709095767e-02,1.856250000000000122e-01
5.200000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.555628024035735912e-01,9.276809822997990340e-02,1.849999999999999978e-01
5.300000000000000000e+01,1.000000000000000000e+00,9.951974386339380585e-01,1.547329723511827182e-01,9.244817620536807667e-02,1.840277777777777901e-01
