iteration,Mnd_percent,gray_fraction,mid_fraction,broad_core_fraction,omega1_preupdate,omega2_preupdate,omega3_preupdate,move,stage,exA,exB,exE,gap12_preupdate,gap23_preupdate,warning
1.000000000000000000e+00,9.995986278044006212e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.814595542448824972e+01,2.504835518258443585e+02,3.716199425078202694e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.675692126782231561e+00,4.836101604236247575e-01,0.000000000000000000e+00
2.000000000000000000e+00,9.983827309498548175e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.046903779218364150e+01,2.553935411524689698e+02,3.872762067116991602e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.624195095520333254e+00,5.163899798096175386e-01,0.000000000000000000e+00
3.000000000000000000e+00,9.963694832033091586e+01,1.000000000000000000e+00,9.992999999999999661e-01,1.000000000000000000e+00,7.286271547427593021e+01,2.603717224781684649e+02,3.997444688336926788e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.573456201616481032e+00,5.352837283135086777e-01,0.000000000000000000e+00
4.000000000000000000e+00,9.935738615750909730e+01,1.000000000000000000e+00,9.637000000000000011e-01,1.000000000000000000e+00,7.527035104799462317e+01,2.652945185038382192e+02,4.095965616209721247e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.524555350282324806e+00,5.439314914267486811e-01,0.000000000000000000e+00
5.000000000000000000e+00,9.900098967094646696e+01,1.000000000000000000e+00,9.322500000000000231e-01,1.000000000000000000e+00,7.769892418852495553e+01,2.701863158757038832e+02,4.173903806268776293e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.477349508985950965e+00,5.448242790315601658e-01,0.000000000000000000e+00
6.000000000000000000e+00,9.856913161380195731e+01,1.000000000000000000e+00,9.059500000000000330e-01,1.000000000000000000e+00,8.015264428521102502e+01,2.750531998910261109e+02,4.236228407295300258e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.431617289035294061e+00,5.401487453967669383e-01,0.000000000000000000e+00
7.000000000000000000e+00,9.806316809150764868e+01,1.000000000000000000e+00,8.858000000000000318e-01,1.000000000000000000e+00,8.263423671869546183e+01,2.798905724512488860e+02,4.286925545515063618e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.387101806289516404e+00,5.316434233460138881e-01,0.000000000000000000e+00
8.000000000000000000e+00,9.745029812825075055e+01,1.000000000000000000e+00,8.612499999999999600e-01,1.000000000000000000e+00,8.514488614648324472e+01,2.846823561789591395e+02,4.329508318419044031e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.343505042559944851e+00,5.208207408882749023e-01,0.000000000000000000e+00
9.000000000000000000e+00,9.671955177141208537e+01,1.000000000000000000e+00,7.950000000000000400e-01,1.000000000000000000e+00,8.782544987666109648e+01,2.896574407639188280e+02,4.367437691289946997e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.298103695121440637e+00,5.077940617619296493e-01,0.000000000000000000e+00
1.000000000000000000e+01,9.590325719768696899e+01,1.000000000000000000e+00,7.410999999999999810e-01,1.000000000000000000e+00,9.068094729111342645e+01,2.947754890266191410e+02,4.403538591211076891e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.250688240830790665e+00,4.938618559338302516e-01,0.000000000000000000e+00
1.100000000000000000e+01,9.500365411247268810e+01,9.999000000000000110e-01,6.947499999999999787e-01,9.979000000000000092e-01,9.357029006848641473e+01,2.997305009271714766e+02,4.438692490003112994e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.203265702262879433e+00,4.808944956461493336e-01,0.000000000000000000e+00
1.200000000000000000e+01,9.402322730113900207e+01,9.998000000000000220e-01,6.551500000000000101e-01,9.974499999999999478e-01,9.649164107103020172e+01,3.044649989425703893e+02,4.474669029808837877e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.155351028991673967e+00,4.696825728243629317e-01,0.000000000000000000e+00
1.300000000000000000e+01,9.296494800149943671e+01,9.889000000000000012e-01,6.213999999999999524e-01,9.563000000000000389e-01,9.944190436795769017e+01,3.089083966720661465e+02,4.512589479712166849e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.106420765324794164e+00,4.608180057024101051e-01,0.000000000000000000e+00
1.400000000000000000e+01,9.183247416585440703e+01,9.779999999999999805e-01,5.914500000000000313e-01,9.336999999999999744e-01,1.024166200971249907e+02,3.129763752498947724e+02,4.553156171344238601e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.055913922497043522e+00,4.547922883025240504e-01,0.000000000000000000e+00
1.500000000000000000e+01,9.063248382075671827e+01,9.674500000000000322e-01,5.657999999999999696e-01,9.153499999999999970e-01,1.054069066378277739e+02,3.165459163827152906e+02,4.592467601688348964e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.003085153332023527e+00,4.508061434398326073e-01,0.000000000000000000e+00
