outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,beta,l2,rms,maxAbs,tolOuter,epsRMS,stopRaw,settledMove,stopAdmitted,moveDescent,nActive_epsRMS,nActive_1e4,nActive_1e3,nActive_1e2,nInner,innerConv,multN,degen
1,68.2746478412206,252.068314894117,2.6919753212104,0.499927253766699,99.6140039627192,1,1,0.04,1,5441.14467865681,3.51452318145462,0.0310642896780485,0.0399746990561949,0.1,0.000883883476483184,0,0,0,0,12676,12784,12664,11456,21,1,2,1
2,74.1197137488328,267.938431755763,2.61494153449806,0.499924394129461,98.4980973449614,1,1,0.04,1,6350.30246112627,3.43918135002842,0.0303983556791925,0.0399708530362256,0.1,0.000883883476483184,0,1,0,0,12664,12776,12636,11028,20,1,2,1
3,80.0240152585583,282.490055335346,2.53006599859577,0.499919956485885,96.728425239019,1,0.524375,0.04,1,7329.85508801603,3.35482576954657,0.0296527506418219,0.039966685929659,0.1,0.000883883476483184,0,1,0,0,12580,12772,12552,10156,19,1,2,1
4,85.9170482100113,294.794877906879,2.43115695951631,0.499913409189406,94.4104835195212,1,0.43125,0.04,1,8361.6051808735,3.24339197468478,0.0286678057418204,0.0399620842153684,0.1,0.000883883476483184,0,1,0,0,12432,12756,12368,9676,18,1,2,1
5,91.7003045004297,303.407760422339,2.30868869056937,0.499906694424233,91.6849098200174,1,0.3978125,0.04,1,9420.2571272733,3.10309957202601,0.0274277843759583,0.0399568477222789,0.1,0.000883883476483184,0,1,0,0,12392,12756,12372,8616,17,1,2,1
6,97.272934434644,306.1838919053,2.14767816643816,0.499910272991287,88.6711398512687,1,0.365,0.04,1,10490.3207330433,2.98325435167692,0.0263684922759378,0.0399511947889905,0.1,0.000883883476483184,0,1,0,0,12388,12772,12332,7988,17,1,2,1
7,102.609250609119,300.713350699849,1.93066510977056,0.499905166238958,85.5691217489453,1,0.3515625,0.04,1,11548.7405886792,2.80820263301284,0.0248212390593662,0.0399439689198309,0.1,0.000883883476483184,0,1,0,0,12168,12724,12112,7180,16,1,2,1
8,107.653110280194,284.834280241324,1.64585277192617,0.499899152462222,82.4860930835809,1,0.32375,0.04,1,12599.9101804276,2.64607819784588,0.0233882479655838,0.0399353594668459,0.1,0.000883883476483184,0,1,0,0,12212,12708,12116,6720,15,1,2,1
9,112.46730972596,258.983395487133,1.30274375832566,0.499901021667171,79.3537760013368,1,0.328125,0.04,1,13680.8085568734,2.56899353892194,0.0227069094024516,0.0399310046033838,0.1,0.000883883476483184,0,1,0,0,12128,12800,12044,6340,15,1,2,1
10,117.226296391625,226.235235793479,0.929901760588603,0.499907272544295,76.1122320996186,1,0.3271875,0.04,1,14821.0029696099,2.52435094972966,0.0223123209331068,0.0399347177358845,0.1,0.000883883476483184,0,1,0,0,12112,12696,11976,6276,15,1,2,1
11,122.053523593912,192.994127444405,0.581225365410352,0.499911940267424,72.662557109368,0.7846875,0.3134375,0.04,1,16057.3727974407,2.51516330064398,0.0222311128209613,0.0399377919569764,0.1,0.000883883476483184,0,1,0,0,11720,12688,11580,6416,15,1,2,1
12,127.924137281596,167.985271113022,0.313163212844194,0.499927819073963,68.7859671448894,0.754375,0.323125,0.04,1,17818.4412958371,2.59726471755014,0.0229567936789533,0.0399382876730849,0.1,0.000883883476483184,0,1,0,0,11776,12700,11664,6700,16,1,2,1
13,133.309742207229,155.475722431057,0.166274271158456,0.499915541414494,65.7134903390229,0.7203125,0.3325,0.04,1,18801.1107744629,2.15729515919697,0.0190679754511136,0.0398684802704962,0.1,0.000883883476483184,0,1,0,0,12228,12768,12116,6788,15,1,2,1
