outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,itersSinceMoveChange,moveDescent,maxAbs,rms,l2,r_rho,r_rho_below_thr,utilPersistCount,beta,betaStallRel,betaStallFires,objRelRange_W10,nInner,innerConv,multN,degen,multJ
1,68.2746478412206,252.068314894117,2.6919753212104,0.499927253766699,99.6140039627192,1,1,0.04,1,0,0,0.0399746990561949,0.0310642896780485,3.51452318145462,0.999367476404873,0,0,5441.14467865681,NaN,0,NaN,21,1,2,1,0
2,74.1197137488328,267.938431755763,2.61494153449806,0.499924394129461,98.4980973449614,1,1,0.04,1,1,0,0.0399708530362256,0.0303983556791925,3.43918135002842,0.99927132590564,0,0,6350.30246112627,NaN,0,NaN,20,1,2,1,0
3,80.0240152585583,282.490055335346,2.53006599859577,0.499919956485885,96.728425239019,1,0.524375,0.04,1,2,0,0.039966685929659,0.0296527506418219,3.35482576954657,0.999167148241475,0,0,7329.85508801603,NaN,0,NaN,19,1,2,1,0
4,85.9170482100113,294.794877906879,2.43115695951631,0.499913409189406,94.4104835195212,1,0.43125,0.04,1,3,0,0.0399620842153684,0.0286678057418204,3.24339197468478,0.999052105384209,0,0,8361.6051808735,NaN,0,NaN,18,1,2,1,0
5,91.7003045004297,303.407760422339,2.30868869056937,0.499906694424233,91.6849098200174,1,0.3978125,0.04,1,4,0,0.0399568477222789,0.0274277843759583,3.10309957202601,0.998921193056972,0,0,9420.2571272733,NaN,0,NaN,17,1,2,1,0
6,97.272934434644,306.1838919053,2.14767816643816,0.499910272991287,88.6711398512687,1,0.365,0.04,1,5,0,0.0399511947889905,0.0263684922759378,2.98325435167692,0.998779869724761,0,0,10490.3207330433,NaN,0,NaN,17,1,2,1,0
7,102.609250609119,300.713350699849,1.93066510977056,0.499905166238958,85.5691217489453,1,0.3515625,0.04,1,6,0,0.0399439689198309,0.0248212390593662,2.80820263301284,0.998599222995772,0,0,11548.7405886792,NaN,0,NaN,16,1,2,1,0
8,107.653110280194,284.834280241324,1.64585277192617,0.499899152462222,82.4860930835809,1,0.32375,0.04,1,7,0,0.0399353594668459,0.0233882479655838,2.64607819784588,0.998383986671149,0,0,12599.9101804276,NaN,0,NaN,15,1,2,1,0
9,112.46730972596,258.983395487133,1.30274375832566,0.499901021667171,79.3537760013368,1,0.328125,0.04,1,8,0,0.0399310046033838,0.0227069094024516,2.56899353892194,0.998275115084596,0,0,13680.8085568734,NaN,0,NaN,15,1,2,1,1
10,117.226296391625,226.235235793479,0.929901760588603,0.499907272544295,76.1122320996186,1,0.3271875,0.04,1,9,0,0.0399347177358845,0.0223123209331068,2.52435094972966,0.998367943397113,0,0,14821.0029696099,NaN,0,0.522282042139426,15,1,2,1,0
11,122.053523593912,192.994127444405,0.581225365410352,0.499911940267424,72.662557109368,0.7846875,0.3134375,0.04,1,10,0,0.0399377919569764,0.0222311128209613,2.51516330064398,0.99844479892441,0,0,16057.3727974407,NaN,0,0.483670086312491,15,1,2,1,0
12,127.924137281596,167.985271113022,0.313163212844194,0.499927819073963,68.7859671448894,0.754375,0.323125,0.04,1,11,0,0.0399382876730849,0.0229567936789533,2.59726471755014,0.998457191827123,0,0,17818.4412958371,NaN,0,0.458441086349512,16,1,2,1,0
13,133.309742207229,155.475722431057,0.166274271158456,0.499915541414494,65.7134903390229,0.7203125,0.3325,0.04,1,12,0,0.0398684802704962,0.0190679754511136,2.15729515919697,0.996712006762405,0,0,18801.1107744629,NaN,0,0.431574915175262,15,1,2,1,0
14,137.227932408596,151.105963266259,0.101131239202394,0.499947043662529,63.910565019246,0.7075,0.336875,0.04,1,13,0,0.0398876361681687,0.0162701649146098,1.84075903074305,0.997190904204218,0,0,19586.2189981514,NaN,0,0.396083727983911,15,1,2,1,0
15,139.788677863004,147.713118172442,0.0566887134965563,0.499956019711361,62.4395105398578,0.6890625,0.339375,0.04,1,14,0,0.0398499748665801,0.0152755402623524,1.7282300969276,0.996249371664502,0,0,20128.6511771367,NaN,0,0.355027765024787,15,1,2,1,0
16,141.823783854304,144.87539525764,0.0215169227643173,0.499968290614554,61.2761396964077,0.6671875,0.32875,0.04,1,15,0,0.0398465364117529,0.0128761587682477,1.45677106890602,0.996163410293823,0,0,20591.0914435628,NaN,0,0.315715689834747,17,1,2,1,0
17,143.619960107361,144.617503180056,0.00694571333921551,0.499974222278136,59.9722846113502,0.6571875,0.3140625,0.04,1,16,0,0.0398825284784222,0.0143683171057251,1.6255895135515,0.997063211960554,0,0,21044.8263686052,NaN,0,0.280313340630831,40,1,2,1,0
18,144.934364288592,145.607334005926,0.00464327228837639,0.499973251992815,59.0238999618418,0.648125,0.30875,0.04,1,17,0,0.0398061015701732,0.0104175187387401,1.17860770292817,0.99515253925433,0,0,21334.6116044113,NaN,0,0.245892543167555,20,1,2,1,0
19,145.898305792962,146.826248415235,0.00636020149260119,0.499973404026268,58.137999876644,0.63171875,0.29890625,0.04,1,18,0,0.0398309316499201,0.0101471876569711,1.14802323235467,0.995773291248002,0,0,21566.5827215606,NaN,0,0.211788055839217,23,1,2,1,0
20,146.949567602768,147.636789241812,0.00467658156642107,0.499977071450582,57.4230846452624,0.625625,0.298125,0.04,1,19,0,0.039880824715434,0.00859829552478057,0.972786091554926,0.997020617885849,0,0,21842.186550098,NaN,0,0.179945820465204,19,1,2,1,0
21,147.724250335386,148.359811941974,0.00430235120601714,0.499985252667971,56.6752198674192,0.61859375,0.29453125,0.04,1,20,0,0.0398591794344416,0.00866758539773578,0.980625345800395,0.996479485861039,0,0,22063.8135219628,0.986837770500393,0,0.140505981499334,19,1,2,1,0
22,148.393557272514,149.395744046463,0.00675357335162965,0.499978634998781,56.0499850696749,0.608125,0.293125,0.04,1,21,0,0.0398096979781344,0.00738161144305482,0.835134001194924,0.99524244945336,0,0,22204.4017036103,0.850507946433484,0,0.105505561212909,19,1,2,1,0
23,149.063390960427,149.73880610474,0.00453105983945255,0.499975547764414,55.4266558600201,0.60375,0.29171875,0.04,1,22,0,0.0398693911184776,0.00752267733486576,0.851093784985907,0.99673477796194,0,0,22413.6444670323,0.712653578238055,0,0.0818822730726769,19,1,2,1,0
