mesh,stage,start,declaration,duration,branch,amp_over_tol,medcos,mednet
160x20,1,1,102,102,A,12.59299405822477,-0.906580232393946,0.1329617713293757
160x20,2,103,141,39,A,2.189388817418995,-0.8567335705633676,0.22610186014893702
160x20,3,142,180,39,B,0.10355194206462318,0.5681067723829708,0.8703066340589276
160x20,4,181,219,39,B,0.04683073174609276,0.8921769365321128,0.9316157284189392
240x30,1,1,206,206,B,0.5092684413691927,0.9900339146129635,0.9404167100978069
240x30,2,207,245,39,B,0.14353654336026844,0.9970628571652578,0.9874428461762422
240x30,3,246,284,39,B,0.047710572371152525,0.78613360885388,0.8920278532743366
240x30,4,285,1358,1074,B,0.015285389996615594,0.39675290280552034,0.8177139439918393
320x40,1,1,274,274,A,1.031261433441822,-0.6538842699968497,0.4211376008333546
320x40,2,275,313,39,B,0.10803331097620686,0.9999649239133963,0.9997497672502524
320x40,3,314,352,39,B,0.03273705295769494,0.5941707234454476,0.7527244130517496
400x50,1,1,388,388,B,0.6398205937160605,0.9981070691081662,0.9934647291640188
400x50,2,389,427,39,B,0.144496976535398,0.9996382946631228,0.9987870495268008
400x50,3,428,466,39,B,0.06328797679442143,0.19069843764054326,0.5666592161767758
400x50,4,467,505,39,B,0.010773025759218714,0.7074767980161826,0.7857064251602562
