mesh,stage,move,outer,inner,mean,max,p50,p90,nonconverged
160x20,1,0.04,102,2716.0,26.627450980392158,53.0,24.0,38.900000000000006,0
160x20,2,0.02,39,931.0,23.871794871794872,43.0,23.0,35.0,0
160x20,3,0.01,39,636.0,16.307692307692307,25.0,15.0,22.200000000000003,0
160x20,4,0.005,39,791.0,20.28205128205128,26.0,23.0,25.0,0
240x30,1,0.04,206,4030.0,19.563106796116504,38.0,18.0,29.0,0
240x30,2,0.02,39,663.0,17.0,17.0,17.0,17.0,0
240x30,3,0.01,39,813.0,20.846153846153847,35.0,18.0,31.0,0
240x30,4,0.005,1074,38675.0,36.01024208566108,97.0,33.0,67.0,0
320x40,1,0.04,274,5066.0,18.48905109489051,40.0,17.0,25.0,0
320x40,2,0.02,39,686.0,17.58974358974359,19.0,18.0,18.0,0
320x40,3,0.01,39,746.0,19.128205128205128,34.0,19.0,23.0,0
320x40,4,0.005,1248,70034.0,56.11698717948718,139.0,61.5,93.0,0
400x50,1,0.04,388,7337.0,18.90979381443299,35.0,18.0,24.0,0
400x50,2,0.02,39,700.0,17.94871794871795,18.0,18.0,18.0,0
400x50,3,0.01,39,811.0,20.794871794871796,35.0,20.0,25.200000000000003,0
400x50,4,0.005,39,1453.0,37.256410256410255,46.0,36.0,42.400000000000006,0
