pair,fine_NE,grid_nely,L1,L2_RMS,correlation,IoU_05,boundary_mean_over_b,boundary_95pct_over_b,boundary_Hausdorff_over_b,delta_M_nd
160x20 -> 240x30,7200,200,0.10965622113789966,0.2278904019756221,0.8686409977302227,0.7958950969213227,0.021272706640793313,0.09192388155425119,0.25298221281347033,2.2011438991632932
160x20 -> 240x30,7200,400,0.10968380567668234,0.22797589936438714,0.8685667870876328,0.7974810182118974,0.021117879763698992,0.09219544457292887,0.25378386473532943,2.2011438991632932
240x30 -> 320x40,12800,200,0.06961299892307843,0.13807634568821686,0.9514246375322195,0.8817772489734975,0.01125020040039954,0.03905124837953328,0.13462912017836262,7.75592477338421
240x30 -> 320x40,12800,400,0.06952381415990974,0.1378567614461404,0.9515748885506801,0.881979155123442,0.011227863261928862,0.03952847075210474,0.1355774686295625,7.75592477338421
320x40 -> 400x50,20000,200,0.08923117807414276,0.18291257036438693,0.9066233417227738,0.8113466524325149,0.017482609674415877,0.08485281374238571,0.24005207768315606,8.968757671247069
320x40 -> 400x50,20000,400,0.08914295585683064,0.18267894648398617,0.9067768222698154,0.8111562031867084,0.01764399672624789,0.08411292091918479,0.24354157755915107,8.968757671247069
400x50 -> 480x60,28800,200,0.048122003972502936,0.12281108473616827,0.9540702566246729,0.8338183341028917,0.016529048796003903,0.0806225774829855,0.2353720459187964,2.3433694968094514
400x50 -> 480x60,28800,400,0.048145941894573406,0.1229008297901924,0.9540157782679592,0.8335324550499504,0.016575170697727234,0.08162413858657254,0.2379732127782453,2.3433694968094514
480x60 -> 560x70,39200,200,0.060638032272469215,0.1485023921693057,0.9306832282835751,0.8360389429763561,0.01723907949874503,0.07905694150420949,0.19608671551127577,2.342300613287996
480x60 -> 560x70,39200,400,0.060641635201386206,0.14851172000390891,0.930678832465305,0.8356154856227188,0.017206643381166453,0.07827635107401035,0.1975158221510368,2.342300613287996
560x70 -> 640x80,51200,200,0.043470374330624756,0.10788781217317953,0.9621576992917049,0.9121914680262411,0.013983829473789679,0.06726812023536856,0.31400636936215165,2.7064126418213945
560x70 -> 640x80,51200,400,0.0434898813748639,0.10795721352084897,0.9621145047669207,0.9119591291685045,0.014180018416516263,0.06914658342969666,0.31393669744074204,2.7064126418213945
640x80 -> 720x90,64800,200,0.019093442982933858,0.0459503670774264,0.9929380604439859,0.9593619017829215,0.004325239484367259,0.018027756377319945,0.09513148795220225,1.5213740384057957
640x80 -> 720x90,64800,400,0.0191405998421514,0.04602404947197828,0.9929186932219433,0.9601963110302886,0.004167489982043466,0.01767766952966369,0.09253377761660873,1.5213740384057957
720x90 -> 800x100,80000,200,0.05670429782972062,0.10089184323534406,0.9658114681574315,0.7530186743786537,0.024776257140026823,0.145,0.3125699921617557,9.41428422694667
720x90 -> 800x100,80000,400,0.05668880496790471,0.10090875075340845,0.9657901779098291,0.7530605495853848,0.02480665827914793,0.145,0.3125,9.41428422694667
