outer,omega1,omega2,omega3,omega4,omega5,gap12,N,nInner,cumInner,innerConv,dxNorm2,dxMax,moveMax,moveMean,vol,volErr,Mnd,beta,tOuter,tEig,tGrad,tInner
1,68.2415426134049,251.674531475403,390.674491270829,507.505299111619,798.178471616014,2.68799593088282,2,21,21,1,11.7926720316471,0.0999678789349038,0.1,0.100000000000009,0.49987936612084,-0.000120633879159671,0.972186577270802,6655.95459193594,2.72667066666667,0.210883875,0.011690125,2.49403075
2,83.1112935288555,289.417068864362,411.319955966032,556.110705607167,848.889032969827,2.48228329238888,2,17,38,1,10.7062185043362,0.099955060639814,0.1,0.100000000000009,0.49983789450202,-0.000162105497979625,0.903633839696759,9259.82997540345,1.66745125,0.172705083333333,0.0109582916666667,1.48079633333333
3,96.9056186184966,306.930997722843,438.189621968072,544.889699022714,803.637431474175,2.16731890367664,2,16,54,1,9.27073638675078,0.099936657659119,0.1,0.0962800000000067,0.499840618623266,-0.000159381376734213,0.824146850409976,11757.6421059481,1.46611808333333,0.172517,0.00955070833333333,1.28307304166667
4,108.651100347041,269.86739492679,463.688444897337,476.3982659741,735.476934171438,1.48379808455515,2,16,70,1,8.26800449997271,0.0999083024561973,0.1,0.0929120000000047,0.499855517498187,-0.000144482501813425,0.750904002568484,14168.3409929018,1.34389670833333,0.208231416666667,0.00969016666666667,1.12496720833333
5,119.967327380294,192.103445183687,454.769486614141,486.251685439892,651.680756633247,0.601298031544229,2,26,96,1,8.47453053037926,0.0999043912766972,0.1,0.0923653600000049,0.499838850011752,-0.000161149988248399,0.661163630991342,17215.8602261304,1.69377191666667,0.206049541666667,0.00950608333333333,1.477189875
6,132.619769867741,168.78322082388,443.686001031378,468.789322883507,530.526534412287,0.272685218743809,2,18,114,1,6.3602236719156,0.099728124333579,0.1,0.0928628320000053,0.499909493839598,-9.05061604018487e-05,0.625297978880092,19340.6201217687,2.81628329166667,0.173742083333333,0.009631,2.63211945833333
7,138.965619086639,149.320245775489,373.379273026621,447.521447860598,578.988080637679,0.074512147370742,2,13,127,1,4.73464396771687,0.0997250275910031,0.1,0.0910530124000044,0.499926235863826,-7.37641361739372e-05,0.600565074675083,20488.0300682727,1.86469095833333,0.176037833333333,0.00977279166666667,1.67807945833333
8,143.346444046785,144.828133464428,365.792381079822,444.805670333045,614.552052737088,0.0103364225565261,2,46,173,1,4.97016846566883,0.0997416123994498,0.1,0.0894870447600042,0.499954925919265,-4.50740807345085e-05,0.573129937922649,21399.3495319012,4.81598608333333,0.173345791666667,0.009813625,4.632090625
9,145.94828614677,146.445669027093,375.173454148519,448.008676304991,655.638804294312,0.00340793916430357,2,30,203,1,3.84043159846333,0.0997261734755153,0.1,0.087201908332004,0.499953262748376,-4.67372516244624e-05,0.550698868407886,22122.7263072772,4.36907308333333,0.173631041666667,0.008927875,4.18566595833333
10,148.809243916353,149.18465751806,385.505123813245,467.197802380728,678.241020790965,0.0025227841485299,2,21,224,1,2.86300373011409,0.0997167921919932,0.1,0.0815014189504021,0.499953493130886,-4.65068691141712e-05,0.53406534546136,22571.9035593484,2.46735458333333,0.173176541666667,0.009416,2.28395866666667
11,150.257079923997,151.708208133396,397.345827759535,478.348359323022,690.730409674211,0.00965763616684808,2,19,243,1,2.29772304493397,0.0996936819431897,0.1,0.0790716313940817,0.499977293938738,-2.27060612615904e-05,0.519918572038572,22928.229373795,2.27206825,0.17396625,0.00896383333333333,2.08837766666667
12,151.336023345452,152.494982668804,400.05208604966,482.951787395836,700.768376007493,0.00765818539255909,2,23,266,1,2.1244658983567,0.0993531601768221,0.1,0.0763353978418584,0.499951340093003,-4.86599069972615e-05,0.508106359689434,23089.6030668834,2.76953916666667,0.172408208333333,0.00881775,2.587556
13,151.966281301842,153.93192480601,403.899185689413,488.006679099581,705.6261003721,0.0129347345169556,2,27,293,1,2.24331649353267,0.0997392629357235,0.1,0.0751674669485176,0.4999686304849,-3.13695151002436e-05,0.49676150423195,23283.1879538488,3.33939941666667,0.173815666666667,0.00905341666666667,3.155775625
14,152.516635539423,154.906481700054,406.092497376175,491.378560686118,707.138233589149,0.015669413058965,2,23,316,1,1.75013381547163,0.0879033586790246,0.1,0.0721207723623882,0.499970050024386,-2.99499756140076e-05,0.488373555620039,23380.7887915566,2.980974375,0.176949,0.00917458333333333,2.79408591666667
15,152.933928665425,155.039274952108,404.621116943525,490.561216444812,707.940005356258,0.0137663781023302,2,21,337,1,1.59462381546466,0.0993089693527245,0.1,0.0680797962967262,0.49996617805787,-3.38219421295305e-05,0.48125663229944,23482.363235571,2.74731645833333,0.173036958333333,0.00901895833333333,2.564506375
16,153.281960913997,155.566903027412,404.112864428984,491.368531665039,707.813249485768,0.0149067907259955,2,21,358,1,1.54211693247663,0.0972979223468324,0.1,0.0653718344837914,0.49995172100502,-4.82789949799445e-05,0.474340539404637,23604.0047302218,2.84406725,0.17256625,0.00888320833333333,2.66185433333333
17,153.592831655678,156.144773490805,403.012393245495,492.077124529248,706.864084629285,0.0166149800587576,2,25,383,1,1.57505396201476,0.0996287267052825,0.1,0.0637703813326407,0.499965933240201,-3.40667597987787e-05,0.467378004916846,23687.1319690725,3.44180445833333,0.170578791666667,0.00891404166666667,3.26154720833333
18,153.89496433864,156.275356550364,401.249475860375,491.307659639168,705.286222556737,0.015467641985254,2,20,403,1,1.20353937067835,0.0946496791078366,0.1,0.0638515065886025,0.499940970356542,-5.90296434578863e-05,0.46227106264334,23717.0360510812,2.88913129166667,0.174148708333333,0.00883679166666667,2.70534741666667
19,154.096145670142,155.990156219653,398.365972950406,488.594190192618,704.740157817979,0.0122910961937025,2,28,431,1,1.40211913663218,0.0913194587030159,0.1,0.0604283335519356,0.499957282445595,-4.27175544053249e-05,0.456354220932458,23825.0739039098,4.3099605,0.173918208333333,0.008888625,4.12639433333333
20,154.350839000038,156.119345357383,397.765980288095,488.243852887254,703.666671251312,0.0114577048547441,2,27,458,1,1.31588335692401,0.0723409816668792,0.1,0.0581573565289844,0.499980693967378,-1.93060326217354e-05,0.450940366655905,23871.6315108776,4.1339035,0.17709875,0.0087305,3.947302625
21,154.539925735734,156.817776954789,398.726148951083,489.927332228514,701.776051751479,0.014739564602552,2,29,487,1,1.45779902096227,0.0856691438888852,0.1,0.0559837580122116,0.499980096021199,-1.99039788010835e-05,0.44489301027421,23948.592483264,4.448455625,0.17032875,0.00880254166666667,4.26852904166667
22,154.759025839915,157.588194194343,399.681808576243,492.02019764199,698.476977428463,0.0182811202065473,2,18,505,1,1.08172585472931,0.0503120101167475,0.1,0.0560248837597121,0.499979711724533,-2.02882754671285e-05,0.440416549357848,23985.1751238451,3.014539875,0.173076708333333,0.008817875,2.83187316666667
23,154.905305164264,157.452586491057,397.742003253657,490.291078972414,697.142939775537,0.0164441193546725,2,30,535,1,1.73729775302007,0.0934746779091935,0.1,0.0545053137983734,0.499967899594678,-3.2100405321922e-05,0.432947033938721,24078.4130075129,5.51389920833333,0.173604875,0.00868791666666667,5.33083104166667
24,155.236968724887,157.423691753997,395.949322486946,489.56168246364,695.248825263501,0.0140863548616797,2,28,563,1,2.00283506253676,0.0985653814070072,0.1,0.0534562005032092,0.499944156427433,-5.58435725673823e-05,0.42424217144314,24200.8243279895,5.42348725,0.175680875,0.00891570833333333,5.2381275
25,155.584189333714,158.398881747882,395.519585619155,492.648762616214,694.707852481174,0.0180911211236967,2,19,582,1,1.64546832004664,0.0960539279008271,0.1,0.0531898201321471,0.499975423745459,-2.45762545412753e-05,0.417116225835009,24288.0616693104,3.373339625,0.166425166666667,0.00879675,3.19733416666667
26,155.866161690785,158.281477248225,392.445332813525,490.950042360143,695.574846135668,0.0154960867146484,2,24,606,1,2.15755925856242,0.0989854581723855,0.1,0.0520774031353297,0.499945149783973,-5.48502160266362e-05,0.406913111662264,24410.9362990257,4.51722716666667,0.175535583333333,0.00900104166666667,4.33193075
27,156.256884342751,158.460676530855,389.934230224182,490.513031047585,697.435491986304,0.0141036486000155,2,16,622,1,1.77884931967455,0.0992159161433246,0.1,0.0523175088136707,0.499963197827487,-3.68021725126733e-05,0.398483657925688,24559.6375960203,2.693994,0.17256425,0.00871375,2.51194716666667
28,156.688556432867,158.993521362501,389.066267222098,492.293040330274,699.434359454479,0.0147104867267112,2,27,649,1,3.10871956915856,0.0991872035171646,0.1,0.0516719925459366,0.499920954251692,-7.90457483078044e-05,0.381774787200187,24789.2189467239,5.4791835,0.173371625,0.00898070833333333,5.29605691666667
29,157.415641009222,159.732713757476,386.375568945373,494.424331883584,703.838925378411,0.0147194569319763,2,20,669,1,2.9763186499338,0.0992663807799326,0.1,0.0520756015708546,0.499944799190693,-5.52008093067102e-05,0.365163735726712,25047.0461567191,3.65270770833333,0.170505791666667,0.008737875,3.47271495833333
