outer,rho_sha256,omega1,omega2,omega3,lambda1,lambda2,gap12,dOff,volume,Mnd,gray,mid,broad_core,void_lt_0p1,at_rhomin,beta,box_max,box_mean,box_at_floor,N,multJ,max_abs_drho,l2_drho,rms_drho,sign_reversal,on_bound,at_move_box,step_over_box_rms,pred_gain,real_gain,gain_ratio,stop_metric,stop_eps,stop_raw,nInner,innerConv,spike,stage,exA,exB,exE,exDecl
1,a2167dbe09b768faf8b1e9dfb4339d3e6b79f99e4329a887de8ce8c2e2ba104c,68.21560761702113,251.35772414293928,385.3906171064377,4653.369122559392,63180.70548631796,2.684753869732014,58527.336363758564,0.4998249156379783,0.9974719156651696,1.0,1.0,1.0,0.0,0.0,5347.3779620352525,0.04,0.04,nan,2,0,0.03995887054120313,4.266404482791043,0.02514002950888526,nan,0.0,0.16402777777777777,0.6285007377221318,694.0088394758604,740.3011142577789,1.0667027163758893,4.266404482791043,0.15000000000000002,False,22,1,False,1.0,0.0,0.0,0.0,0.0
2,255b4717365eb30e781d117a3a70f01eecdbebeba728b6a6e9708fe8586e9875,73.44161107177028,264.0506470614842,398.262052464173,5393.670236817171,69722.74421358849,2.595382007666507,64329.073976771324,0.49980790148716675,0.9901769251766465,1.0,1.0,1.0,0.0,0.0,6144.874375040088,0.04,0.04,nan,2,0,0.039951952620699116,4.158636611896963,0.02450500123969159,0.034305555555555554,0.0,0.1527777777777778,0.6126250309922902,751.2041382229172,800.1879469655914,1.0652070539155343,4.158636611896963,0.15000000000000002,False,21,1,False,1.0,0.0,0.0,0.0,0.0
3,bba4d7e4f6330facd7f8ca9a2aea5a37ef5c5b64be8df63f3e2f9b09329fb677,78.70106850470813,275.9650241723749,409.00006781111193,6193.858183782762,76156.69456645947,2.5064965370306993,69962.8363826767,0.49980929894195525,0.9782663237823755,1.0,0.7411111111111112,1.0,0.0,0.0,7010.981425423545,0.04,0.04,nan,2,0,0.03994458321697113,4.1388560144185345,0.024388442951250606,0.03208333333333333,0.0,0.14722222222222223,0.6097110737812655,817.1232416407829,868.8248127268171,1.0632726722865176,4.1388560144185345,0.15000000000000002,False,21,1,False,1.0,0.0,0.0,0.0,0.0
4,e958fd01eaf109c1dc1fc30512bdbeff45fc85a1eacb70f4b524bac6b5cf7e0b,84.03977032637333,286.9122419702306,418.8344618144451,7062.682996509579,82318.63459238414,2.4140055458979743,75255.95159587456,0.49979191177019666,0.9624094613569366,1.0,0.6277777777777778,1.0,0.0,0.0,7928.453699481465,0.04,0.04,nan,2,0,0.03993659804579423,4.011969459613921,0.023640756756719433,0.03138888888888889,0.0,0.13333333333333333,0.5910189189179859,865.7707029718858,918.3412108590746,1.0607210520138102,4.011969459613921,0.15000000000000002,False,20,1,False,1.0,0.0,0.0,0.0,0.0
5,84cd317e874fc8ce75a3e459d71d83b9c0316902996acc64e60a07dfcba1acd9,89.33657821614086,295.95822307102173,428.40688925522164,7981.024207368654,87591.26980335666,2.312844850123771,79610.245595988,0.49979429980880075,0.9426730854849118,1.0,0.5534722222222223,1.0,0.0,0.0,8904.280414233557,0.04,0.04,nan,2,0,0.03992799821343767,3.9712422231709823,0.023400769214487853,0.03305555555555555,0.0,0.12541666666666668,0.5850192303621966,923.2562068649031,976.5224714843489,1.0576939144555788,3.9712422231709823,0.15000000000000002,False,20,1,False,1.0,0.0,0.0,0.0,0.0
6,b520061a553a19447bfb781cfe229dac8519182de221ced52d2d75df566f014e,94.64431667486961,302.40041894133924,438.5187483510331,8957.546678853003,91446.01337589748,2.195124964345946,82488.46669704448,0.4997836349918121,0.920168829197377,1.0,0.4934722222222222,1.0,0.0,0.0,9908.474011414284,0.04,0.04,nan,2,0,0.03991847970187829,3.8040670955514186,0.02241568032794185,0.04986111111111111,0.0,0.10708333333333334,0.5603920081985463,950.9273325612812,1002.8418126899451,1.054593530284627,3.8040670955514186,0.15000000000000002,False,19,1,False,1.0,0.0,0.0,0.0,0.0
7,d8a7b38296fe102a3cbb17b48b7bcb8e1b1194276f3bd6fed9e97f657ca96afe,99.801745934342,304.78524111882854,448.93058502625973,9960.388491542948,92894.04320386246,2.0539069057904253,82933.6547123195,0.4997767253567375,0.895773845821607,1.0,0.4488888888888889,1.0,0.0,0.0,10921.366354730499,0.04,0.04,nan,2,0,0.03990775204611182,3.61091486203135,0.021277519876913786,0.030694444444444444,0.0,0.08625,0.5319379969228445,960.9778631875506,1011.2846992104642,1.052349630465,3.61091486203135,0.15000000000000002,False,18,1,False,1.0,0.0,0.0,0.0,0.0
8,6fd266e25fa24b7c29fc4288906cf241c15c98ae4aa8e1d2b7287ab6ccb4bd63,104.74575500111406,301.8977054265604,459.5376806855865,10971.673190753412,91142.22454182223,1.882195134526926,80170.55135106882,0.4997859059966495,0.8694417943076453,1.0,0.42097222222222225,1.0,0.0,0.0,11953.372410686949,0.04,0.04,nan,2,0,0.03989587661503392,3.5155941680233305,0.020715837300909798,0.030833333333333334,0.0,0.07694444444444444,0.5178959325227451,981.6992199335364,1031.8430654064432,1.0510786241393792,3.5155941680233305,0.15000000000000002,False,18,1,False,1.0,0.0,0.0,0.0,0.0
9,34eb4f228a04953f36de232fb15d70d8a4dd94d2719ebee7d5cd92acb893505e,109.56055976563763,292.17412150740404,470.6767571691596,12003.516256159855,85365.7172786233,1.666781934415061,73362.20102246344,0.49978165178868006,0.8428621362344565,1.0,0.3948611111111111,1.0,0.0,0.0,12965.080937383029,0.04,0.04,nan,2,0,0.03988207359156427,3.2880392861041483,0.019374957300100148,0.021111111111111112,0.0,0.05527777777777778,0.48437393250250366,961.5646812231735,1012.6388388769465,1.0531156755766065,3.2880392861041483,0.15000000000000002,False,17,1,False,1.0,0.0,0.0,0.0,0.0
10,f949a6f5c6fff433c34dfd4784d94887b90a3b8ab21d66c512d8c68be6779266,114.08836529215765,275.67673225053784,481.5676757312176,13016.155095036802,75997.66070433473,1.4163439588654327,62981.50560929793,0.49977873299090547,0.8167057696829547,1.0,0.3765277777777778,1.0,0.0,0.0,13950.210128800423,0.04,0.04,nan,2,0,0.03986629823749057,3.063483842783582,0.018051751660730784,0.021111111111111112,0.0,0.03666666666666667,0.45129379151826937,934.0550337636214,987.87956120942,1.0576245783173197,3.063483842783582,0.15000000000000002,False,16,1,False,1.0,0.0,0.0,0.0,0.0
