outer,rho_sha256,omega1,omega2,omega3,lambda1,lambda2,gap12,dOff,volume,Mnd,gray,mid,broad_core,void_lt_0p1,at_rhomin,beta,box_max,box_mean,box_at_floor,N,multJ,max_abs_drho,l2_drho,rms_drho,sign_reversal,on_bound,at_move_box,step_over_box_rms,pred_gain,real_gain,gain_ratio,stop_metric,stop_eps,stop_raw,nInner,innerConv,spike,stage
1,1c5c02cec0b4ccad849876c8916137c2f5f834d357ad5d383e1791878de6cbae,68.21560761702113,251.35772414293928,385.3906171064377,4653.369122559392,63180.70548631796,2.684753869732014,58527.336363758564,0.49983007610162533,0.975086876551311,1.0,1.0,1.0,0.0,0.0,6612.384373182439,0.1,0.1,0.0,2,0,0.09995896260291257,13.393076152645497,0.07891945807069556,nan,0.0,0.38625,0.789194580706955,1959.015250623047,2215.353579509272,1.1308506040495085,13.393076152645497,0.15000000000000002,False,21,1,False,1.0
2,410c135c23e3e62aab0232656d69dcf9feafa3c5932bf87f42a27a4872aa2102,82.87775758349561,287.95188736331954,409.35302440769794,6868.722702068664,82916.28943609787,2.4744169697547735,76047.5667340292,0.49979136998694784,0.910916569881165,1.0,0.3548611111111111,1.0,0.0,0.0,9199.403389748815,0.1,0.1,0.0,2,0,0.09994245960650794,12.411293431999884,0.07313424790885979,0.09902777777777778,0.0,0.3591666666666667,0.7313424790885982,2330.680687680151,2494.176887870133,1.0701495494660482,12.411293431999884,0.15000000000000002,False,18,1,False,1.0
3,3a547793aac85ee63146588033146fc99a6684c99c4a396fa015cf0f14c632b8,96.762077230384,305.8743384341717,436.06865353557777,9362.899589938797,93559.11091254221,2.1610972727043207,84196.21132260341,0.4997630262433141,0.8334751321163046,1.0,0.31569444444444444,1.0,0.0,0.0,11705.977470855363,0.1,0.09702916666666668,0.0,2,0,0.09991965334996239,10.603350069554251,0.06248083947897218,0.13847222222222222,0.0,0.2525,0.6344917549518282,2343.077880916566,2398.123493803654,1.0234928652331248,10.603350069554251,0.15000000000000002,False,16,1,False,1.0
4,bb17f7116a4042114d232a03afedce7a11b678f3e51a6e9d2c7dc79b99554759,108.44825071776147,272.065045555021,461.8800609592363,11761.023083742451,74019.38901285567,1.5087084738976122,62258.36592911321,0.499761367993067,0.7640222707531457,1.0,0.2898611111111111,1.0,0.0,0.0,14014.528468467712,0.1,0.09424611111111113,0.0,2,1,0.09988471126636096,9.170516986055507,0.0540377895652189,0.16819444444444445,0.0,0.16805555555555557,0.5603377767744382,2253.5053847252602,2462.7498231865666,1.0928528681935308,9.170516986055507,0.15000000000000002,False,15,1,False,1.0
5,7e369cd94e86848599c146c02506adb250db4c08865d0b68f651e2bd28bcb4f4,119.26346006606138,196.72785235010534,458.8488872833924,14223.772906929018,38701.847890284844,0.6495232675719416,24478.074983355826,0.49982530319785207,0.6842323650197008,0.7588888888888888,0.27118055555555554,0.6431944444444444,0.09298611111111112,0.0,16817.365940182546,0.1,0.09262666666666668,0.0,2,0,0.09985168167769812,9.016166980692851,0.05312827343631796,0.10930555555555556,0.0,0.1309722222222222,0.5515938150038433,2593.593033253528,3061.4095250893733,1.1803739005456046,9.016166980692851,0.15000000000000002,False,19,1,False,1.0
6,ad4047eb90a725b69d375a8913d239dd8d86348d5d728ea6e574cfff4a907ca0,131.4731243715551,166.30453038991115,425.55042273912767,17285.18243201839,27657.196828208882,0.2649317583715385,10372.01439619049,0.49986145129075416,0.6439219459271982,0.7095833333333333,0.32944444444444443,0.583125,0.12104166666666667,0.0,19037.185240871935,0.1,0.09386034027777779,0.0,2,0,0.0996398638261362,7.081296412316059,0.04172693927283879,0.15458333333333332,0.0,0.06652777777777778,0.43650660717302603,1752.0028088535437,1702.4992296489654,0.9717445777173315,7.081296412316059,0.15000000000000002,False,16,1,False,1.0
7,3070c8c04ae4c527549e741a82e60b6131fac88c30d5770cb27fd29b4733facf,137.79579696662506,151.659039536503,380.57306052241944,18987.681661667357,23000.46427313458,0.10060715112548532,4012.7826114672243,0.49994534593981727,0.6137227974334345,0.6725694444444444,0.32416666666666666,0.5405555555555556,0.14159722222222224,0.0,20347.831999453116,0.1,0.0932007888888889,0.0,2,0,0.0996457423450783,6.380374605997872,0.03759671792009618,0.12944444444444445,0.0,0.059375,0.38559369335376187,1360.150337785759,1393.5872406508533,1.0245832404964348,6.380374605997872,0.15000000000000002,False,21,1,False,1.0
8,d8752cf7e9c477f516b0fec54f91435c18c7a6b1a6910bf243ea4a4f8773c1b6,142.76298155445693,145.70206737423058,365.80294568818596,20381.26890231821,21229.092437124826,0.02058717034186161,847.8235348066155,0.49994546957435115,0.5874754736352159,0.6453472222222222,0.30930555555555556,0.5097222222222222,0.156875,0.0,21272.59204188848,0.1,0.09278644872222222,0.0,2,0,0.09966252465084038,5.446527286832424,0.03209396982030646,0.17472222222222222,0.0,0.03152777777777778,0.32635234348454367,891.3231395702715,879.1425923894385,0.9863343083556594,5.446527286832424,0.15000000000000002,False,40,1,False,1.0
9,81505edfb0e9a331bbf0399df8d5a35fe27f4cd9faeb0192d7adde6de09e2cf1,145.80950413024402,147.0808630200537,372.115441772199,21260.41149470765,21632.7802667238,0.008719314268252619,372.3687720161506,0.4999583225496085,0.5696806937824667,0.6263194444444444,0.30125,0.4867361111111111,0.16784722222222223,0.0,21828.839920709455,0.1,0.09112592256388889,0.0,2,0,0.09960762900755131,3.8468096122124407,0.022667543022741748,0.22555555555555556,0.0,0.021041666666666667,0.2335444966628549,568.4284260018067,561.0229608598856,0.9869720358744032,3.8468096122124407,0.15000000000000002,False,27,1,False,1.0
10,5ba5ba2bcbcd646c1a3e3040b566043f2b27162e22ba15570ccb3c9d4d4f3920,147.7207989944799,149.13470065620217,383.1727445071505,21821.434455567534,22241.158939815028,0.009571446074936943,419.7244842474938,0.49995965524268066,0.5555182414729787,0.6079861111111111,0.29847222222222225,0.47368055555555555,0.18104166666666666,0.0,22233.982282084693,0.1,0.08827383870166668,0.0,2,0,0.0995906006455225,2.988385308364775,0.0176092293028582,0.30409722222222224,0.0,0.014513888888888889,0.17995825916300565,412.5478265171587,418.6855314278,1.014877559681886,2.988385308364775,0.15000000000000002,False,21,1,False,1.0
