outer,omega1,omega2,omega3,omega4,omega5,gap23,tOuter,tEig,tGrad,tInner,tOther,multN,multJ,degen,nInner,dxOuter,dxNorm2,move,stage,vol
1,68.215607617021135,251.35772414293928,385.39061710643767,506.24368860128612,794.93758555739282,0.5332356243298817,4.1703810416666665,0.50685766666666665,0.012981541666666667,3.6348594166666666,0.015682416666666477,2,0,1,22,0.039958870541203131,4.2664044827910423,0.040000000000000001,1,0.49982491563797832
2,73.441611071770282,264.0506470614842,398.262052464173,524.87602071335175,821.53721736363934,0.5082790248623692,2.2896352499999999,0.27764133333333335,0.0088430416666666675,1.998936375,0.0042144999999997879,2,0,1,21,0.039951952620699116,4.1586366118969647,0.040000000000000001,1,0.49980790148716675
3,78.701068504708132,275.96502417237491,409.00006781111193,541.0848708969404,841.48702507897474,0.48207211778996995,2.1392870416666665,0.32047762499999999,0.0088265833333333339,1.8061815833333332,0.0038012499999997562,2,0,1,21,0.039944583216971127,4.1388560144185362,0.040000000000000001,1,0.49980929894195525
4,84.039770326373329,286.91224197023058,418.83446181444509,554.30500515201368,853.86081214386002,0.45979989887605593,1.8628923749999999,0.31433775000000003,0.0087709999999999993,1.5374085416666667,0.0023750833333331389,2,0,1,20,0.039936598045794233,4.0119694596139217,0.040000000000000001,1,0.49979191177019666
5,89.336578216140865,295.95822307102173,428.40688925522164,563.30525313303565,857.21826568374775,0.44752487296970939,1.7263492499999999,0.26286816666666668,0.0093077500000000001,1.4517426666666666,0.0024306666666666921,2,0,1,20,0.03992799821343767,3.9712422231709872,0.040000000000000001,1,0.49979429980880075
6,94.644316674869614,302.40041894133924,438.51874835103308,567.30304143185288,850.08905982136866,0.45012612709408512,1.6131715,0.31394354166666666,0.0087952499999999992,1.2880313333333333,0.0024013750000000389,2,0,1,19,0.039918479701878291,3.8040670955514173,0.040000000000000001,1,0.49978363499181211
7,99.801745934341994,304.78524111882854,448.93058502625973,565.63932892003515,832.43161345495764,0.47294069548214229,1.4759874583333332,0.31295629166666666,0.0086822083333333334,1.1520375,0.0023114583333332384,2,0,1,18,0.03990775204611182,3.6109148620313447,0.040000000000000001,1,0.49977672535673751
8,104.74575500111406,301.89770542656038,459.53768068558651,558.78164019652979,806.16729446784757,0.52216354223789763,1.4107876666666668,0.26790116666666669,0.0089475416666666661,1.13165125,0.0022877083333334713,2,0,1,18,0.039895876615033923,3.5155941680233345,0.040000000000000001,1,0.49978590599664952
9,109.56055976563763,292.17412150740404,470.6767571691596,547.42347436498449,773.80448042924422,0.6109460849606152,1.281136625,0.26651999999999998,0.0092992500000000002,1.0029211666666666,0.0023962083333333162,2,0,1,17,0.039882073591564267,3.2880392861041501,0.040000000000000001,1,0.49978165178868006
10,114.08836529215765,275.67673225053784,481.56767573121761,534.1333060152532,742.28306350532193,0.7468564423259485,1.2520100833333334,0.31032124999999999,0.010637374999999999,0.92855725,0.0024942083333334697,2,0,1,16,0.03986629823749057,3.0634838427835773,0.040000000000000001,1,0.49977873299090547
11,118.33864396825841,254.22568480082259,492.16481023598482,521.21523165683175,716.70297062506859,0.93593660932245948,1.1553307916666666,0.25978316666666668,0.012204166666666667,0.88036362499999998,0.0029798333333332927,2,0,1,16,0.03984903260424582,2.9870707063174873,0.040000000000000001,1,0.49978557714463379
12,122.51110817071397,229.74717323631168,503.01914722532501,509.27862431778118,698.71595667383247,1.1894465126146871,1.1828139583333332,0.32288520833333334,0.0119065,0.84530545833333337,0.002716791666666496,2,1,1,16,0.039845305400996893,2.9397299002524209,0.040000000000000001,1,0.49979094069834717
