outer,omega1,omega2,gap12,volume,volErr,Mnd,gray,mid,move,stage,moveChanged,descent,beta,betaStallRel,betaStallFires,prodStageShadow,prodMoveShadow,prodTol,prodStopRaw,prodSettled,prodStopAdmit,exA,exB,exE,exNA,exNB,exDecl,exAmp,exCos,exNet,exMedcos,exMednet,exTol,exStageStart,cosT,net_ratio,cosT_unsat,net_ratio_unsat,boundFrac,revFrac,maxAbs,ratio,l2,rms,stepNorm,path_W,net_W,nInner,cumInner,innerConv,multN,multJ,degen,tOuter
1,68.14595542448825,250.48355182584436,2.6756921267822316,0.49978012248663656,-0.0002198775133634423,99.959862780439963,1,1,0.040000000000000001,1,1,0,4947.8786753509366,NaN,0,1,0.040000000000000001,0.25,0,0,0,0,0,0,0,0,0,2.8332744152282343,NaN,NaN,NaN,NaN,0.25,1,NaN,NaN,NaN,NaN,0.00080000000000000004,NaN,0.039914423475312752,0.99786058688281876,2.8332744152282343,0.010017137759851172,0.010017137759851172,NaN,NaN,15,15,1,2,0,1,6.8023346250000003
2,70.469037792183641,255.39354115246897,2.6241950955203333,0.49978282954230235,-0.00021717045769764631,99.838273094985169,1,1,0.040000000000000001,1,0,0,5289.3716846699035,NaN,0,1,0.040000000000000001,0.25,0,1,0,0,0,0,0,0,0,2.8570918046103344,0.99784514912154276,NaN,NaN,NaN,0.25,1,0.99784514912154276,NaN,NaN,NaN,0.00059999999999999995,0.018149999999999999,0.039891013517880262,0.99727533794700651,2.8570918046103344,0.01010134494756239,0.010101344947562393,NaN,NaN,15,30,1,2,0,1,5.1431447500000003
3,72.86271547427593,260.37172247816846,2.573456201616481,0.49978486563809121,-0.00021513436190878643,99.636948320330575,1,0.99929999999999997,0.040000000000000001,1,0,0,5644.7276882192064,NaN,0,1,0.040000000000000001,0.25,0,1,0,0,0,0,0,0,0,2.8415440659540683,0.99827324722273159,NaN,NaN,NaN,0.25,1,0.99827324722273159,NaN,0.99827413169516432,NaN,0.00044999999999999999,0.016400000000000001,0.039864320361768533,0.99660800904421332,2.8415440659540683,0.010046375390382578,0.010046375390382578,NaN,NaN,15,45,1,2,0,1,4.1654492916666666
4,75.270351047994623,265.29451850383822,2.5245553502823248,0.4997864310214547,-0.00021356897854529766,99.357386157509481,1,0.9637,0.040000000000000001,1,0,0,6014.8288546866042,NaN,0,1,0.040000000000000001,0.25,0,1,0,0,0,0,0,0,0,2.8296815868005112,0.99845204414864408,NaN,NaN,NaN,0.25,1,0.99845204414864408,NaN,0.99845530902518909,NaN,0.00035,0.0152,0.039834137339701189,0.99585343349252975,2.8296815868005112,0.010004435193126758,0.01000443519312676,NaN,NaN,15,60,1,2,0,1,4.1881479583333334
5,77.698924188524956,270.18631587570388,2.477349508985951,0.49978765004719755,-0.00021234995280244862,99.000989670946154,1,0.93225000000000002,0.040000000000000001,1,0,0,6400.712564694024,NaN,0,1,0.040000000000000001,0.25,0,1,0,0,0,0,0,0,0,2.8199512009471004,0.99862432604573359,NaN,NaN,NaN,0.25,1,0.99862432604573359,NaN,0.99862775590225028,NaN,0.00025000000000000001,0.01575,0.039800520458833456,0.99501301147083643,2.8199512009471004,0.0099700330840242161,0.0099700330840242161,NaN,NaN,15,75,1,2,0,1,4.0783939166666663
6,80.152644285211025,275.05319989102611,2.4316172890352941,0.4997887477014471,-0.00021125229855289973,98.569131613801872,1,0.90595000000000003,0.040000000000000001,1,0,0,6803.1922046057744,NaN,0,1,0.040000000000000001,0.25,0,1,0,0,0,0,0,0,0,2.8115543318659157,0.99875735067698801,NaN,NaN,NaN,0.25,1,0.99875735067698801,NaN,0.99876335424257512,NaN,0.0001,0.017649999999999999,0.03975596767651704,0.99389919191292597,2.8115543318659157,0.0099403456686840089,0.0099403456686840072,NaN,NaN,15,90,1,2,0,1,3.9047564583333334
7,82.634236718695462,279.89057245124889,2.3871018062895164,0.49978971038366898,-0.00021028961633101639,98.063168091507649,1,0.88580000000000003,0.040000000000000001,1,0,0,7222.9567698405881,NaN,0,1,0.040000000000000001,0.25,0,1,0,0,0,0,0,0,0,2.8040381078585201,0.99887305835645046,NaN,NaN,NaN,0.25,1,0.99887305835645046,NaN,0.99887338635414913,NaN,0.0001,0.0147,0.039174276786298041,0.97935691965745097,2.8040381078585201,0.0099137718038612762,0.0099137718038612762,NaN,NaN,15,105,1,2,0,1,3.736685875
8,85.144886146483245,284.68235617895914,2.3435050425599449,0.49979118238690978,-0.00020881761309021751,97.450298128250608,1,0.86124999999999996,0.040000000000000001,1,0,0,7683.4198642687743,NaN,0,1,0.040000000000000001,0.25,0,1,0,0,0,0,0,0,0,2.9512609548916688,0.99896023921651744,NaN,NaN,NaN,0.25,1,0.99896023921651744,NaN,0.99896364194208742,NaN,5.0000000000000002e-05,0.015100000000000001,0.038051079109452282,0.95127697773630704,2.9512609548916688,0.010434283171274922,0.010434283171274924,NaN,NaN,16,121,1,2,0,1,3.8243699583333335
9,87.825449876661096,289.65744076391883,2.2981036951214406,0.49979304500778526,-0.00020695499221473623,96.719551771412114,1,0.79500000000000004,0.040000000000000001,1,0,0,8189.5534858714709,NaN,0,1,0.040000000000000001,0.25,0,1,0,0,0,0,0,0,0,3.0972557822369113,0.99895752040492802,NaN,NaN,NaN,0.25,1,0.99895752040492802,NaN,0.99895873354523568,NaN,5.0000000000000002e-05,0.015949999999999999,0.036950874630073342,0.92377186575183357,3.0972557822369113,0.010950452833444823,0.010950452833444823,NaN,NaN,17,138,1,2,0,1,3.9138980416666667
10,90.680947291113426,294.77548902661914,2.2506882408307907,0.49979429573819928,-0.00020570426180072099,95.90325719768677,1,0.74109999999999998,0.040000000000000001,1,0,0,8720.0050640260724,NaN,0,1,0.040000000000000001,0.25,0,1,0,0,0,0,0,0,0,3.0873008601365894,0.99894891655967377,0.98933092413603396,NaN,NaN,0.25,1,0.99894891655967377,0.98933092413603396,0.99894951135623322,0.98943461700697322,0,0.017749999999999998,0.035043329896559623,0.87608324741399057,3.0873008601365894,0.010915256868828216,0.010915256868828212,0.10229343672104037,0.10120206028427778,17,155,1,2,0,1,3.7470044583333335
