outer,omega1,omega2,gap12,volume,volErr,Mnd,gray,mid,move,stage,moveChanged,descent,beta,betaStallRel,betaStallFires,prodStageShadow,prodMoveShadow,prodTol,prodStopRaw,prodSettled,prodStopAdmit,exA,exB,exE,exNA,exNB,exDecl,exAmp,exCos,exNet,exMedcos,exMednet,exTol,exStageStart,cosT,net_ratio,cosT_unsat,net_ratio_unsat,boundFrac,revFrac,maxAbs,ratio,l2,rms,stepNorm,path_W,net_W,nInner,cumInner,innerConv,multN,multJ,degen,tOuter
1,68.320853969668761,252.59159950691193,2.6971376209531965,0.49995526847397831,-4.4731526021690726e-05,99.550262829664703,1,1,0.040000000000000001,1,1,0,5470.2728359562325,NaN,0,1,0.040000000000000001,0.075000000000000011,0,0,0,0,0,0,0,0,0,2.845218632378391,NaN,NaN,NaN,NaN,0.075000000000000011,1,NaN,NaN,NaN,NaN,0.60166666666666668,NaN,0.039981046494554272,0.99952616236385683,2.845218632378391,0.033531223148551247,0.033531223148551247,NaN,NaN,20,20,1,2,0,1,1.5767267916666667
2,74.312707795068732,269.42388529871937,2.6255425659055032,0.49995279623097261,-4.7203769027392983e-05,98.2579522943131,1,1,0.040000000000000001,1,0,0,6404.1452588691109,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,2.7795974941854653,0.98219033152957014,NaN,NaN,NaN,0.075000000000000011,1,0.98219033152957014,NaN,NaN,NaN,0.58833333333333337,0.036666666666666667,0.039978211556581274,0.99945528891453184,2.7795974941854653,0.032757870618461291,0.032757870618461291,NaN,NaN,19,39,1,2,0,1,0.80912329166666663
3,80.350981972323851,284.74165638836109,2.5437234169264755,0.49995211494878711,-4.7885051212892549e-05,96.244741831891432,1,0.435,0.040000000000000001,1,0,0,7404.3365640998427,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,2.6813707801406679,0.98467516772876085,NaN,NaN,NaN,0.075000000000000011,1,0.98467516772876085,NaN,0.8978568129247807,NaN,0.54222222222222227,0.040000000000000001,0.039975073250159074,0.99937683125397681,2.6813707801406679,0.031600257691882155,0.031600257691882155,NaN,NaN,18,57,1,2,0,1,0.73405374999999995
4,86.321618343865651,297.55097139014219,2.4470040888811408,0.49994641658895173,-5.3583411048274687e-05,93.652563496091759,1,0.35833333333333334,0.040000000000000001,1,0,0,8448.9474505969974,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,2.5924940139112023,0.98040134677434498,NaN,NaN,NaN,0.075000000000000011,1,0.98040134677434498,NaN,0.92185777786171397,NaN,0.51500000000000001,0.050555555555555555,0.039971514623478109,0.99928786558695271,2.5924940139112023,0.030552834957035712,0.030552834957035709,NaN,NaN,17,74,1,2,0,1,0.60275049999999997
5,92.145314202729139,306.27426359953421,2.3238181045831525,0.49994610531939299,-5.3894680607013967e-05,90.679906137724004,1,0.35444444444444445,0.040000000000000001,1,0,0,9510.4030085148206,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,2.4539151541295099,0.97731862421593463,NaN,NaN,NaN,0.075000000000000011,1,0.97731862421593463,NaN,0.86052947866756468,NaN,0.45277777777777778,0.042777777777777776,0.03996748623757844,0.99918715593946095,2.4539151541295099,0.028919667432356806,0.028919667432356806,NaN,NaN,16,90,1,2,0,1,0.53088062499999999
6,97.694653045217777,308.49520571958624,2.1577491306182321,0.49994942784910401,-5.0572150895988877e-05,87.483913889128644,1,0.31055555555555553,0.040000000000000001,1,0,0,10574.022483141944,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,2.3597881017752647,0.97019166845920557,NaN,NaN,NaN,0.075000000000000011,1,0.97019166845920557,NaN,0.87535938884372944,NaN,0.41555555555555557,0.067777777777777784,0.039962486490784169,0.9990621622696042,2.3597881017752647,0.027810369482143674,0.027810369482143674,NaN,NaN,16,106,1,2,0,1,0.51461912499999996
7,102.99671953277208,301.6275300940647,1.9285158931502777,0.49993716276983102,-6.2837230168977243e-05,84.237625107427931,1,0.30222222222222223,0.040000000000000001,1,0,0,11633.577578167598,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,2.2268792099131054,0.96776946087967008,NaN,NaN,NaN,0.075000000000000011,1,0.96776946087967008,NaN,0.81437271147484369,NaN,0.35833333333333334,0.076666666666666661,0.039958025758834066,0.99895064397085165,2.2268792099131054,0.026244023170214965,0.026244023170214962,NaN,NaN,15,121,1,2,0,1,0.47539845833333333
8,108.0400615346276,283.65554069511558,1.6254663007962282,0.49994439219880499,-5.5607801195012296e-05,80.952949059871273,1,0.29499999999999998,0.040000000000000001,1,0,0,12709.918800026277,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,2.1451031794994195,0.97501457495215627,NaN,NaN,NaN,0.075000000000000011,1,0.97501457495215627,NaN,0.89473507427285759,NaN,0.32555555555555554,0.069444444444444448,0.039958475735377051,0.99896189338442631,2.1451031794994195,0.025280283409481057,0.025280283409481057,NaN,NaN,15,136,1,2,1,1,0.46684758333333332
9,112.96502029422878,255.42416797071229,1.261090798775004,0.49995208993018148,-4.7910069818524192e-05,77.515975914465841,1,0.30666666666666664,0.040000000000000001,1,0,0,13845.383113366963,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,2.1321116642488622,0.98103947782194589,NaN,NaN,NaN,0.075000000000000011,1,0.98103947782194589,NaN,0.93791697088764692,NaN,0.32333333333333331,0.036111111111111108,0.039960718520718599,0.99901796301796497,2.1321116642488622,0.025127176933955098,0.025127176933955098,NaN,NaN,16,152,1,2,1,1,0.50673379166666666
10,117.96360748568434,220.45893705511182,0.86887245782023048,0.49994565238795208,-5.4347612047922489e-05,73.841367857254554,1,0.27777777777777779,0.040000000000000001,1,0,0,15069.674498795112,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,2.1104060359495613,0.98993571133210778,0.89198444071736271,NaN,NaN,0.075000000000000011,1,0.98993571133210778,0.89198444071736271,0.95108791914805746,0.7962331282438182,0.30722222222222223,0.050555555555555555,0.039963233363480601,0.99908083408701498,2.1104060359495613,0.024871373651282593,0.024871373651282593,0.28669508049536457,0.25572755103207706,16,168,1,2,0,1,0.49241958333333335
11,123.12784471014345,185.91326083868415,0.50992053240552138,0.49995368708782584,-4.6312912174162335e-05,69.788688954688865,0.73111111111111116,0.28055555555555556,0.040000000000000001,1,0,0,16440.441381707933,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,2.152016807990301,0.99020400864786329,0.89338734943314124,NaN,NaN,0.075000000000000011,1,0.99020400864786329,0.89338734943314124,0.97011593903172111,0.81640893772036305,0.32166666666666666,0.03833333333333333,0.039965187926781706,0.99912969816954267,2.152016807990301,0.025361761302622837,0.025361761302622837,0.2785256186494362,0.24883126419444571,17,185,1,2,0,1,0.49341712500000001
12,129.78759576949517,161.66081889901537,0.24557988720376289,0.49995500495767103,-4.4995042328965784e-05,65.267885600957186,0.69833333333333336,0.31055555555555553,0.040000000000000001,1,0,0,18485.782981223434,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,2.169879270941645,0.99314375971425051,0.90161093385208946,NaN,NaN,0.075000000000000011,1,0.99314375971425051,0.90161093385208946,0.97240962683823107,0.81621179076774608,0.3322222222222222,0.066666666666666666,0.039965601361993487,0.9991400340498372,2.169879270941645,0.025572272447315983,0.02557227244731599,0.27134002047829087,0.24464312925487691,17,202,1,2,1,1,0.47726475000000002
13,135.48767352102615,151.4653775122641,0.11792736251212098,0.4999647481359385,-3.5251864061502935e-05,61.738204284058504,0.67666666666666664,0.315,0.040000000000000001,1,0,0,19442.003859366381,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,1.8086407101809625,0.95106193510260062,0.90934168014641448,NaN,NaN,0.075000000000000011,1,0.95106193510260062,0.90934168014641448,0.97943696961343507,0.81652193499894832,0.14277777777777778,0.052777777777777778,0.039916370098107987,0.99790925245269968,1.8086407101809625,0.021315035181650194,0.021315035181650194,0.26105479796805892,0.23738800859455747,17,219,1,2,0,1,0.49082150000000002
14,139.54819053880502,148.67695382514657,0.065416565066840196,0.49997068615612789,-2.9313843872114109e-05,60.258510219839856,0.65055555555555555,0.30444444444444446,0.040000000000000001,1,0,0,20119.199503196964,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,1.4695086272076214,0.81610341213149962,0.90095017136290689,NaN,NaN,0.075000000000000011,1,0.81610341213149962,0.90095017136290689,0.72105284198404984,0.84765315588109957,0.10722222222222222,0.105,0.039909837426332237,0.99774593565830594,1.4695086272076214,0.017318325255177389,0.017318325255177392,0.24782028826620062,0.22327373118063842,17,236,1,2,0,1,0.549428625
15,142.1279589549147,145.9929994333244,0.027194089796475231,0.49997570030747168,-2.4299692528317873e-05,58.951384852207113,0.6413888888888889,0.3175,0.040000000000000001,1,0,0,20772.239323846574,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,1.2887753094579792,0.93596772492329583,0.89520197859287487,NaN,NaN,0.075000000000000011,1,0.93596772492329583,0.89520197859287487,0.90297414047832636,0.87345973689454115,0.083055555555555549,0.054166666666666669,0.039937400299052732,0.9984350074763183,1.2887753094579792,0.015188362679058806,0.01518836267905881,0.23408898351290264,0.20955692120754529,17,253,1,2,0,1,0.74782570833333328
16,144.00430623232631,145.3162867954772,0.0091107036829456076,0.49997488980200472,-2.5110197995281691e-05,57.706509347363436,0.63138888888888889,0.31472222222222224,0.040000000000000001,1,0,0,21183.79845279907,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,1.2810089338182151,0.85515052783780687,0.88236405738956503,NaN,NaN,0.075000000000000011,1,0.85515052783780687,0.88236405738956503,0.74222922004030223,0.87379806195372589,0.09194444444444444,0.25361111111111112,0.039898202886234246,0.99745507215585616,1.2810089338182151,0.015096835064390152,0.015096835064390152,0.22137544909514911,0.19533373947003288,38,291,1,2,0,1,1.8707532916666667
17,145.37405868041427,146.2302540533353,0.0058896021800097682,0.49997172030737697,-2.8279692623034425e-05,56.859071307517375,0.62666666666666671,0.30499999999999999,0.040000000000000001,1,0,0,21444.959936501069,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,0.96182256064808214,0.88516469626044103,0.87076565115529148,NaN,NaN,0.075000000000000011,1,0.88516469626044103,0.87076565115529148,0.7891790915921385,0.88219949682052556,0.039722222222222221,0.28000000000000003,0.039897566400840648,0.99743916002101618,0.96182256064808214,0.011335187582207805,0.011335187582207805,0.20646661350714196,0.17978403515237437,18,309,1,2,0,1,1.0100877500000001
18,146.48494274308183,147.06130807867788,0.0039346387744911889,0.49997136157378208,-2.8638426217919566e-05,55.987506430923595,0.60583333333333333,0.30388888888888888,0.040000000000000001,1,0,0,21752.606776000579,NaN,0,1,0.040000000000000001,0.075000000000000011,0,1,0,0,0,0,0,0,0,0.92646987325464769,0.98107330535163972,0.85769505911588906,NaN,NaN,0.075000000000000011,1,0.98107330535163972,0.85769505911588906,0.97086000891485069,0.87864839229433356,0.037777777777777778,0.13,0.039897853173999687,0.99744632934999211,0.92646987325464769,0.010918552165723376,0.010918552165723376,0.19210488226338426,0.16476740834934428,18,327,1,2,0,1,1.0922145833333334
