k,binary_differing_elements,cutoff_gap_double,cutoff_gap_single,single_cutoff_density,single_cutoff_tie_group_size,single_tie_straddles_cutoff,all_changed_inside_tie_group,difference_explained,hard_gate_double,hard_gate_single,topology_double,topology_single,max_detached_area_double,max_detached_area_single
8,2,0,0,0.5,16,1,1,1,0,0,0,0,1.95138888888889,1.94444444444444
9,2,0,0,0.495000004768372,16,1,1,1,0,0,0,0,1.95138888888889,1.94444444444444
12,2,0,0,0.490000009536743,16,1,1,1,0,0,0,0,1.9375,1.9375
13,4,0,0,0.495000004768372,16,1,1,1,0,0,0,0,1.94444444444444,1.9375
14,2,0,0,0.5,16,1,1,1,0,0,0,0,1.9375,1.9375
18,6,0,0,0.5,32,1,1,1,0,0,0,0,1.9375,1.92361111111111
19,2,0,0,0.495000004768372,32,1,1,1,0,0,0,0,1.90972222222222,1.90277777777778
20,4,0,0,0.5,36,1,1,1,0,0,0,0,1.91666666666667,1.90972222222222
21,4,0,0,0.495000004768372,24,1,1,1,0,0,0,0,3.90277777777778,3.90277777777778
25,2,0,0,0.485000014305115,16,1,1,1,1,1,1,1,0,0
31,2,0,0,0.465000003576279,20,1,1,1,1,1,1,1,0,0
32,2,0,0,0.46000000834465,20,1,1,1,1,1,1,1,0,0
34,2,0,0,0.449999988079071,20,1,1,1,1,1,1,1,0,0
35,2,0,0,0.444999992847443,28,1,1,1,1,1,1,1,0.00694444444444444,0.00694444444444444
36,2,0,0,0.439999997615814,32,1,1,1,0,0,0,0,0.0138888888888889,0.0138888888888889
40,2,0,0,0.430000007152557,32,1,1,1,0,0,0,0,0.0625,0.0555555555555556
41,6,0,0,0.435000002384186,24,1,1,1,1,0,1,0,0,0.0138888888888889
42,2,0,0,0.430000007152557,16,1,1,1,0,0,0,0,0.0763888888888889,0.0694444444444444
43,2,0,0,0.425000011920929,28,1,1,1,0,0,0,0,0.0763888888888889,0.0694444444444444
45,2,0,0,0.435000002384186,24,1,1,1,1,0,1,0,0,0.0277777777777778
48,2,0,0,0.430000007152557,20,1,1,1,1,0,1,0,0,0.0694444444444444
49,4,0,0,0.435000002384186,24,1,1,1,0,0,0,0,0.0833333333333333,0.0833333333333333
52,2,0,0,0.439999997615814,20,1,1,1,1,1,1,1,0,0
53,2,0,0,0.444999992847443,28,1,1,1,1,1,1,1,0,0
54,2,0,0,0.439999997615814,16,1,1,1,0,0,0,0,0.0763888888888889,0.0694444444444444
56,4,0,0,0.439999997615814,16,1,1,1,1,1,1,1,0,0
57,2,0,0,0.435000002384186,24,1,1,1,1,1,1,1,0.00694444444444444,0
58,4,0,0,0.439999997615814,16,1,1,1,1,1,1,1,0,0
59,2,0,0,0.435000002384186,24,1,1,1,0,0,0,0,0.0138888888888889,0.0138888888888889
60,2,0,0,0.439999997615814,16,1,1,1,1,1,1,1,0,0
64,2,0,0,0.439999997615814,20,1,1,1,0,0,0,0,0.0138888888888889,0.0138888888888889
66,2,0,0,0.449999988079071,32,1,1,1,0,0,0,0,0.0138888888888889,0.0138888888888889
67,4,0,0,0.444999992847443,28,1,1,1,0,0,0,0,0.0208333333333333,0.0277777777777778
68,2,0,0,0.449999988079071,16,1,1,1,0,0,0,0,0.0277777777777778,0.0277777777777778
70,6,0,0,0.449999988079071,32,1,1,1,0,0,0,0,0.0277777777777778,0.0277777777777778
71,4,0,0,0.455000013113022,28,1,1,1,0,0,0,0,0.0277777777777778,0.0277777777777778
75,2,0,0,0.465000003576279,16,1,1,1,0,0,0,0,0.0277777777777778,0.0277777777777778
77,2,0,0,0.465000003576279,16,1,1,1,0,0,0,0,0.0277777777777778,0.0277777777777778
78,2,0,0,0.469999998807907,16,1,1,1,0,0,0,0,0.0277777777777778,0.0277777777777778
81,4,0,0,0.474999994039536,28,1,1,1,0,0,0,0,0.0277777777777778,0.0277777777777778
82,2,0,0,0.479999989271164,20,1,1,1,0,0,0,0,0.0277777777777778,0.0277777777777778
84,2,0,0,0.479999989271164,16,1,1,1,0,0,0,0,0.0277777777777778,0.0277777777777778
