case_id,mesh,k,evaluator,selected_ordinal_double,selected_ordinal_single,ordinal_identical,escalation_double,escalation_single,final_requested_double,final_requested_single,classifier_mismatch_count,omega_double,omega_single,relative_omega_error
k252_anchor,160x20,252,E1,1,1,1,0,0,3,3,0,165.869052930976,165.869052910711,1.22173781040201e-10
k252_anchor,160x20,252,E2,4,4,1,1,1,6,6,0,166.367075521251,166.367075523961,1.62893408187779e-11
k252_anchor,160x20,252,E3,5,5,1,1,1,6,6,0,166.367366815715,166.367366818413,1.622029413117e-11
k594_disagreement,240x30,594,E1,1,1,1,0,0,3,3,0,169.515798054229,169.515798044029,6.01719537901597e-11
k594_disagreement,240x30,594,E2,4,4,1,1,1,6,6,0,169.858484965458,169.858484996454,1.82480848709075e-10
k594_disagreement,240x30,594,E3,4,4,1,1,1,6,6,0,169.856194756133,169.856194782059,1.52635997131572e-10
gt12_ordinal13,480x60,194,E1,1,1,1,0,0,3,3,0,167.466093874662,167.466093871227,2.05117304677812e-11
gt12_ordinal13,480x60,194,E2,7,7,1,2,2,12,12,0,167.778803337726,167.778803327604,6.03253306575719e-11
gt12_ordinal13,480x60,194,E3,13,13,1,3,3,24,24,0,167.778706265271,167.778706255414,5.87482517495322e-11
max_ordinal18,720x90,411,E1,1,1,1,0,0,3,3,0,171.821318576131,171.821318577241,6.45777570186282e-12
max_ordinal18,720x90,411,E2,11,11,1,2,2,12,12,0,172.086171125313,172.086171130087,2.77399017091015e-11
max_ordinal18,720x90,411,E3,18,18,1,3,3,24,24,0,172.087026575171,172.087026585768,6.15823153034564e-11
