mesh,k,evaluator,selected_ordinal_double,selected_ordinal_single,selected_ordinal_identical,escalation_double,escalation_single,final_requested_double,final_requested_single,relevant_classifier_mismatch,all_examined_classifier_mismatch_count,omega_double,omega_single,lambda_double,lambda_single,selected_min_abs_margin_double,selected_min_abs_margin_single
96x12,1,E1,1,1,1,0,0,3,3,0,0,69.3013903500452,69.3013896290538,4802.68270444934,4802.68260451792,0.00134902566638317,0.00134902433627559
96x12,1,E2,1,1,1,0,0,3,3,0,0,69.3011891569658,69.3011884347139,4802.65481856955,4802.65471846372,0.00134902575335993,0.0013490244232518
96x12,1,E3,1,1,1,0,0,3,3,0,0,69.3011889548762,69.3011882341915,4802.65479055946,4802.65469067084,0.00134902575344698,0.00134902442333928
96x12,2,E1,1,1,1,0,0,3,3,0,0,70.0578999418321,70.0578984997775,4908.10934425975,4908.10914220513,0.00273512346627758,0.00273512068541348
96x12,2,E2,1,1,1,0,0,3,3,0,0,70.0577028060252,70.0577013642538,4908.08172245735,4908.08152044298,0.00273512381095009,0.00273512103008544
96x12,2,E3,1,1,1,0,0,3,3,0,0,70.0577026083376,70.0577011669026,4908.08169475828,4908.08149279102,0.00273512381129537,0.0027351210304305
96x12,3,E1,1,1,1,0,0,3,3,0,0,70.814061100601,70.8140589400033,5014.63124955966,5014.63094355827,0.00417978171169264,0.00417977733968777
96x12,3,E2,1,1,1,0,0,3,3,0,0,70.8138678516991,70.8138656912319,5014.60388011791,5014.60357413583,0.00417978248373774,0.00417977811173065
96x12,3,E3,1,1,1,0,0,3,3,0,0,70.8138676582063,70.8138654975744,5014.60385271396,5014.60354670856,0.00417978248451045,0.00417977811250392
96x12,4,E1,1,1,1,0,0,3,3,0,0,71.5692619093146,71.5692592497335,5122.15925024407,5122.15886955557,0.00571532420278065,0.00571530820485322
96x12,4,E2,1,1,1,0,0,3,3,0,0,71.5690723739213,71.5690697144918,5122.13212046359,5122.13173979779,0.0057153255721174,0.00571530957418886
96x12,4,E3,1,1,1,0,0,3,3,0,0,71.5690721849615,71.5690695248514,5122.13209341623,5122.13171265302,0.00571532557348853,0.00571530957555955
96x12,5,E1,1,1,1,0,0,3,3,0,0,72.3237684957148,72.323765127524,5230.72748942175,5230.72700222126,0.0072669358944335,0.00726691834650994
96x12,5,E2,1,1,1,0,0,3,3,0,0,72.3235824899112,72.3235791228688,5230.70058417499,5230.70009714187,0.00726693802081346,0.00726692047288857
96x12,5,E3,1,1,1,0,0,3,3,0,0,72.3235823040482,72.3235789373837,5230.70055729043,5230.70007031196,0.00726693802294265,0.00726692047501687
96x12,6,E1,1,1,1,0,0,3,3,0,0,73.0771532059829,73.0771491172348,5340.27032069069,5340.26972310257,0.00886658812808716,0.00886656868018854
96x12,6,E2,1,1,1,0,0,3,3,0,0,73.0769705460529,73.0769664570019,5340.24362418868,5340.24302655778,0.00886659117495991,0.00886657172705896
96x12,6,E3,1,1,1,0,0,3,3,0,0,73.0769703631728,73.0769662746457,5340.24359746004,5340.24299990571,0.00886659117800992,0.0088665717301093
96x12,7,E1,1,1,1,0,0,3,3,0,0,73.829009004403,73.8290126983368,5450.72257057222,5450.72311601117,0.0105127575595257,0.0105127757477296
96x12,7,E2,1,1,1,0,0,3,3,0,0,73.8288294950146,73.8288331887553,5450.69606460394,5450.69661001306,0.0105127616874134,0.0105127798756208
96x12,7,E3,1,1,1,0,0,3,3,0,0,73.8288293149101,73.8288330094029,5450.69603801013,5450.6965835303,0.0105127616915464,0.0105127798797525
96x12,8,E1,1,1,1,0,0,3,3,0,0,74.5796045280661,74.5796074929777,5562.11741156274,5562.11785380661,0.0121945680363705,0.012194584354148
96x12,8,E2,1,1,1,0,0,3,3,0,0,74.5794279777135,74.5794309419711,5562.09107748295,5562.09151962823,0.0121945734090833,0.0121945897268628
96x12,8,E3,1,1,1,0,0,3,3,0,0,74.5794278012021,74.5794307652182,5562.09105115472,5562.09149326397,0.0121945734144613,0.0121945897322407
96x12,9,E1,1,1,1,0,0,3,3,0,0,75.3286652387336,75.3286675010903,5674.40780664919,5674.40814748982,0.0139068507185495,0.0139068655117168
96x12,9,E2,1,1,1,0,0,3,3,0,0,75.3284914604754,75.328493723742,5674.38162571092,5674.38196668783,0.0139068574919463,0.0139068722851148
96x12,9,E3,1,1,1,0,0,3,3,0,0,75.3284912867703,75.3284935500694,5674.38159954103,5674.38194052284,0.0139068574987269,0.0139068722918948
96x12,10,E1,1,1,1,0,0,3,3,0,0,76.0765565112039,76.0765582843468,5787.6424506024,5787.64272039161,0.0155956433539818,0.015595648050364
96x12,10,E2,1,1,1,0,0,3,3,0,0,76.076385297742,76.0763870697917,5787.61639997049,5787.61666959278,0.0155956516861024,0.0155956563824908
96x12,10,E3,1,1,1,0,0,3,3,0,0,76.0763851262586,76.076386898016,5787.61637387883,5787.61664345662,0.0155956516944433,0.0155956563908317
96x12,11,E1,1,1,1,0,0,3,3,0,0,76.8247178852276,76.8247189932717,5902.03727814482,5902.03744839516,0.0171788859329307,0.0171788893689555
96x12,11,E2,1,1,1,0,0,3,3,0,0,76.8245490853195,76.8245501926738,5902.01134216267,5902.01151230666,0.0171788959748742,0.0171788994109026
96x12,11,E3,1,1,1,0,0,3,3,0,0,76.824548916731,76.8245500232324,5902.01131625919,5902.01148627214,0.0171788959849257,0.0171788994209552
96x12,12,E1,1,1,1,0,0,3,3,0,0,77.573515088492,77.5735154537945,6017.65024318449,6017.6502998601,0.018645999144705,0.0186460001912041
96x12,12,E2,1,1,1,0,0,3,3,0,0,77.5733485210917,77.573348886109,6017.62440077476,6017.624457406,0.0186460110368873,0.0186460120833892
96x12,12,E3,1,1,1,0,0,3,3,0,0,77.5733483540846,77.5733487184801,6017.62437486416,6017.62443139892,0.0186460110487918,0.0186460120952938
96x12,13,E1,1,1,1,0,0,3,3,0,0,78.3244243231801,78.3244239822798,6134.71544555757,6134.71539215593,0.0199281560990449,0.0199281559312807
96x12,13,E2,1,1,1,0,0,3,3,0,0,78.3242598197234,78.3242594795333,6134.68967630754,6134.68962301726,0.0199281699809276,0.0199281698131607
96x12,13,E3,1,1,1,0,0,3,3,0,0,78.3242596546876,78.3242593143238,6134.68965045492,6134.68959713743,0.0199281699948223,0.019928169827057
96x12,14,E1,1,1,1,0,0,3,3,0,0,79.07923346274,79.0792323772093,6253.52516505453,6253.52499336867,0.021002096123809,0.0210020935434353
96x12,14,E2,1,1,1,0,0,3,3,0,0,79.0790708873534,79.0790698023219,6253.49945240707,6253.49928080051,0.021002112109985,0.0210021095296089
96x12,14,E3,1,1,1,0,0,3,3,0,0,79.0790707245255,79.0790696400301,6253.49942665451,6253.49925513272,0.0210021121259887,0.0210021095456111
96x12,15,E1,1,1,1,0,0,3,3,0,0,79.8368622755766,79.8368605213124,6373.92457800938,6373.92429789949,0.0221723723826567,0.0221723686696883
96x12,15,E2,1,1,1,0,0,3,3,0,0,79.8367014674093,79.8366997130684,6373.89890119623,6373.89862107466,0.0221723906617094,0.0221723869487365
96x12,15,E3,1,1,1,0,0,3,3,0,0,79.8367013068489,79.8366995518427,6373.89887555901,6373.8985953312,0.0221723906800066,0.0221723869670348
96x12,16,E1,1,1,1,0,0,3,3,0,0,80.5967755031751,80.5967732821217,6495.8402215092,6495.83986348973,0.0234449625973822,0.0234449495895522
96x12,16,E2,1,1,1,0,0,3,3,0,0,80.5966162839792,80.5966140628756,6495.81455642699,6495.81419840011,0.0234449833554579,0.0234449703476285
96x12,16,E3,1,1,1,0,0,3,3,0,0,80.5966161244179,80.5966139037441,6495.81453070678,6495.8141727492,0.0234449833762351,0.0234449703684068
96x12,17,E1,1,1,1,0,0,3,3,0,0,81.358558092273,81.3585552044683,6619.21497485376,6619.21450495852,0.0247975715920709,0.024797557313701
96x12,17,E2,1,1,1,0,0,3,3,0,0,81.3584002658331,81.3583973768598,6619.18929381551,6619.18882373102,0.0247975950382409,0.0247975807598679
96x12,17,E3,1,1,1,0,0,3,3,0,0,81.3584001084062,81.3583972190799,6619.18926819951,6619.1887980576,0.024797595061709,0.0247975807833372
96x12,18,E1,1,1,1,0,0,3,3,0,0,82.1219686592903,82.1219650229241,6744.01773647745,6744.01713922637,0.0262478966722619,0.0262478787745044
96x12,18,E2,1,1,1,0,0,3,3,0,0,82.121812062437,82.1218084260581,6743.99201641822,6743.99141916619,0.0262479229756283,0.0262479050778667
96x12,18,E3,1,1,1,0,0,3,3,0,0,82.1218119057656,82.1218082691797,6743.99199068594,6743.99139339991,0.0262479230019586,0.0262479051041966
96x12,19,E1,1,1,1,0,0,3,3,0,0,82.8860304755839,82.8860344606579,6870.09404799942,6870.09470861336,0.0277896147580322,0.027789632998202
96x12,19,E2,1,1,1,0,0,3,3,0,0,82.8858748988464,82.8858788830491,6870.06825774722,6870.06891821548,0.0277896441156847,0.0277896623558636
96x12,19,E3,1,1,1,0,0,3,3,0,0,82.8858747425725,82.8858787274802,6870.06823184142,6870.06889242656,0.0277896441450719,0.02778966238525
96x12,20,E1,1,1,1,0,0,3,3,0,0,83.6508461893962,83.6508494303966,6997.46406820203,6997.46461042688,0.0294317227901678,0.0294317376310581
96x12,20,E2,1,1,1,0,0,3,3,0,0,83.6506914226528,83.6506946654418,6997.43817548788,6997.43871801098,0.0294317553841117,0.0294317702250052
96x12,20,E3,1,1,1,0,0,3,3,0,0,83.6506912674534,83.6506945109465,6997.4381495228,6997.43869216369,0.0294317554167376,0.0294317702576303
96x12,21,E1,1,1,1,0,0,3,3,0,0,84.4165881647271,84.4165907415613,7126.16035737314,7126.16079242825,0.0311640040958366,0.0311640175019463
96x12,21,E2,1,1,1,0,0,3,3,0,0,84.4164340569557,84.4164366336936,7126.13433889236,7126.13477393041,0.0311640400993898,0.0311640535055007
96x12,21,E3,1,1,1,0,0,3,3,0,0,84.416433902769,84.4164364799843,7126.13431286057,7126.13474797923,0.0311640401354291,0.0311640535415404
96x12,22,E1,1,1,1,0,0,3,3,0,0,85.1820936610169,85.1820957741104,7255.98908047426,7255.98944046971,0.0329982301835795,0.0329982364881219
96x12,22,E2,1,1,1,0,0,3,3,0,0,85.1819399766683,85.1819420895702,7255.96289818872,7255.96325815089,0.0329982697745309,0.032998276079083
96x12,22,E3,1,1,1,0,0,3,3,0,0,85.181939822754,85.1819419355963,7255.96287196729,7255.9632319193,0.032998269814162,0.0329982761187138
96x12,23,E1,1,1,1,0,0,3,3,0,0,85.9471285638871,85.9471299831479,7386.90890837734,7386.90915234012,0.0349091640614703,0.0349091688422083
96x12,23,E2,1,1,1,0,0,3,3,0,0,85.9469751207467,85.9469765394426,7386.88253240625,7386.88277627151,0.0349092074259337,0.0349092122066804
96x12,23,E3,1,1,1,0,0,3,3,0,0,85.9469749672923,85.946976386318,7386.88250602838,7386.8827499503,0.0349092074693419,0.0349092122500875
96x12,24,E1,1,1,1,0,0,3,3,0,0,86.7109456194208,86.7109462772385,7518.78809021415,7518.78820429415,0.0369245144854804,0.0369245165816514
96x12,24,E2,1,1,1,0,0,3,3,0,0,86.7107921077149,86.710792766218,7518.76146794735,7518.76158214601,0.0369245618238779,0.0369245639200526
96x12,24,E3,1,1,1,0,0,3,3,0,0,86.7107919548779,86.7107926122492,7518.76144144212,7518.7615554445,0.0369245618712628,0.0369245639674392
96x12,25,E1,1,1,1,0,0,3,3,0,0,87.474007584036,87.474007609305,7651.70200281199,7651.70200723276,0.0390430780843084,0.0390430783779355
96x12,25,E2,1,1,1,0,0,3,3,0,0,87.4738538465738,87.4738538730478,7651.67510677175,7651.67511140332,0.0390431295252189,0.0390431298188455
96x12,25,E3,1,1,1,0,0,3,3,0,0,87.473853693275,87.4738537192652,7651.67507995248,7651.6750844994,0.0390431295767112,0.0390431298703372
