k,role,representation,evaluator,python_selected_ordinal,matlab_selected_ordinal,ordinal_identical,python_selected_omega,matlab_selected_omega,relative_omega_difference,voidKE,voidSE,densityParticipation,IPR
1,representative,double,E1,1,1,True,69.30139035020754,69.30139035004521,2.342385810613778e-12,0.0,0.0,0.5013490256663832,0.0012788259996557344
1,representative,double,E2,1,1,True,69.30118915694419,69.3011891569658,3.1189522553307654e-13,0.0,0.0,0.5013490257533599,0.0012788259976091335
1,representative,double,E3,1,1,True,69.30118895517207,69.3011889548762,4.269335052291157e-12,0.0,0.0,0.5013490257534466,0.001278825997607057
1,representative,single,E1,1,1,True,69.30138962900725,69.30138962905379,6.715673299107264e-13,0.0,0.0,0.501349024336275,0.0012788259988063063
1,representative,single,E2,1,1,True,69.30118843517843,69.30118843471388,6.703389236644791e-12,0.0,0.0,0.5013490244232514,0.0012788259967597725
1,representative,single,E3,1,1,True,69.30118823405384,69.30118823419147,1.9859995394541758e-12,0.0,0.0,0.5013490244233391,0.0012788259967576746
41,representative,double,E1,1,1,True,99.1819670934183,99.18196709262278,8.020706378604015e-12,0.0,0.0,0.5845008249018182,0.001485157015213293
41,representative,double,E2,1,1,True,99.18176292671248,99.18176292700441,2.9434200381097424e-12,0.0,0.0,0.5845009685585326,0.001485159178247515
41,representative,double,E3,1,1,True,99.18176272242353,99.18176272267958,2.5816357083151465e-12,0.0,0.0,0.584500968702334,0.001485159180412862
41,representative,single,E1,1,1,True,99.18196514082513,99.18196514089325,6.868873530374258e-13,0.0,0.0,0.5845008123640352,0.0014851570183721905
41,representative,single,E2,1,1,True,99.18176097418237,99.1817609743266,1.4541581343964877e-12,0.0,0.0,0.5845009560207503,0.001485159181406652
41,representative,single,E3,1,1,True,99.18176077065777,99.18176077108602,4.317770762620463e-12,0.0,0.0,0.5845009561645491,0.0014851591835718068
45,representative,double,E1,1,1,True,101.89398327839369,101.89398327845097,5.621917360953143e-13,0.0,0.0,0.5970860677951862,0.0015236770785612992
45,representative,double,E2,1,1,True,101.89375344550953,101.89375344567205,1.5949489446347702e-12,0.0,0.0,0.5970862424572663,0.0015236801078663243
45,representative,double,E3,1,1,True,101.89375321584235,101.89375321620093,3.519180378681724e-12,0.0,0.0,0.5970862426321044,0.0015236801108987983
45,representative,single,E1,1,1,True,101.89398589979584,101.89398589939006,3.982342450893434e-12,0.0,0.0,0.5970860823338872,0.0015236770890457384
45,representative,single,E2,1,1,True,101.89375606663226,101.89375606663603,3.6958854447035395e-14,0.0,0.0,0.5970862569959797,0.0015236801183507566
45,representative,single,E3,1,1,True,101.89375583663838,101.89375583661106,2.680562958775971e-13,0.0,0.0,0.5970862571708175,0.0015236801213833141
48,representative,double,E1,1,1,True,103.91834726381094,103.91834726380822,2.625603829506859e-14,0.0,0.0,0.6038028597961461,0.0015485590790641237
48,representative,double,E2,1,1,True,103.91809934732865,103.91809934725946,6.658383096201549e-13,0.0,0.0,0.6038030515316334,0.0015485628976431073
48,representative,double,E3,1,1,True,103.91809909978751,103.91809910001218,2.1620258164183197e-12,0.0,0.0,0.6038030517235594,0.0015485629014655585
48,representative,single,E1,1,1,True,103.91834834398924,103.918348343734,2.4561703068593235e-12,0.0,0.0,0.6038028661098506,0.0015485590950816575
48,representative,single,E2,1,1,True,103.9181004281644,103.91810042840052,2.2722467113463854e-12,0.0,0.0,0.6038030578453504,0.001548562913661166
48,representative,single,E3,1,1,True,103.91810017964661,103.91810017963338,1.2731473840440777e-13,0.0,0.0,0.6038030580372793,0.0015485629174838088
80,representative,double,E1,1,1,True,127.42127408747072,127.4212740873293,1.1099121958925203e-12,0.04494295665565088,0.009660223281229627,0.7181845387364413,0.0019739038934880842
80,representative,double,E2,1,1,True,127.42039197881309,127.42039197881661,2.765877513511341e-14,0.04494340470285695,0.009654933666248765,0.718185060523583,0.0019739471763362895
