mesh,k,representation,evaluator,batch_schedule,final_requested,escalation,mode,lambda,omega,residual,eigenpair_valid,diagnostic_finite,voidKE,voidSE,densityParticipation,IPR,pass_KE,pass_SE,pass_P,valid_structural,selected
96x12,1,double,E1,3,3,0,1,4802.6827044493384,69.30139035004521,2.7343873827595485e-11,1,1,0,0,0.50134902566638317,0.0012788259996556997,1,1,1,1,1
96x12,1,double,E1,3,3,0,2,65963.060367698738,256.83274784905979,7.3430157327242585e-12,1,1,0,0,0.50062541927368165,0.0012302676796375816,1,1,1,1,0
96x12,1,double,E1,3,3,0,3,194823.86152644936,441.38856071091078,6.7514503009990741e-13,1,1,0,0,0.50078180699408437,0.00099783744624520323,1,1,1,1,0
96x12,1,single,E1,3,3,0,1,4802.6826045179241,69.301389629053787,2.8437867500428542e-11,1,1,0,0,0.50134902433627559,0.0012788259988063037,1,1,1,1,1
96x12,1,single,E1,3,3,0,2,65963.059281786744,256.83274573501478,7.2501305798081548e-12,1,1,0,0,0.5006254186339244,0.0012302676785893082,1,1,1,1,0
96x12,1,single,E1,3,3,0,3,194823.86096120116,441.38856007060394,6.5081219151920363e-13,1,1,0,0,0.50078180619698587,0.0009978374429891418,1,1,1,1,0
96x12,1,double,E2,3,3,0,1,4802.6548185695547,69.301189156965805,2.7812173105571995e-11,1,1,0,0,0.50134902575335993,0.0012788259976091319,1,1,1,1,1
96x12,1,double,E2,3,3,0,2,65962.674387410691,256.83199642453172,7.701488469778809e-12,1,1,0,0,0.50062541933672366,0.001230267680957351,1,1,1,1,0
96x12,1,double,E2,3,3,0,3,194822.69974134193,441.3872446518385,6.6184691585919742e-13,1,1,0,0,0.50078180712590981,0.00099783746035385324,1,1,1,1,0
96x12,1,single,E2,3,3,0,1,4802.6547184637202,69.301188434713879,3.0055058102382188e-11,1,1,0,0,0.5013490244232518,0.0012788259967597645,1,1,1,1,1
96x12,1,single,E2,3,3,0,2,65962.673301328075,256.83199431014833,7.6835871079213553e-12,1,1,0,0,0.5006254186969662,0.0012302676799090821,1,1,1,1,0
96x12,1,single,E2,3,3,0,3,194822.69917596466,441.38724401138359,6.5085888204582739e-13,1,1,0,0,0.50078180632881142,0.00099783745709779029,1,1,1,1,0
96x12,1,double,E3,3,3,0,1,4802.6547905594553,69.301188954876196,2.8239687986466484e-11,1,1,0,0,0.50134902575344698,0.001278825997607031,1,1,1,1,1
96x12,1,double,E3,3,3,0,2,65962.674000942803,256.83199567215689,7.2502544578512032e-12,1,1,0,0,0.50062541933678639,0.0012302676809586668,1,1,1,1,0
96x12,1,double,E3,3,3,0,3,194822.69857835921,441.38724333442082,7.031753643664254e-13,1,1,0,0,0.50078180712604148,0.00099783746036795243,1,1,1,1,0
96x12,1,single,E3,3,3,0,1,4802.6546906708381,69.301188234191471,2.967177906458051e-11,1,1,0,0,0.50134902442333928,0.001278825996757711,1,1,1,1,1
96x12,1,single,E3,3,3,0,2,65962.672915081217,256.83199355820375,6.9827218571146198e-12,1,1,0,0,0.50062541869702937,0.0012302676799103873,1,1,1,1,0
96x12,1,single,E3,3,3,0,3,194822.69801303584,441.38724269402695,6.9239103293920614e-13,1,1,0,0,0.50078180632894287,0.00099783745711190313,1,1,1,1,0
