k,max_abs_density_error,mean_abs_density_error,rms_density_error,max_relative_density_error,n_changed,n_single_equal_single_0p1,n_cross_rho_eff_0p1
1,4.76837158647214e-09,4.76837158642396e-09,4.76837158642395e-09,9.63307391206493e-09,1152,0,0
2,9.53674317294428e-09,9.40428840665339e-09,9.47028422269103e-09,1.9462741169274e-08,1136,0,0
3,1.43051147594164e-08,1.41064314257422e-08,1.41720406337081e-08,2.94950819781782e-08,1152,0,0
4,1.90734863458886e-08,1.47231739176955e-08,1.53534186575672e-08,3.66797814344011e-08,1144,0,0
5,2.38418579323607e-08,1.4814238740816e-08,1.72434767935139e-08,4.54130627283061e-08,1152,0,0
6,2.86102295188329e-08,1.47894044588087e-08,1.99945974066487e-08,5.39815651298733e-08,1152,0,0
7,2.62260436700856e-08,1.47521513585127e-08,1.85126553958052e-08,4.90206423739918e-08,1152,0,0
8,2.86102295188329e-08,1.45990010281804e-08,1.61918310265495e-08,5.39815651298733e-08,1138,0,0
9,2.62260436700856e-08,1.45907196448852e-08,1.49172119669513e-08,4.90206423739918e-08,1152,0,0
10,2.86102295188329e-08,1.19002321669676e-08,1.21738409463647e-08,5.39815651298733e-08,1144,0,0
11,2.62276352858137e-08,7.83966268050869e-09,8.39828268148104e-09,4.9023617356807e-08,1152,0,0
12,2.86102295188329e-08,3.60525094808859e-09,5.42341294483326e-09,5.39815651298733e-08,1149,0,0
13,2.62260436700856e-08,3.64664335456628e-09,5.44611010091483e-09,4.90206423739918e-08,1152,0,0
14,2.86102295188329e-08,7.56648034042999e-09,8.43345872880709e-09,5.39815651298733e-08,1138,0,0
15,2.62274079121383e-08,1.17015504076031e-08,1.21470638694472e-08,4.9023192359262e-08,1152,0,0
16,2.86102295188329e-08,1.42347491386307e-08,1.47418622530284e-08,5.39815651298733e-08,1148,0,0
17,2.62260436700856e-08,1.43837613462963e-08,1.59223327440653e-08,4.90206423739918e-08,1152,0,0
18,2.86102295188329e-08,1.44955291319094e-08,1.80819888552899e-08,5.39815651298733e-08,1126,0,0
19,2.86102294078106e-08,1.45120849881324e-08,1.93046612244385e-08,4.90206423739918e-08,1152,0,0
20,2.86102295188329e-08,1.41850858991569e-08,1.68254879249429e-08,5.39815651298733e-08,1120,0,0
21,2.62274079121383e-08,1.38787728077529e-08,1.49294480681728e-08,4.9023192359262e-08,1152,0,0
22,2.86102295188329e-08,1.30964576282947e-08,1.3622404857814e-08,5.39815651298733e-08,1136,0,0
