k,volume_pass_double,volume_pass_single,required_connected_double,required_connected_single,topology_pass_double,topology_pass_single,hard_gate_pass_double,hard_gate_pass_single,binary_differing_elements,binary_difference_explained,max_detached_area_double,max_detached_area_single,n_islands_significant_double,n_islands_significant_single,aggregate_detached_area_double,aggregate_detached_area_single,n_islands_all_double,n_islands_all_single,cutoff_gap_double,cutoff_gap_single,single_cutoff_tie_group_size,single_tie_straddles_cutoff,n_solid_double,n_solid_single
1,1,1,0,0,0,0,0,0,0,1,1.94444444444444,1.94444444444444,4,4,4,4,4,4,0.00999999999999995,0.00999999046325684,576,0,576,576
2,1,1,0,0,0,0,0,0,0,1,1.94444444444444,1.94444444444444,4,4,4,4,4,4,0,0,16,1,576,576
3,1,1,0,0,0,0,0,0,0,1,1.94444444444444,1.94444444444444,4,4,4,4,4,4,0.00999999999863577,0.00999999046325684,12,0,576,576
4,1,1,0,0,0,0,0,0,0,1,1.94444444444444,1.94444444444444,4,4,4,4,4,4,0,0,8,1,576,576
5,1,1,0,0,0,0,0,0,0,1,1.94444444444444,1.94444444444444,4,4,4,4,4,4,0.01,0.00999999046325684,4,0,576,576
6,1,1,0,0,0,0,0,0,0,1,1.94444444444444,1.94444444444444,4,4,4,4,4,4,0.02,0.0199999809265137,12,0,576,576
7,1,1,0,0,0,0,0,0,0,1,1.94444444444444,1.94444444444444,4,4,4,4,4,4,0.01,0.00999999046325684,8,0,576,576
8,1,1,0,0,0,0,0,0,2,1,1.95138888888889,1.94444444444444,4,4,4,4,4,4,0,0,16,1,576,576
9,1,1,0,0,0,0,0,0,2,1,1.95138888888889,1.94444444444444,4,4,4,4,4,4,0,0,16,1,576,576
10,1,1,0,0,0,0,0,0,0,1,1.94444444444444,1.94444444444444,4,4,4,4,4,4,0.0099999999974989,0.00999999046325684,8,0,576,576
11,1,1,0,0,0,0,0,0,0,1,1.94444444444444,1.94444444444444,4,4,4,4,4,4,0.0099999999974989,0.00999999046325684,4,0,576,576
12,1,1,0,0,0,0,0,0,2,1,1.9375,1.9375,4,4,4,4,6,6,0,0,16,1,576,576
13,1,1,0,0,0,0,0,0,4,1,1.94444444444444,1.9375,4,4,4,4,6,6,0,0,16,1,576,576
14,1,1,0,0,0,0,0,0,2,1,1.9375,1.9375,4,4,4,4,6,6,0,0,16,1,576,576
15,1,1,0,0,0,0,0,0,0,1,1.93055555555556,1.93055555555556,4,4,4,4,8,8,0.00999999999886314,0.00999999046325684,16,0,576,576
16,1,1,0,0,0,0,0,0,0,1,1.93055555555556,1.93055555555556,4,4,4,4,8,8,0.00999999999943152,0.00999999046325684,4,0,576,576
17,1,1,0,0,0,0,0,0,0,1,1.92361111111111,1.92361111111111,6,6,4,4,8,8,0,0,20,1,576,576
18,1,1,0,0,0,0,0,0,6,1,1.9375,1.92361111111111,6,6,4,4,8,8,0,0,32,1,576,576
19,1,1,0,0,0,0,0,0,2,1,1.90972222222222,1.90277777777778,6,6,4,4,7,8,0,0,32,1,576,576
20,1,1,0,0,0,0,0,0,4,1,1.91666666666667,1.90972222222222,6,6,4,4,6,6,0,0,36,1,576,576
21,1,1,0,0,0,0,0,0,4,1,3.90277777777778,3.90277777777778,2,2,4,4,2,2,0,0,24,1,576,576
22,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00999999999761259,0.00999999046325684,16,0,576,576
23,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,20,1,576,576
24,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,16,1,576,576
25,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,16,1,576,576
26,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.00999999999909051,0.0100000202655792,20,0,576,576
27,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.01,0.0100000202655792,16,0,576,576
28,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.01,0.00999999046325684,16,0,576,576
29,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.01,0.00999999046325684,16,0,576,576
30,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0.01,0.00999999046325684,16,0,576,576
31,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,20,1,576,576
32,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,20,1,576,576
33,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,16,1,576,576
34,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,20,1,576,576
35,1,1,1,1,1,1,1,1,2,1,0.00694444444444444,0.00694444444444444,0,0,0.0138888888888889,0.0138888888888889,2,2,0,0,28,1,576,576
36,1,1,1,1,0,0,0,0,2,1,0.0138888888888889,0.0138888888888889,1,1,0.0277777777777778,0.0277777777777778,3,3,0,0,32,1,576,576
37,1,1,1,1,1,1,1,1,0,1,0.00694444444444444,0.00694444444444444,0,0,0.0277777777777778,0.0277777777777778,4,4,0.00999999999977258,0.00999999046325684,28,0,576,576
38,1,1,1,1,0,0,0,0,0,1,0.0555555555555556,0.0555555555555556,1,1,0.0555555555555556,0.0555555555555556,1,1,0,0,32,1,576,576
39,1,1,1,1,0,0,0,0,0,1,0.0555555555555556,0.0555555555555556,2,2,0.0833333333333333,0.0833333333333333,4,4,0,0,28,1,576,576
40,1,1,1,1,0,0,0,0,2,1,0.0625,0.0555555555555556,2,2,0.104166666666667,0.0972222222222222,4,4,0,0,32,1,576,576
41,1,1,1,1,1,0,1,0,6,1,0,0.0138888888888889,0,1,0,0.0138888888888889,0,1,0,0,24,1,576,576
42,1,1,1,1,0,0,0,0,2,1,0.0763888888888889,0.0694444444444444,2,2,0.131944444444444,0.125,2,2,0,0,16,1,576,576
43,1,1,1,1,0,0,0,0,2,1,0.0763888888888889,0.0694444444444444,2,2,0.131944444444444,0.125,2,2,0,0,28,1,576,576
44,1,1,1,1,0,0,0,0,0,1,0.0555555555555556,0.0555555555555556,1,1,0.0555555555555556,0.0555555555555556,1,1,0,0,12,1,576,576
