k,ratio_E1_double,ratio_E1_single,ratio_E2_double,ratio_E2_single,ratio_E3_double,ratio_E3_single,binding_evaluator_double,binding_evaluator_single,Q_double,Q_single,delta_Q_single_minus_double,H0_double,H0_single,pass_q0_980_double,pass_q0_980_single,pass_q0_990_double,pass_q0_990_single,pass_q0_995_double,pass_q0_995_single
1,0.426050361769415,0.426050357371089,0.425166520368899,0.425166515964612,0.425166519953657,0.425166515558146,3,3,0.425166519953657,0.425166515558146,-4.39551167685792e-09,0,0,0,0,0,0,0,0
2,0.430701223514538,0.43070121468364,0.429807772267962,0.429807763449678,0.42980777188873,0.429807763071659,3,3,0.42980777188873,0.429807763071659,-8.81707068467463e-09,0,0,0,0,0,0,0,0
3,0.435349943166802,0.435349929918825,0.43444688546652,0.434446872239289,0.434446885122019,0.43444687189292,3,3,0.434446885122019,0.43444687189292,-1.32290993160034e-08,0,0,0,0,0,0,0,0
4,0.439992758789054,0.439992742473805,0.439080105802073,0.439080089513973,0.439080105494368,0.439080089201226,3,3,0.439080105494368,0.439080089201226,-1.62931418912216e-08,0,0,0,0,0,0,0,0
5,0.444631306478639,0.444631285807379,0.443709065918067,0.443709045289016,0.443709065638339,0.44370904501073,3,3,0.443709065638339,0.44370904501073,-2.06276090652935e-08,0,0,0,0,0,0,0,0
6,0.449262957109888,0.449262932009165,0.448331142136582,0.44833111707826,0.448331141884119,0.448331116828126,3,3,0.448331141884119,0.448331116828126,-2.50559931136429e-08,0,0,0,0,0,0,0,0
7,0.453885208312892,0.45388523105883,0.45294383720036,0.452943859890174,0.452943836973871,0.452943859667405,3,3,0.452943836973871,0.452943859667405,2.2693533718865e-08,0,0,0,0,0,0,0,0
8,0.458499711611944,0.458499729876377,0.457548799235866,0.457548817450552,0.457548799040353,0.457548817252653,3,3,0.457548799040353,0.457548817252653,1.82123003344969e-08,0,0,0,0,0,0,0,0
9,0.463104779203736,0.463104793149379,0.462144343964254,0.462144357878611,0.46214434379487,0.462144357708514,3,3,0.46214434379487,0.462144357708514,1.39136442922627e-08,0,0,0,0,0,0,0,0
10,0.467702657335628,0.467702668274056,0.46673271285466,0.466732723755665,0.466732712707805,0.466732723606095,3,3,0.466732712707805,0.466732723606095,1.08982893265441e-08,0,0,0,0,0,0,0,0
11,0.472302195995021,0.47230220284493,0.471322737904733,0.471322744728085,0.471322737784541,0.471322744601729,3,3,0.471322737784541,0.471322744601729,6.81718870243486e-09,0,0,0,0,0,0,0,0
12,0.47690564359876,0.47690564588282,0.475916662690647,0.47591666496001,0.475916662589066,0.475916664853675,3,3,0.475916662589066,0.475916664853675,2.264608556235e-09,0,0,0,0,0,0,0,0
13,0.481522075527166,0.48152207347001,0.480523543868714,0.480523541811882,0.480523543788162,0.480523541729316,3,3,0.480523543788162,0.480523541729316,-2.05884653770028e-09,0,0,0,0,0,0,0,0
14,0.486162483249897,0.486162476615282,0.485154350339197,0.485154343713014,0.485154350281172,0.48515434365732,3,3,0.485154350281172,0.48515434365732,-6.62385185590253e-09,0,0,0,0,0,0,0,0
15,0.490820225730467,0.490820214984993,0.489802454669958,0.489802443937819,0.489802454634859,0.489802443897671,3,3,0.489802454634859,0.489802443897671,-1.07371879165541e-08,0,0,0,0,0,0,0,0
16,0.495492012312184,0.495491998697364,0.49446457291451,0.49446455931905,0.494464572894582,0.494464559300783,3,3,0.494464572894582,0.494464559300783,-1.35937990863866e-08,0,0,0,0,0,0,0,0
17,0.500175291334949,0.500175273621458,0.499138158588545,0.499138140895963,0.499138158590776,0.499138140895043,2,3,0.499138158588545,0.499138140895043,-1.76935017748292e-08,0,0,0,0,0,0,0,0
18,0.504868578823316,0.504868556508202,0.503821730993565,0.503821708715905,0.503821731009515,0.503821708729589,2,2,0.503821730993565,0.503821708715905,-2.22776601610519e-08,0,0,0,0,0,0,0,0
19,0.509565870055163,0.509565894595436,0.508509297562785,0.508509322038097,0.508509297590265,0.508509322068898,2,2,0.508509297562785,0.508509322038097,2.44753121103614e-08,0,0,0,0,0,0,0,0
20,0.51426779609028,0.514267816056522,0.513201488044695,0.51320150797169,0.513201488087867,0.513201508018169,2,2,0.513201488044695,0.51320150797169,1.99269950540426e-08,0,0,0,0,0,0,0,0
21,0.51897541658626,0.518975432469726,0.51789936026428,0.517899376105311,0.517899360322777,0.517899376165714,2,2,0.51789936026428,0.517899376105311,1.58410313755297e-08,0,0,0,0,0,0,0,0
22,0.523681583258868,0.52368159629173,0.522595780227129,0.522595793222798,0.522595780296406,0.522595793290676,2,2,0.522595780227129,0.522595793222798,1.29956683192489e-08,1,1,0,0,0,0,0,0
23,0.528384856822179,0.528384865589882,0.52728931195616,0.527289320693132,0.527289312037361,0.527289320775315,2,2,0.52728931195616,0.527289320693132,8.73697270087348e-09,1,1,0,0,0,0,0,0
24,0.533080643316389,0.533080647403278,0.531975370225843,0.531975374299288,0.53197537031992,0.53197537438537,2,2,0.531975370225843,0.531975374299288,4.07344413755339e-09,1,1,0,0,0,0,0,0
25,0.53777178767056,0.537771787869048,0.536656795007783,0.536656795203989,0.536656795108106,0.536656795300284,2,2,0.536656795007783,0.536656795203989,1.96206162428325e-10,1,1,0,0,0,0,0,0
26,0.54245162026123,0.542451615669513,0.541326929187014,0.541326924600471,0.541326929285919,0.541326924703009,2,2,0.541326929187014,0.541326924600471,-4.58654314527962e-09,1,1,0,0,0,0,0,0
27,0.547109837220938,0.547109828917311,0.545975491281296,0.54597548298432,0.54597549138742,0.545975483095879,2,2,0.545975491281296,0.54597548298432,-8.29697532900298e-09,1,1,0,0,0,0,0,0
28,0.5517622635078,0.551762250673571,0.550618272428254,0.550618259614513,0.550618272531549,0.550618259718727,2,2,0.550618272428254,0.550618259614513,-1.28137411792295e-08,1,1,0,0,0,0,0,0
29,0.55639295599585,0.556392941038801,0.555239363403093,0.555239348471577,0.555239363513378,0.555239348574302,2,2,0.555239363403093,0.555239348471577,-1.49315160236085e-08,1,1,0,0,0,0,0,0
30,0.560997832862226,0.560997813459635,0.55983468951737,0.559834670154557,0.559834689623144,0.559834670251354,2,2,0.55983468951737,0.559834670154557,-1.93628130196188e-08,1,1,0,0,0,0,0,0
31,0.565583266776677,0.565583243370851,0.564410610487993,0.564410587124615,0.564410610590624,0.564410587224575,2,2,0.564410610487993,0.564410587124615,-2.3363377787966e-08,1,1,0,0,0,0,0,0
32,0.570133049696836,0.570133070726529,0.56895095190378,0.568950972881201,0.56895095200088,0.568950972975518,2,2,0.56895095190378,0.568950972881201,2.09774208004276e-08,1,1,0,0,0,0,0,0
33,0.574670572670303,0.574670589327304,0.573479059188804,0.57347907579224,0.573479059275322,0.573479075883674,2,2,0.573479059188804,0.57347907579224,1.66034361814837e-08,1,1,0,0,0,0,0,0
34,0.579185468556813,0.579185481372359,0.577984581380141,0.577984594154102,0.577984581454455,0.577984594230589,2,2,0.577984581380141,0.577984594154102,1.27739613331457e-08,1,1,0,0,0,0,0,0
35,0.583658714422589,0.583658724085784,0.582448539432769,0.582448549067704,0.582448539497246,0.582448549131108,2,2,0.582448539432769,0.582448549067704,9.63493496097811e-09,1,1,0,0,0,0,0,0
36,0.588103606930108,0.588103612725458,0.58688419845436,0.586884204225077,0.586884198497409,0.586884204267531,2,2,0.58688419845436,0.586884204225077,5.77071634921822e-09,0,0,0,0,0,0,0,0
37,0.592505692856202,0.592505695094167,0.59127713943051,0.591277141650168,0.591277139453981,0.591277141672666,2,2,0.59127713943051,0.591277141650168,2.21965823499204e-09,1,1,0,0,0,0,0,0
38,0.596869033819682,0.596869031987475,0.595631410507642,0.595631408669094,0.595631410511538,0.595631408668141,2,3,0.595631410507642,0.595631408668141,-1.83950099597041e-09,0,0,0,0,0,0,0,0
39,0.601208472880217,0.601208467362416,0.59996182876791,0.599961823247236,0.599961828751255,0.599961823230859,3,3,0.599961828751255,0.599961823230859,-5.52039614021282e-09,0,0,0,0,0,0,0,0
40,0.60549650393386,0.605496494503973,0.604240942858268,0.604240933436498,0.604240942812972,0.60424093338971,3,3,0.604240942812972,0.60424093338971,-9.42326161545992e-09,0,0,0,0,0,0,0,0
41,0.609749858514731,0.609749846564822,0.608485446508228,0.608485434566753,0.608485446434811,0.608485434498787,3,3,0.608485446434811,0.608485434498787,-1.19360242800681e-08,1,0,0,0,0,0,0,0
42,0.613959280534027,0.613959265537462,0.612686111458521,0.612686096486366,0.612686111351659,0.61268609637939,3,3,0.612686111351659,0.61268609637939,-1.49722685360842e-08,0,0,0,0,0,0,0,0
43,0.618131251249825,0.618131232333473,0.616849399537272,0.616849380662559,0.616849399407041,0.616849380528383,3,3,0.616849399407041,0.616849380528383,-1.8878658414323e-08,0,0,0,0,0,0,0,0
44,0.622283069120798,0.62228308984561,0.620992576390842,0.62099259706148,0.620992576231389,0.620992596888961,3,3,0.620992576231389,0.620992596888961,2.06575713201929e-08,0,0,0,0,0,0,0,0
45,0.626422763217801,0.626422779381034,0.625123654107866,0.625123670226977,0.625123653912444,0.625123670026923,3,3,0.625123653912444,0.625123670026923,1.61144788624057e-08,1,0,0,0,0,0,0,0
46,0.630542587384355,0.630542600122611,0.62923490029341,0.629234912989976,0.629234900057544,0.629234912753753,3,3,0.629234900057544,0.629234912753753,1.26962086399729e-08,1,1,0,0,0,0,0,0
47,0.634706998283819,0.634707007770696,0.63339066000122,0.633390669457465,0.633390659752556,0.633390669209919,3,3,0.633390659752556,0.633390669209919,9.45736211566128e-09,1,1,0,0,0,0,0,0
48,0.638868126924907,0.638868133615313,0.637543125021294,0.637543131694291,0.637543124740902,0.637543131403316,3,3,0.637543124740902,0.637543131403316,6.66241328772799e-09,1,0,0,0,0,0,0,0
49,0.643069257143545,0.643069260459213,0.64173552036197,0.641735523656968,0.641735520054876,0.641735523345549,3,3,0.641735520054876,0.641735523345549,3.29067373350256e-09,0,0,0,0,0,0,0,0
50,0.647274517234778,0.647274516913884,0.645932023850705,0.645932023522724,0.645932023500203,0.64593202317393,3,3,0.645932023500203,0.64593202317393,-3.26273563722168e-10,0,0,0,0,0,0,0,0
51,0.651495637126513,0.65149563331073,0.650144350902295,0.650144347076114,0.650144350510675,0.650144346689769,3,3,0.650144350510675,0.650144346689769,-3.8209059249894e-09,0,0,0,0,0,0,0,0
52,0.655750343998381,0.655750337525605,0.654390182827431,0.654390176353296,0.65439018238171,0.654390175914092,3,3,0.65439018238171,0.654390175914092,-6.46761788569705e-09,1,1,0,0,0,0,0,0
53,0.660005528043148,0.660005517821627,0.658636501497163,0.658636491278759,0.65863650101343,0.65863649079352,3,3,0.65863650101343,0.65863649079352,-1.02199102514078e-08,1,1,0,0,0,0,0,0
54,0.664296116698914,0.664296103181773,0.662918142220574,0.662918128721313,0.662918141682918,0.662918128187936,3,3,0.662918141682918,0.662918128187936,-1.3494981909723e-08,0,0,0,0,0,0,0,0
55,0.668588376720989,0.668588360808963,0.667201442483236,0.667201426582698,0.667201441893418,0.667201425990761,3,3,0.667201441893418,0.667201425990761,-1.5902656302913e-08,1,1,0,0,0,0,0,0
56,0.672888154114799,0.672888134107151,0.671492246901317,0.671492226925487,0.67149224625357,0.671492226272505,3,3,0.67149224625357,0.671492226272505,-1.99810654688548e-08,1,1,0,0,0,0,0,0
57,0.677205914608425,0.677205932530294,0.675800984705088,0.675801002572348,0.675800983983848,0.67580100185453,3,3,0.675800983983848,0.67580100185453,1.78706820452845e-08,1,1,0,0,0,0,0,0
58,0.681553034684461,0.681553048946263,0.680139012402341,0.680139026617197,0.680139011600161,0.68013902582204,3,3,0.680139011600161,0.68013902582204,1.42218787857473e-08,1,1,0,0,0,0,0,0
59,0.685890306397714,0.685890317592127,0.684467204364045,0.684467215522167,0.684467203482106,0.684467214636865,3,3,0.684467203482106,0.684467214636865,1.11547590053718e-08,0,0,0,0,0,0,0,0
60,0.690264218052135,0.690264225039632,0.68883195743253,0.688831964394863,0.688831956457736,0.688831963419239,3,3,0.688831956457736,0.688831963419239,6.96150359580372e-09,1,1,0,0,0,0,0,0
61,0.694635208075118,0.694635213874712,0.693193792549359,0.693193798317859,0.69319379148379,0.693193797257536,3,3,0.69319379148379,0.693193797257536,5.77374559274091e-09,1,1,0,0,0,0,0,0
