  it    omega1    omega2    omega3    N sqrt(beta)  inner  cumIn  maxdrho       vol    conv
   1     68.32    252.59    406.66    1     71.30      1      1   0.0200     0.500     yes
   2     71.39    261.72    409.51    1     74.40      1      2   0.0200     0.500     yes
   3     74.48    270.37    410.98    1     77.48      1      3   0.0200     0.500     yes
   4     77.55    278.55    412.62    1     80.54      1      4   0.0200     0.500     yes
   5     80.61    286.37    415.80    1     83.58      1      5   0.0200     0.500     yes
   6     83.64    293.74    422.76    1     86.60      1      6   0.0200     0.500     yes
   7     86.65    300.13    430.84    1     89.58      1      7   0.0200     0.500     yes
   8     89.62    305.45    440.67    1     92.50      1      8   0.0200     0.500     yes
   9     92.55    309.36    449.18    1     95.41      1      9   0.0200     0.500     yes
  10     95.45    311.55    461.74    1     98.28      1     10   0.0200     0.500     yes
  11     98.32    311.34    471.44    1    101.10      1     11   0.0200     0.500     yes
  12    101.13    308.41    481.77    1    103.89      1     12   0.0200     0.500     yes
  13    103.93    303.04    494.95    1    106.69      1     13   0.0200     0.500     yes
  14    106.72    294.23    507.16    1    109.45      1     14   0.0200     0.500     yes
  15    109.47    282.10    494.11    1    112.20      1     15   0.0200     0.500     yes
  16    112.26    267.17    482.13    1    115.03      1     16   0.0200     0.500     yes
  17    115.08    250.15    471.10    1    117.88      1     17   0.0200     0.500     yes
  18    117.94    231.22    460.48    1    120.81      1     18   0.0200     0.500     yes
  19    120.90    211.85    451.18    1    123.86      1     19   0.0200     0.500     yes
  20    123.99    193.16    443.16    1    127.09      1     20   0.0200     0.500     yes
  21    130.42    178.40    446.40    1    133.17      1     21   0.0200     0.500     yes
  22    133.14    164.62    438.11    1    136.04      1     22   0.0200     0.500     yes
  23    136.53    155.87    397.31    1    139.53      1     23   0.0200     0.500     yes
  24    139.70    151.27    344.94    1    142.85      1     24   0.0200     0.500     yes
  25    143.07    150.45    324.41    1    146.39      1     25   0.0200     0.500     yes
  26    146.35    151.43    321.68    2    147.73      1     26   0.0200     0.500     yes
  27    148.01    150.81    321.63    2    149.26      1     27   0.0200     0.500     yes
  28    149.30    150.21    322.38    2    150.47      1     28   0.0200     0.500     yes
  29    150.99    151.19    326.44    2    152.16      1     29   0.0200     0.500     yes
  30    151.56    152.16    326.78    2    152.97      1     30   0.0200     0.500     yes
  31    152.96    152.98    328.28    2    153.91      1     31   0.0200     0.500     yes
  32    153.76    153.79    329.16    2    154.70      1     32   0.0200     0.500     yes
  33    154.68    154.79    329.29    2    155.58      1     33   0.0200     0.500     yes
  34    155.41    155.70    328.79    2    156.27      1     34   0.0200     0.500     yes
  35    156.52    157.01    327.72    2    157.46      1     35   0.0200     0.500     yes
  36    157.10    157.35    324.90    2    158.18      1     36   0.0200     0.500     yes
  37    158.51    158.82    325.83    2    159.56      1     37   0.0200     0.500     yes
  38    159.01    159.09    322.41    2    159.82      1     38   0.0200     0.500     yes
  39    159.88    160.40    320.58    2    160.78      1     39   0.0200     0.500     yes
  40    160.43    160.73    318.08    2    161.35      1     40   0.0200     0.500     yes
  41    161.39    162.58    317.68    2    162.25      1     41   0.0200     0.500     yes
  42    162.00    162.70    315.44    2    162.73      1     42   0.0200     0.500     yes
  43    163.33    163.79    316.57    2    164.01      1     43   0.0200     0.500     yes
  44    163.74    164.23    314.53    2    164.42      1     44   0.0200     0.500     yes
  45    164.48    165.45    313.99    2    165.11      1     45   0.0200     0.500     yes
  46    164.88    165.87    312.91    2    165.42      1     46   0.0200     0.500     yes
  47    165.56    166.63    312.36    2    166.15      1     47   0.0200     0.500     yes
  48    165.90    167.02    311.79    2    166.36      1     48   0.0200     0.500     yes
  49    166.84    167.85    313.26    2    167.28      1     49   0.0200     0.500     yes
  50    166.84    168.03    310.76    2    167.30      1     50   0.0200     0.500     yes
  51    167.69    168.60    311.86    2    168.14      1     51   0.0200     0.500     yes
  52    167.65    168.35    310.00    2    168.68      1     52   0.0200     0.500     yes
  53    168.27    168.66    310.50    2    169.79      1     53   0.0200     0.500     yes
  54    168.17    168.94    309.52    2    168.59      1     54   0.0200     0.500     yes
  55    168.76    169.73    310.54    2    169.10      1     55   0.0200     0.500     yes
  56    168.54    169.81    308.62    2    168.90      1     56   0.0200     0.500     yes
  57    169.28    170.70    310.39    2    169.61      1     57   0.0200     0.500     yes
  58    168.89    170.24    308.06    2    169.25      1     58   0.0200     0.500     yes
  59    169.72    171.15    310.43    2    170.01      1     59   0.0200     0.500     yes
  60    169.24    170.87    307.47    2    169.56      1     60   0.0200     0.500     yes
  61    170.02    171.75    309.77    2    170.34      1     61   0.0200     0.500     yes
  62    169.47    171.45    307.12    2    169.80      1     62   0.0200     0.500     yes
  63    170.24    172.34    309.63    2    170.57      1     63   0.0200     0.500     yes
  64    169.68    172.10    306.82    2    170.08      1     64   0.0200     0.500     yes
  65    170.41    172.88    309.48    2    170.71      1     65   0.0200     0.500     yes
  66    169.84    172.71    306.76    2    170.25      1     66   0.0200     0.500     yes
  67    170.59    173.61    309.33    2    170.85      1     67   0.0200     0.500     yes
  68    169.99    173.55    306.62    2    170.29      1     68   0.0200     0.500     yes
  69    170.68    174.36    308.98    2    170.96      1     69   0.0200     0.500     yes
  70    170.08    174.13    306.46    2    170.44      1     70   0.0200     0.500     yes
  71    170.75    174.78    308.73    2    171.02      1     71   0.0200     0.500     yes
  72    170.16    174.53    306.32    2    170.59      1     72   0.0200     0.500     yes
  73    170.79    175.13    308.30    2    171.05      1     73   0.0200     0.500     yes
  74    170.22    174.89    305.98    2    170.67      1     74   0.0200     0.500     yes
  75    170.83    175.51    308.19    2    171.05      1     75   0.0200     0.500     yes
  76    170.22    175.17    305.82    2    170.56      1     76   0.0200     0.500     yes
  77    170.88    175.80    307.87    2    171.15      1     77   0.0200     0.500     yes
  78    170.26    175.29    305.54    2    170.73      1     78   0.0200     0.500     yes
  79    170.91    175.86    307.56    2    171.15      1     79   0.0200     0.500     yes
  80    170.28    175.32    305.44    2    170.74      1     80   0.0200     0.500     yes
  81    170.93    175.90    307.73    2    171.19      1     81   0.0200     0.500     yes
  82    170.29    175.38    305.44    2    170.79      1     82   0.0200     0.500     yes
  83    170.95    175.94    307.70    2    171.25      1     83   0.0200     0.500     yes
  84    170.31    175.43    305.63    2    170.86      1     84   0.0200     0.500     yes
  85    170.95    175.97    307.61    2    171.21      1     85   0.0200     0.500     yes
  86    170.31    175.56    305.54    2    170.85      1     86   0.0200     0.500     yes
  87    170.95    176.12    307.59    2    171.22      1     87   0.0200     0.500     yes
  88    170.32    175.70    305.41    2    170.90      1     88   0.0200     0.500     yes
  89    170.96    176.23    307.35    2    171.25      1     89   0.0200     0.500     yes
  90    170.32    175.75    305.26    2    170.98      1     90   0.0200     0.500     yes
  91    170.92    176.23    307.11    2    171.21      1     91   0.0200     0.500     yes
  92    170.32    175.79    305.06    2    171.05      1     92   0.0200     0.500     yes
  93    170.92    176.28    306.99    2    171.18      1     93   0.0200     0.500     yes
  94    170.33    175.90    305.03    2    171.12      1     94   0.0200     0.500     yes
  95    170.91    176.32    307.04    2    171.17      1     95   0.0200     0.500     yes
  96    170.34    175.96    305.11    2    171.24      1     96   0.0200     0.500     yes
  97    170.89    176.32    306.93    2    171.18      1     97   0.0200     0.500     yes
  98    170.35    175.97    305.02    2    171.37      1     98   0.0200     0.500     yes
  99    170.89    176.33    306.95    2    171.13      1     99   0.0200     0.500     yes
 100    170.34    176.01    304.92    2    171.24      1    100   0.0200     0.500     yes
 101    170.87    176.38    306.78    2    171.10      1    101   0.0200     0.500     yes
 102    170.35    176.02    305.01    2    171.32      1    102   0.0200     0.500     yes
 103    170.86    176.36    306.65    2    171.08      1    103   0.0200     0.500     yes
 104    170.35    176.03    304.94    2    171.26      1    104   0.0200     0.500     yes
 105    170.87    176.36    306.64    2    171.07      1    105   0.0200     0.500     yes
 106    170.35    176.07    304.95    2    171.23      1    106   0.0200     0.500     yes
 107    170.86    176.38    306.68    2    171.06      1    107   0.0200     0.500     yes
 108    170.33    176.15    304.82    2    171.03      1    108   0.0200     0.500     yes
 109    170.85    176.41    306.58    2    171.06      1    109   0.0200     0.500     yes
 110    170.34    176.19    304.81    2    171.11      1    110   0.0200     0.500     yes
 111    170.85    176.42    306.51    2    171.04      1    111   0.0200     0.500     yes
 112    170.31    176.21    304.50    2    171.06      1    112   0.0200     0.500     yes
 113    170.84    176.46    306.15    2    171.03      1    113   0.0200     0.500     yes
 114    170.31    176.22    304.56    2    171.04      1    114   0.0200     0.500     yes
 115    170.84    176.45    305.99    2    171.04      1    115   0.0200     0.500     yes
 116    170.31    176.22    304.62    2    171.08      1    116   0.0200     0.500     yes
 117    170.83    176.39    305.72    2    171.03      1    117   0.0200     0.500     yes
 118    170.31    176.20    304.48    2    171.09      1    118   0.0200     0.500     yes
 119    170.84    176.40    305.65    2    171.04      1    119   0.0200     0.500     yes
 120    170.33    176.18    304.47    2    171.13      1    120   0.0200     0.500     yes
 121    170.84    176.35    305.67    2    171.06      1    121   0.0200     0.500     yes
 122    170.33    176.14    304.19    2    171.18      1    122   0.0200     0.500     yes
 123    170.82    176.26    305.45    2    171.04      1    123   0.0200     0.500     yes
 124    170.32    176.09    304.12    2    171.20      1    124   0.0200     0.500     yes
 125    170.81    176.18    305.37    2    171.03      1    125   0.0200     0.500     yes
 126    170.32    176.08    303.95    2    171.20      1    126   0.0200     0.500     yes
 127    170.81    176.15    305.19    2    171.03      1    127   0.0200     0.500     yes
 128    170.32    176.05    303.78    2    171.20      1    128   0.0200     0.500     yes
 129    170.80    176.09    305.00    2    171.02      1    129   0.0200     0.500     yes
 130    170.31    176.02    303.71    2    171.23      1    130   0.0200     0.500     yes
 131    170.81    176.06    304.96    2    171.03      1    131   0.0200     0.500     yes
 132    170.31    175.99    303.60    2    171.19      1    132   0.0200     0.500     yes
 133    170.79    176.00    304.82    2    171.01      1    133   0.0200     0.500     yes
 134    170.31    175.98    303.42    2    171.20      1    134   0.0200     0.500     yes
 135    170.78    175.98    304.75    2    170.99      1    135   0.0200     0.500     yes
 136    170.32    175.95    303.26    2    171.21      1    136   0.0200     0.500     yes
 137    170.78    175.95    304.66    2    170.99      1    137   0.0200     0.500     yes
 138    170.32    175.92    303.06    2    171.17      1    138   0.0200     0.500     yes
 139    170.77    175.91    304.34    2    170.98      1    139   0.0200     0.500     yes
 140    170.31    175.90    302.99    2    171.17      1    140   0.0200     0.500     yes
 141    170.78    175.89    304.03    2    170.99      1    141   0.0200     0.500     yes
 142    170.32    175.84    302.94    2    171.15      1    142   0.0200     0.500     yes
 143    170.80    175.83    304.12    2    171.03      1    143   0.0200     0.500     yes
 144    170.32    175.81    302.76    2    171.17      1    144   0.0200     0.500     yes
 145    170.80    175.81    303.86    2    171.02      1    145   0.0200     0.500     yes
 146    170.31    175.78    302.62    2    171.17      1    146   0.0200     0.500     yes
 147    170.79    175.76    303.78    2    171.01      1    147   0.0200     0.500     yes
 148    170.31    175.75    302.53    2    171.17      1    148   0.0200     0.500     yes
 149    170.78    175.70    303.66    2    171.01      1    149   0.0200     0.500     yes
 150    170.29    175.73    302.32    2    171.17      1    150   0.0200     0.500     yes
 151    170.77    175.70    303.44    2    171.00      1    151   0.0200     0.500     yes
 152    170.29    175.68    302.30    2    171.16      1    152   0.0200     0.500     yes
 153    170.77    175.66    303.40    2    170.99      1    153   0.0200     0.500     yes
 154    170.29    175.65    302.25    2    171.17      1    154   0.0200     0.500     yes
 155    170.78    175.64    303.45    2    171.02      1    155   0.0200     0.500     yes
 156    170.28    175.62    302.16    2    171.13      1    156   0.0200     0.500     yes
 157    170.77    175.59    303.51    2    171.00      1    157   0.0200     0.500     yes
 158    170.27    175.56    302.21    2    171.11      1    158   0.0200     0.500     yes
 159    170.77    175.52    303.27    2    171.00      1    159   0.0200     0.500     yes
 160    170.28    175.50    302.28    2    171.14      1    160   0.0200     0.500     yes
 161    170.77    175.47    303.27    2    171.00      1    161   0.0200     0.500     yes
 162    170.28    175.48    302.06    2    171.15      1    162   0.0200     0.500     yes
 163    170.77    175.44    303.18    2    171.00      1    163   0.0200     0.500     yes
 164    170.28    175.46    301.88    2    171.13      1    164   0.0200     0.500     yes
 165    170.77    175.41    303.11    2    170.98      1    165   0.0200     0.500     yes
 166    170.27    175.40    301.79    2    171.17      1    166   0.0200     0.500     yes
 167    170.76    175.34    302.90    2    170.98      1    167   0.0200     0.500     yes
 168    170.27    175.33    301.71    2    171.14      1    168   0.0200     0.500     yes
 169    170.75    175.28    302.84    2    170.97      1    169   0.0200     0.500     yes
 170    170.26    175.29    301.64    2    171.12      1    170   0.0200     0.500     yes
 171    170.76    175.22    302.70    2    170.98      1    171   0.0200     0.500     yes
 172    170.26    175.24    301.61    2    171.09      1    172   0.0200     0.500     yes
 173    170.75    175.17    302.60    2    170.97      1    173   0.0200     0.500     yes
 174    170.26    175.21    301.59    2    171.08      1    174   0.0200     0.500     yes
 175    170.75    175.13    302.53    2    170.98      1    175   0.0200     0.500     yes
