=== run "FINAL_lp_240x30" ===
              a: 8
              b: 1
              t: 1
              E: 10000000
             nu: 0.3000
           rhom: 1
           nelx: 240
           nely: 30
             bc: 'a'
        support: 'mid'
          axial: 'both'
       elemType: 'Q4'
       massType: 'consistent'
              p: 3
     massInterp: '4'
         rhomin: 1.0000e-03
           rho0: 0.5000
        volfrac: 0.5000
              n: 1
           Nmax: 4
         rminEl: 3
       rminPhys: 0.0600
        tolMult: 0.0500
           move: 0.0050
        offDiag: 0
    innerSolver: 'lp'
     filterMode: 'diag'
       maxInner: 300
       tolInner: 0.0100
       minInner: 5
       maxOuter: 1600
       tolOuter: 1.0000e-03
         solver: 'eigs'
        threads: 1
        verbose: 1
           name: 'FINAL_lp_240x30'

  it    omega1    omega2    omega3    N sqrt(beta)  inner  cumIn  maxdrho       vol    conv
   1     68.32    252.59    406.66    1     69.07      1      1   0.0050     0.500     yes
   2     69.09    254.92    407.94    1     69.84      1      2   0.0050     0.500     yes
   3     69.85    257.22    408.95    1     70.61      1      3   0.0050     0.500     yes
   4     70.62    259.50    409.93    1     71.38      1      4   0.0050     0.500     yes
   5     71.39    261.75    410.76    1     72.15      1      5   0.0050     0.500     yes
   6     72.17    263.98    411.54    1     72.92      1      6   0.0050     0.500     yes
   7     72.94    266.17    412.25    1     73.69      1      7   0.0050     0.500     yes
   8     73.71    268.34    412.73    1     74.47      1      8   0.0050     0.500     yes
   9     74.48    270.48    413.22    1     75.24      1      9   0.0050     0.500     yes
  10     75.25    272.60    413.75    1     76.01      1     10   0.0050     0.500     yes
  11     76.02    274.71    414.40    1     76.78      1     11   0.0050     0.500     yes
  12     76.79    276.80    415.24    1     77.55      1     12   0.0050     0.500     yes
  13     77.56    278.87    416.31    1     78.32      1     13   0.0050     0.500     yes
  14     78.33    280.93    417.54    1     79.09      1     14   0.0050     0.500     yes
  15     79.10    282.98    419.22    1     79.85      1     15   0.0050     0.500     yes
  16     79.87    285.00    421.09    1     80.62      1     16   0.0050     0.500     yes
  17     80.64    286.99    423.15    1     81.39      1     17   0.0050     0.500     yes
  18     81.41    288.93    425.28    1     82.16      1     18   0.0050     0.500     yes
  19     82.17    290.82    427.50    1     82.93      1     19   0.0050     0.500     yes
  20     82.94    292.66    429.89    1     83.69      1     20   0.0050     0.500     yes
  21     83.71    294.46    432.43    1     84.46      1     21   0.0050     0.500     yes
