metric,control_final_outer386,control_matched_outer14,treatment_exactSOCP_outer14_terminated,treatment_over_control_final,treatment_over_control_matched
omega1,163.93225938567002,133.43279091898503,148.02874209264877,0.9029872622227066,1.109388037776455
omega2,185.21032464590309,174.61632845047419,150.14759330564755,0.8106869505936524,0.8598714372134642
gap12,0.12979791372346,0.30864630236576646,0.01431378246579048,0.11027744634082952,0.04637600501310297
gap23_next_mode,1.1672629226489644,1.7987029277381232,1.180007064379582,1.0109179701362365,0.6560322142041799
volume,0.4999984544949872,0.4998494649342235,0.5000000000000053,1.0000030910195907,1.000301160802086
outer_iterations_accepted,386,14,14,0.03626943005181347,1.0
Mnd_percent,26.34156302529313,71.84421714096,48.12729348219375,1.8270477509623098,0.6698840268210717
gray_fraction,0.28729166666666667,0.7990277777777778,0.5451388888888888,1.8975102731447908,0.6822527377020684
mid_fraction,0.11861111111111111,0.3497222222222222,0.3073263888888889,2.591042154566745,0.8787728355837967
broad_core_fraction,0.1301388888888889,0.7016666666666667,0.3625,2.7854855923159016,0.516627078384798
broad_core_area,1.041111111111111,5.613333333333333,2.9,2.7854855923159016,0.516627078384798
gray_area,2.2983333333333333,6.392222222222222,4.361111111111111,1.8975102731447908,0.6822527377020684
max_depth,0.36666666666666664,0.6718548123582124,0.4,1.090909090909091,0.5953667260282006
max_depth_over_R,6.111111111111111,11.197580205970208,6.666666666666667,1.090909090909091,0.5953667260282006
gray_components_4,7,1,1,0.14285714285714285,1.0
gray_components_8,7,1,1,0.14285714285714285,1.0
largest_gray_component_area,0.7944444444444444,6.392222222222222,4.361111111111111,5.489510489510489,0.6822527377020684
rho_lt_001,0.32708333333333334,0.0,0.15819444444444444,0.48365180467091295,
rho_gt_099,0.3368055555555556,0.08472222222222223,0.22527777777777777,0.6688659793814432,2.6590163934426227
realization_median_r_all_steps,0.7111993562292245,,1.0330596278856246,1.4525598467396001,
realization_frac_act_negative_all_steps,0.0,,0.0,,
realization_cum_ratio_all_steps,0.980545678620919,,1.0409358113327296,1.0615882911204564,
realization_frac_cos_lt_m0p5_all_steps,0.0,,0.0,,
realization_frac_lam1_decrease_all_steps,0.046632124352331605,,0.0,0.0,
