outer,Mnd_percent,gray_fraction,mid_fraction,broad_core_fraction
1.000000000000000000e+00,9.974719156651696039e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,9.901769251766464208e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,9.782663237823754798e+01,1.000000000000000000e+00,7.411111111111111649e-01,1.000000000000000000e+00
4.000000000000000000e+00,9.624094613569366174e+01,1.000000000000000000e+00,6.277777777777777679e-01,1.000000000000000000e+00
5.000000000000000000e+00,9.426730854849118657e+01,1.000000000000000000e+00,5.534722222222222543e-01,1.000000000000000000e+00
6.000000000000000000e+00,9.201688291973769651e+01,1.000000000000000000e+00,4.934722222222222010e-01,1.000000000000000000e+00
7.000000000000000000e+00,8.957738458216070399e+01,1.000000000000000000e+00,4.488888888888888928e-01,1.000000000000000000e+00
8.000000000000000000e+00,8.694417943076453525e+01,1.000000000000000000e+00,4.209722222222222476e-01,1.000000000000000000e+00
9.000000000000000000e+00,8.428621362344564716e+01,1.000000000000000000e+00,3.948611111111111072e-01,1.000000000000000000e+00
1.000000000000000000e+01,8.167057696829547808e+01,1.000000000000000000e+00,3.765277777777777946e-01,1.000000000000000000e+00
1.100000000000000000e+01,7.900644837583882918e+01,8.969444444444444331e-01,3.709722222222222032e-01,8.245833333333333348e-01
1.200000000000000000e+01,7.628207269318345141e+01,8.504166666666667096e-01,3.576388888888888951e-01,7.644444444444444819e-01
1.300000000000000000e+01,7.373789395689483683e+01,8.216666666666666563e-01,3.490277777777777701e-01,7.291666666666666297e-01
1.400000000000000000e+01,7.184421714095999789e+01,7.990277777777777812e-01,3.497222222222222121e-01,7.016666666666666607e-01
1.500000000000000000e+01,7.025914231399683274e+01,7.808333333333333792e-01,3.452777777777777946e-01,6.797222222222222276e-01
1.600000000000000000e+01,6.885172287032212068e+01,7.600000000000000089e-01,3.443055555555555314e-01,6.552777777777777368e-01
1.700000000000000000e+01,6.757448485856318143e+01,7.438888888888889328e-01,3.455555555555555602e-01,6.365277777777778034e-01
1.800000000000000000e+01,6.646570731446134062e+01,7.320833333333333082e-01,3.466666666666666785e-01,6.227777777777777635e-01
1.900000000000000000e+01,6.539060937700709530e+01,7.191666666666666208e-01,3.470833333333333548e-01,6.077777777777777501e-01
2.000000000000000000e+01,6.438826807640799643e+01,7.098611111111111649e-01,3.456944444444444708e-01,5.970833333333332993e-01
2.100000000000000000e+01,6.355898161343617403e+01,6.958333333333333037e-01,3.412499999999999978e-01,5.806944444444444020e-01
2.200000000000000000e+01,6.292244444533642422e+01,6.903472222222222232e-01,3.315972222222222099e-01,5.759722222222222188e-01
2.300000000000000000e+01,6.229368285430283692e+01,6.820138888888889195e-01,3.238888888888888928e-01,5.709722222222222143e-01
2.400000000000000000e+01,6.185627617322167993e+01,6.780555555555555225e-01,3.186805555555555780e-01,5.677083333333333703e-01
2.500000000000000000e+01,6.140518523242381832e+01,6.743055555555556024e-01,3.145833333333333259e-01,5.648611111111111471e-01
2.600000000000000000e+01,6.098096635100326068e+01,6.689583333333333215e-01,3.111111111111111160e-01,5.622916666666666341e-01
2.700000000000000000e+01,6.054292288542944078e+01,6.654166666666666563e-01,3.084722222222222032e-01,5.591666666666667007e-01
2.800000000000000000e+01,6.016086200113394256e+01,6.623611111111110672e-01,3.059027777777778012e-01,5.570138888888889195e-01
2.900000000000000000e+01,5.971193145336491881e+01,6.570833333333333526e-01,3.013888888888888729e-01,5.542361111111111516e-01
3.000000000000000000e+01,5.933252262499693330e+01,6.502777777777777324e-01,2.976388888888888973e-01,5.429166666666667140e-01
3.100000000000000000e+01,5.889867150398688977e+01,6.437500000000000444e-01,2.938888888888888662e-01,5.354861111111111072e-01
3.200000000000000000e+01,5.854697036747834460e+01,6.395138888888889372e-01,2.935416666666666452e-01,5.309027777777777235e-01
3.300000000000000000e+01,5.824745938615399865e+01,6.361805555555555269e-01,2.923611111111111271e-01,5.280555555555555003e-01
3.400000000000000000e+01,5.789049241727746420e+01,6.318055555555555092e-01,2.911111111111110983e-01,5.236805555555555935e-01
3.500000000000000000e+01,5.758679575269378859e+01,6.286805555555555758e-01,2.911805555555555536e-01,5.211111111111110805e-01
3.600000000000000000e+01,5.722513851799908480e+01,6.249305555555555447e-01,2.893749999999999933e-01,5.170833333333333393e-01
3.700000000000000000e+01,5.689804612396820716e+01,6.206249999999999822e-01,2.883333333333333304e-01,5.124305555555555003e-01
3.800000000000000000e+01,5.661572603175456209e+01,6.168055555555556069e-01,2.879166666666666541e-01,5.093055555555555669e-01
3.900000000000000000e+01,5.633662721027865672e+01,6.118749999999999467e-01,2.875694444444444331e-01,5.051388888888889150e-01
4.000000000000000000e+01,5.602672904324732883e+01,6.085416666666666474e-01,2.861111111111110938e-01,5.024999999999999467e-01
4.100000000000000000e+01,5.578264029966108239e+01,6.065277777777777768e-01,2.861111111111110938e-01,5.002777777777778212e-01
4.200000000000000000e+01,5.547696176777968446e+01,6.040972222222221744e-01,2.855555555555555625e-01,4.971527777777777768e-01
4.300000000000000000e+01,5.527222640506466433e+01,6.010416666666666963e-01,2.852777777777777968e-01,4.938888888888888773e-01
4.400000000000000000e+01,5.503959188392715163e+01,5.993055555555555358e-01,2.841666666666666785e-01,4.924305555555555380e-01
4.500000000000000000e+01,5.473221720831062953e+01,5.960416666666666918e-01,2.825694444444444287e-01,4.885416666666666519e-01
4.600000000000000000e+01,5.445071277722306746e+01,5.934027777777777235e-01,2.820833333333333526e-01,4.854166666666666630e-01
4.700000000000000000e+01,5.427202457550210823e+01,5.918750000000000400e-01,2.817361111111111316e-01,4.836111111111111027e-01
4.800000000000000000e+01,5.406101419821142429e+01,5.893749999999999822e-01,2.817361111111111316e-01,4.812500000000000111e-01
4.900000000000000000e+01,5.385864747947714193e+01,5.877777777777777324e-01,2.818055555555555314e-01,4.793055555555555403e-01
5.000000000000000000e+01,5.363837968507196763e+01,5.858333333333333171e-01,2.809027777777777790e-01,4.765277777777777724e-01
5.100000000000000000e+01,5.342476733374729037e+01,5.838194444444444464e-01,2.811805555555555447e-01,4.743055555555555358e-01
5.200000000000000000e+01,5.323879801709300352e+01,5.818750000000000311e-01,2.815277777777777657e-01,4.724999999999999756e-01
5.300000000000000000e+01,5.303448554785541091e+01,5.797222222222222499e-01,2.818055555555555314e-01,4.689583333333333104e-01
5.400000000000000000e+01,5.283751019800420323e+01,5.779861111111110894e-01,2.815972222222222210e-01,4.670833333333333504e-01
5.500000000000000000e+01,5.264459006293748189e+01,5.765277777777777501e-01,2.818749999999999867e-01,4.651388888888888795e-01
5.600000000000000000e+01,5.237639507747985590e+01,5.736111111111110716e-01,2.815972222222222210e-01,4.616666666666666696e-01
5.700000000000000000e+01,5.212622564461495500e+01,5.710416666666666696e-01,2.820833333333333526e-01,4.579166666666666941e-01
5.800000000000000000e+01,5.188707233036501520e+01,5.688194444444444331e-01,2.823611111111111183e-01,4.545138888888888840e-01
5.900000000000000000e+01,5.171684201269920322e+01,5.670833333333333837e-01,2.828472222222222499e-01,4.521527777777777923e-01
6.000000000000000000e+01,5.155130619325923647e+01,5.651388888888888573e-01,2.834027777777777812e-01,4.489583333333333481e-01
6.100000000000000000e+01,5.129903507069754198e+01,5.624305555555555447e-01,2.843055555555555336e-01,4.450000000000000067e-01
6.200000000000000000e+01,5.106495261194297086e+01,5.593749999999999556e-01,2.849305555555555758e-01,4.396527777777777812e-01
