outer,move,stage,omega1,omega2,omega3,lam1,beta,pred,act,nInner,vol,multJ,frac_lower_density,frac_lower_move,frac_upper_move,frac_upper_density,frac_interior,frac_any_bound,frac_pm_move,frac_density_limited,gray_n,gray_full_move_frac,max_abs_drho,norm2_drho,Mnd_percent,gray_fraction,mid_fraction,broad_core_fraction,exA,exB,exNA,exNB,exAmp,exCos,exNet,exMedcos,exMednet,exDecl,tEig,tGrad,tInner,tOuter,void_n,void_pm_move_frac,shell_n,shell_pm_move_frac,core_n,core_pm_move_frac,solid_n,solid_pm_move_frac,cos_prev,sum_norm,sum_norm_ratio,sign_reversal_frac,void_sign_reversal_frac,shell_sign_reversal_frac,core_sign_reversal_frac,solid_sign_reversal_frac,recurrence,eligible,r,model_err_abs,model_err_rel,sign_agree,cum_pred,cum_act_eligible,cum_act_all
1.0,0.04,1.0,68.21560761702113,251.35772414293928,385.3906171064377,4653.369122559392,5478.075192108688,824.7060695492955,872.9013106241073,28.0,0.5000000000000088,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,28800.0,1.0,0.03999999999997784,6.788225098263041,99.36000000021266,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.788225098263022,nan,nan,nan,nan,0.0,0.5118125,0.012641,44.562555208333336,45.097420416666665,0.0,nan,0.0,nan,28800.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,1.0584392947430963,48.19524107481175,0.05843929474309629,1.0,824.7060695492955,872.9013106241073,872.9013106241073
2.0,0.04,1.0,74.33888910377595,268.94687949906967,394.1700007968453,5526.270433183499,6425.034040809527,898.7636076260278,942.0621752129464,23.0,0.5000000000000493,0.0,0.0,0.49972222222222223,0.49972222222222223,0.0,0.0005555555555555556,0.9994444444444445,0.9994444444444445,0.0,28800.0,0.9994444444444445,0.03999999999921678,6.788224990381715,97.64195557342984,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.7882249903817184,0.8422222381474544,nan,nan,nan,0.0,0.2928060416666667,0.009151958333333333,35.959816833333335,36.266257833333334,0.0,nan,0.0,nan,28800.0,0.9994444444444445,0.0,nan,0.8422222381474537,13.029934716377198,0.9597453407408275,0.07888888888888888,nan,nan,0.07888888888888888,nan,1.9194906967343306,1.0,1.048175701841429,43.29856758691858,0.048175701841428976,1.0,1723.4696771753233,1814.9634858370537,1814.9634858370537
3.0,0.04,1.0,80.4259448710206,284.7961750091886,401.0622639808685,6468.332608396446,7429.1600400037105,960.8274316072648,994.6489202416196,23.0,0.5000000000075192,0.0,0.0,0.4698611111111111,0.47194444444444444,0.0,0.058194444444444444,0.9418055555555556,0.9418055555555556,0.0,28800.0,0.9418055555555556,0.039999999896530976,6.788219077712945,95.10400086574153,1.0,0.16875,1.0,0.0,0.0,0.0,0.0,6.788219077712936,0.7677785625405129,nan,nan,nan,0.0,0.2918552916666667,0.00889825,36.368858833333334,36.67430816666667,0.0,nan,0.0,nan,28800.0,0.9418055555555556,0.0,nan,0.7677785625405131,12.76394630145062,0.9401538604240671,0.11611111111111111,nan,nan,0.11611111111111111,nan,1.8803085397401451,1.0,1.0352003778428542,33.821488634354864,0.035200377842854194,1.0,2684.297108782588,2809.6124060786733,2809.6124060786733
4.0,0.04,1.0,86.38854975422417,298.4472522902252,414.1004810161997,7462.981528638065,8470.233049950482,1007.251521312417,1038.3946081430659,22.0,0.5000000000000387,0.0,0.0,0.4998611111111111,0.4998611111111111,0.0,0.0002777777777777778,0.9997222222222222,0.9997222222222222,0.0,28800.0,0.9997222222222222,0.03999999999939954,6.788225060548659,92.30720028793502,1.0,0.30375,1.0,0.0,0.0,0.0,0.0,6.788225060548664,0.5916676496447042,nan,nan,nan,0.0,0.28178433333333336,0.0088025,34.81342095833333,35.10636266666667,0.0,nan,23940.0,0.9998329156223893,4860.0,0.9991769547325103,0.0,nan,0.5916676496447042,12.11148048870663,0.892095188207171,0.20416666666666666,nan,0.162406015037594,0.40987654320987654,nan,1.784189590161837,1.0,1.030918877928395,31.143086830648826,0.03091887792839505,1.0,3691.548630095005,3848.007014221739,3848.007014221739
5.0,0.04,1.0,92.20290742043404,307.9208294076066,433.0661016748743,8501.376136781131,9556.534194181162,1055.1580574000309,1080.0546926364386,48.0,0.5000000000000692,0.0,0.0,0.49972222222222223,0.49972222222222223,0.0,0.0005555555555555556,0.9994444444444445,0.9994444444444445,0.0,28800.0,0.9994444444444445,0.039999999998820986,6.78822501667988,88.69902232411604,1.0,0.1502777777777778,1.0,0.0,0.0,0.0,0.0,6.788225016679887,0.5722222346155881,nan,nan,nan,0.0,0.285222625,0.008998708333333333,69.20986870833333,69.506238625,0.0,nan,20052.0,0.9992020746060243,8748.0,1.0,0.0,nan,0.5722222346155896,12.037275378905163,0.8866290753792113,0.21388888888888888,nan,0.11490125673249552,0.4407864654778235,nan,1.7732581564882464,1.0,1.023595171417024,24.896635236407747,0.02359517141702397,1.0,4746.706687495036,4928.061706858178,4928.061706858178
6.0,0.04,1.0,97.88478344164413,310.6649973027574,451.1003425635301,9581.43082941757,10677.960080336994,1096.5292509194242,1110.943028686932,26.0,0.5000000000000561,0.0,0.0,0.49972222222222223,0.49972222222222223,0.0,0.0005555555555555556,0.9994444444444445,0.9994444444444445,0.0,28800.0,0.9994444444444445,0.03999999999889187,6.788225039388883,84.91520002141345,1.0,0.27458333333333335,1.0,0.0,0.0,0.0,0.0,6.788225039388883,0.5888889063858885,nan,nan,nan,0.0,0.26897,0.008782708333333333,40.17523883333333,40.456281875,0.0,nan,24472.0,0.9996730957829356,4328.0,0.9981515711645101,0.0,nan,0.5888889063858899,12.100908996186828,0.8913161353823594,0.20555555555555555,nan,0.19189277541680289,0.2828096118299446,nan,1.782632267782952,1.0,1.013144909500063,14.413777767507781,0.01314490950006307,1.0,5843.23593841446,6039.00473554511,6039.00473554511
7.0,0.04,1.0,103.40393540917339,303.5599049797694,470.40200787491284,10692.373858104502,11833.107369002633,1140.7335108981315,1160.5484462159238,21.0,0.49999999999249856,0.0,0.0,0.49972222222222223,0.4998611111111111,0.0,0.0004166666666666667,0.9995833333333334,0.9995833333333334,0.0,28800.0,0.9995833333333334,0.03999999999868551,6.788225016276372,80.7089776180669,1.0,0.11791666666666667,1.0,0.0,0.0,0.0,0.0,6.788225016276371,0.5411111208738641,nan,nan,nan,0.0,0.27805929166666665,0.008798125,32.946856875,33.235846583333334,0.0,nan,20892.0,0.9996170783074861,7908.0,0.9994941831057157,0.0,nan,0.5411111208738646,11.917583559821834,0.8778129415979989,0.22944444444444445,nan,0.1504882251579552,0.438037430450177,nan,1.7556258861847698,1.0,1.017370345596485,19.814935317792333,0.01737034559648509,1.0,6983.969449312592,7199.553181761034,7199.553181761034
8.0,0.04,1.0,108.8711270462487,283.0275598396638,487.74927869417564,11852.922304320426,13043.703873530438,1190.781569210012,1205.9374223482773,23.0,0.5000000000123989,1.0,0.0,0.49944444444444447,0.49944444444444447,0.0,0.0011111111111111111,0.9988888888888889,0.9988888888888889,0.0,28800.0,0.9988888888888889,0.03999999999893183,6.788225013314198,76.2958221484747,1.0,0.2423611111111111,1.0,0.0,0.0,0.0,0.0,6.788225013314199,0.5294444630123704,nan,nan,nan,0.0,0.334864375,0.008827583333333333,35.93768145833333,36.28359066666667,0.0,nan,25404.0,0.9987403558494725,3396.0,1.0,0.0,nan,0.5294444630123708,11.872388057929328,0.8744839801312455,0.23527777777777778,nan,0.22468902535033852,0.31448763250883394,nan,1.7489679606440889,1.0,1.0127276517626318,15.155853138265229,0.012727651762631765,1.0,8174.751018522604,8405.49060410931,8405.49060410931
9.0,0.04,1.0,114.27536797870617,251.84152178026986,468.0873088516109,13058.859726668703,14347.293646091897,1288.4339194231943,1348.8600041445516,22.0,0.5000000000001319,0.0,0.0,0.5,0.4998611111111111,0.0,0.0001388888888888889,0.9998611111111111,0.9998611111111111,0.0,28800.0,0.9998611111111111,0.03999999999984361,6.788225088487915,71.63164442843272,1.0,0.12277777777777778,1.0,0.0,0.0,0.0,0.0,6.788225088487916,0.4838888994621546,nan,nan,nan,0.0,0.3265748333333333,0.009672416666666666,34.627139625,34.965503875,0.0,nan,21820.0,0.9998166819431714,6980.0,1.0,0.0,nan,0.4838888994621551,11.694237855486204,0.8613619736969337,0.25805555555555554,nan,0.19450045829514206,0.45673352435530085,nan,1.7227239378550285,1.0,1.0468988621072695,60.426084721357256,0.04689886210726957,1.0,9463.184937945798,9754.350608253862,9754.350608253862
10.0,0.04,1.0,120.03216123528416,213.1660419601401,447.9582240355174,14407.719730813255,15825.283959110126,1417.564228296871,1489.5020021532455,23.0,0.5000000000036077,0.0,0.0,0.4998611111111111,0.5,0.0,0.0001388888888888889,0.9998611111111111,0.9998611111111111,0.0,28800.0,0.9998611111111111,0.03999999999996282,6.788225090952434,66.41635563484694,1.0,0.24972222222222223,1.0,0.0,0.0,0.0,0.0,6.788225090952443,0.49833333511424405,0.7243925342849328,nan,nan,0.0,0.33318508333333335,0.012272083333333333,37.3602305,37.70789529166667,0.0,nan,25264.0,0.9998416719442685,3536.0,1.0,0.0,nan,0.49833333511424505,11.75101696750907,0.8655441453543102,0.25083333333333335,nan,0.2286257124762508,0.4095022624434389,nan,1.7310882903943776,1.0,1.050747452863426,71.9377738563744,0.050747452863426065,1.0,10880.74916624267,11243.852610407108,11243.852610407108
11.0,0.04,1.0,126.0841851025199,177.40713637773158,433.98213016105433,15897.2217329665,17530.829669920477,1633.6079369539766,2142.6332957200466,23.0,0.49999999999828276,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,28800.0,1.0,0.04,6.7882250973525515,60.654222264322435,0.6033333333333334,0.14333333333333334,0.4525,0.0,0.0,0.0,0.0,6.788225097352551,0.44388889017622224,0.7210332760039102,nan,nan,0.0,0.3286231666666667,0.013258625,36.00863641666667,36.35422320833333,0.0,nan,21608.0,1.0,7192.0,1.0,0.0,nan,0.4438888901762229,11.535545063553213,0.8496731401475,0.27805555555555556,nan,0.17956312476860423,0.5739710789766407,nan,1.6993462794939054,1.0,1.311595791898023,509.02535876607,0.311595791898023,1.0,12514.357103196646,13386.485906127155,13386.485906127155
12.0,0.04,1.0,134.31252744508438,156.0878028945841,402.1842863967072,18039.855028686547,20037.64294759936,1997.7879189128143,1792.80232527095,32.0,0.4999999999982847,0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,17376.0,1.0,0.04,6.7882250993799715,54.05937802235219,0.6025,0.28833333333333333,0.44027777777777777,0.0,0.0,0.0,0.0,6.78822509937997,0.47444444457667984,0.7280644674089555,nan,nan,0.0,0.279841,0.016384291666666665,49.236316333333335,49.53499875,4608.0,1.0,13248.0,1.0,4128.0,1.0,6816.0,1.0,0.47444444457667995,11.656963582818944,0.8586164581979209,0.2627777777777778,0.0,0.4305555555555556,0.4127906976744186,0.023474178403755867,1.7172329161394009,1.0,0.8973937164694556,-204.9855936418644,-0.10260628353054436,1.0,14512.14502210946,15179.288231398104,15179.288231398104
13.0,0.04,1.0,140.82846783927423,150.45274992369318,327.84686270340467,19832.657353957497,21133.196148991545,1300.5387950340482,1376.035675515086,23.0,0.5000000000000016,0.0,0.16,0.3254166666666667,0.2881944444444444,0.22625,0.0001388888888888889,0.9998611111111111,0.6136111111111111,0.38625,17352.0,0.9997694790225911,0.03999999999997703,5.705126484914895,49.85602679638691,0.5515277777777777,0.1926388888888889,0.3684722222222222,0.0,0.0,0.0,0.0,5.705126484914893,0.3376189808087792,0.7240827727782956,nan,nan,0.0,0.33811033333333335,0.020148,54.515451,54.877431,4732.0,0.026204564666103127,9048.0,1.0,8304.0,0.9995183044315993,6716.0,0.029779630732578916,0.33761898080877917,10.236155030127195,0.819328181157957,0.25958333333333333,0.0,0.38152077807250223,0.46772639691714835,0.02084574151280524,1.7942029957079717,1.0,1.0580504639840915,75.4968804810378,0.05805046398409153,1.0,15812.683817143508,16555.32390691319,16555.32390691319
14.0,0.04,1.0,145.6320467118161,151.05957984093706,326.0901933889114,21208.693029472583,21976.416164488142,767.7231350155598,703.815456059343,23.0,0.5000000000000053,0.0,0.15819444444444444,0.3082638888888889,0.3082638888888889,0.22527777777777777,0.0,1.0,0.6165277777777778,0.3834722222222222,15884.0,1.0,0.04,5.330065665613552,48.12729348219375,0.5451388888888888,0.3073263888888889,0.3625,0.0,0.0,0.0,0.0,5.330065665613561,0.21691158408743694,0.7052714311254396,nan,nan,0.0,0.5787510833333334,0.04281133333333333,53.83491108333333,54.461416791666664,5644.0,0.1927710843373494,10336.0,1.0,5548.0,1.0,7272.0,0.1078107810781078,0.21691158408743735,8.611043273613879,0.7803256305964295,0.3851092588420815,0.06985294117647059,0.44040247678018574,0.3795962509012257,0.1326530612244898,1.6155604478134786,1.0,0.9167568671029803,-63.90767895621684,-0.08324313289701969,1.0,16580.406952159068,17259.13936297253,17259.13936297253
