outer,accepted,acceptedAttempt,exitflag1,iters1,tSolve1,tCert1,exitflag2,iters2,tSolve2,tCert2,move,lam1,lam2,lamJ,dOff2,lamref,bs,beta,predGain,dlam1,dlam2,fJJdrho,predLam1,predLam2,predLamJ,maxAbsDrho,norm2Drho,sumDrho,nLowerDensity,nLowerMove,nUpperMove,nUpperDensity,nInterior,nGray,nGrayFullMove,primalResidual,gap,dualBound,bestGap,rowComp,boxComp,bsStat,statRms,statMax,mu,nu1,nu2,sRow0,coneNorm,separationPred,apex,rawBoxViolation,gapSolverDuals,gapComplementarySlackness,gapDualboundGeneral,gapDualboundAligned,candidateIndex,tEligibility,tAssembly,tSolve,tCertificate,tTotal,cross_d2,cross_dinf,cross_dbs,cross_sign,cross_bound,cross_tSolve,cross_nDiffGt0p1Move,cross_certified,cross_bestGap,cross_iterations,cross_tCertificate,eqZero_cone_err,eqAcc_cone_err,eqAcc_grad_relerr,eqAcc_redundancy,eqAcc_row_nextmode_err,eqAcc_row_volume_err
1,1,1,-7,28,39.1529975416667,0.778610208333333,NaN,NaN,NaN,NaN,0.04,4653.36912255939,63180.705486318,148525.927753681,58527.3363637586,4653.36912255939,1.17722773496544,5478.07519210869,824.706069549296,824.706069545794,9233.40689551054,8265.25298781434,5478.07519210519,72414.1123818285,156791.180741495,0.0399999999999778,6.78822509826302,1.34352529101989e-11,0,14400,14400,0,0,28800,28800,7.52731210695856e-13,1.04716235682645e-12,-1.17722773496648,1.04716235682645e-12,7.52731210695856e-13,1.08633950404533e-11,0,0,0,1,0,0.526918062404021,0.000271091302907595,7.19221229036178,66936.0371897233,0,0,0.0350191705106602,0.0113576803072126,1.04716235682645e-12,1.04716235682645e-12,3,0.001781,0.246799916666667,39.1529975416667,0.778610208333333,44.556525,2.10689350899838e-06,0.000142881213328894,4.62205829165896e-10,1,0.998472222222222,2.8496995,0,1,4.63252991522722e-10,29,0.526929875,0,4.44089209850063e-16,1.04083408558608e-17,-14.3844245807236,0,1.65880750734577e-14
2,1,1,-7,23,32.3866672916667,0.545117208333333,NaN,NaN,NaN,NaN,0.04,5526.2704331835,72332.4239922871,155369.989528185,66806.1535591036,5526.2704331835,1.16263474951013,6425.03404080953,898.763607626028,898.763607625416,9116.05815544732,5934.33874012202,6425.03404080892,81448.4821477344,161304.328268307,0.0399999999992168,6.78822499038172,1.40930289660446e-09,0,14392,14392,0,16,28800,28784,1.10800257857591e-13,5.33799671131874e-11,-1.16263474956351,5.3378190756348e-11,1.10800257857591e-13,2.00446795367865e-10,4.44089209850063e-16,0,0,1,0,0.622459550213462,0.000250038379798845,6.78789149155944,75023.4481069255,0,0,0.00298768166859675,5.33799671131874e-11,5.3378190756348e-11,5.3378190756348e-11,2,0.000682625,0.00157616666666667,32.3866672916667,0.545117208333333,35.9587402916667,1.23830263033328e-06,7.87974224703003e-05,4.97328844772937e-11,1,0.999861033907727,2.44763925,0,1,1.03111075233642e-10,24,0.567008791666667,0,1.11022302462516e-15,7.80625564189563e-18,-13.5757829831189,3.5527136788005e-15,1.68686268416173e-14
3,1,1,-7,23,32.2916091666667,0.541188666666667,NaN,NaN,NaN,NaN,0.04,6468.33260839645,81108.8612998644,160850.93958946,74640.5286914679,6468.33260839645,1.1485432938869,7429.16004000371,960.827431607265,960.827431686494,8635.35172830422,9083.99452248322,7429.16004008294,89744.2130281686,169934.934111943,0.039999999896531,6.78821907771294,2.15120935287416e-07,0,13532,13592,0,1676,28800,27124,1.50383685751068e-11,6.15150863580993e-09,-1.14854330003841,6.15150863580993e-09,1.22488685860844e-11,4.75402196387858e-08,0,0,0,1,0,0.725654262677843,0.000230774553595083,6.36292673642305,82315.0529880856,0,0,5.47970332482883e-05,2.25038565559998e-08,6.15150863580993e-09,6.15150863580993e-09,3,0.00053475,0.00127583333333333,32.2916091666667,0.541188666666667,36.3682185833333,1.06531581211969e-05,0.000606514193546986,6.09427708297972e-09,1,1,2.945022625,0,1,5.7231552830217e-11,30,0.578316375,0,3.5527136788005e-15,9.75781955236954e-18,-12.7258534728461,0,8.90301167087403e-16
4,1,1,-7,22,31.0587080416667,0.62722,NaN,NaN,NaN,NaN,0.04,7462.98152863806,89070.7623995853,171479.208377848,81607.7808709473,7462.98152863806,1.13496636933205,8470.23304995048,1007.25152131242,1007.25152131256,6913.38891675667,14950.1081979522,8470.23304995062,95984.151316342,186429.3165758,0.0399999999993995,6.78822506054866,-2.15403893832899e-07,0,14396,14396,0,8,28800,28792,7.7559687067858e-14,3.13076231606146e-11,-1.13496636936336,3.13076231606146e-11,7.01796786775652e-14,1.326777516169e-10,4.44089209850063e-16,0,0,1,0,0.904847367630094,0.000213514843197854,5.86320078179009,87513.9182663914,0,0,0.00194165718270445,1.22138635305635e-05,3.13076231606146e-11,3.13076231606146e-11,3,0.000538958333333333,0.00127170833333333,31.0587080416667,0.62722,34.812831,9.72006903029373e-06,0.000602333802489537,2.92132762425013e-09,1,0.968463462072798,2.52641129166667,0,1,2.95263524741074e-09,24,0.588288583333333,0,1.99840144432528e-15,6.93889390390723e-18,-11.7264015635802,0,2.19793222973925e-15
5,1,2,-7,23,32.50922275,0.560255208333333,-7,25,2.499250625,0.566276458333333,0.04,8501.37613678113,94815.2371830684,187546.248419873,86313.8610462872,8501.37613678113,1.12411614783575,9556.53419418116,1055.15805740003,1055.15805740126,3783.90636868382,14931.5010825939,9556.53419418239,98599.1435517522,202477.749502466,0.039999999998821,6.78822501667989,8.41513525529081e-10,0,14392,14392,0,16,28800,28784,1.38318985894633e-13,5.33004751446242e-11,-1.12411614788905,5.33004751446242e-11,1.44551037806195e-13,2.71700978935453e-10,4.44089209850063e-16,0,0,1,0,0.968786104577749,0.000199657522899374,5.23695269594811,89042.6093575698,0,0,0.751673496063682,1.93107043311436e-05,5.33004751446242e-11,5.33004751446242e-11,3,0.000612791666666667,0.00143691666666667,35.008473375,1.12653166666667,69.2092220833333,7.54150218810922e-05,0.00340885399972082,6.89652934759977e-08,1,0.598943857698721,32.5042705416667,0,0,6.90185939511423e-08,23,0.554798375,0,5.10702591327572e-15,5.20417042793042e-18,-10.4739053918962,3.5527136788005e-15,2.31665465649632e-15
6,1,1,-7,26,36.521005875,0.564761916666667,NaN,NaN,NaN,NaN,0.04,9581.43082941757,96512.7405491223,203491.519060934,86931.3097197047,9581.43082941757,1.11444316307673,10677.960080337,1096.52925091942,1096.52925092093,-1267.48853509792,16717.0008627044,10677.9600803385,95245.2520140244,220208.519923639,0.0399999999988919,6.78822503938888,-3.90748766676552e-10,0,14392,14392,0,16,28800,28784,1.12171013218661e-13,4.39945857522162e-11,-1.11444316312072,4.39901448601177e-11,1.56763491077072e-13,2.16191404478623e-10,1.11022302462516e-15,0,0,0.999999999999999,0,1.0797226230016,0.000188415312545778,4.41308263031245,84567.2919336859,0,0,0.169597491080036,4.39945857522162e-11,4.39901448601177e-11,4.39901448601177e-11,2,0.000540875,0.001277125,36.521005875,0.564761916666667,40.17466125,1.56710700201217e-07,9.17655100813458e-06,4.32409663631006e-11,1,1,2.52427370833333,0,1,7.49178497017056e-13,25,0.553710583333333,0,2.22044604925031e-15,2.49366499671666e-18,-8.82616526062491,1.06581410364015e-14,9.84728791564319e-16
7,1,1,-7,21,29.6358855416667,0.539420375,NaN,NaN,NaN,NaN,0.04,10692.3738581045,92148.6159113266,221278.04901275,81456.2420532221,10692.3738581045,1.10668664657975,11833.1073690026,1140.73351089813,1140.73351071164,-8638.53763352364,15682.662073648,11833.1073688161,83510.078277803,236960.711086398,0.0399999999986855,6.78822501627637,-2.17642917021976e-07,0,14392,14396,0,12,28800,28788,1.74411596276514e-11,5.27722310295076e-11,-1.10668664663252,5.27722310295076e-11,1.74411596276514e-11,3.79462630309121e-10,4.44089209850063e-16,0,0,1,0,1.1406400563267,0.000179876663662591,3.35178005652402,71676.9709089869,0,0,0.519877544469874,4.87837605422925e-06,5.27722310295076e-11,5.27722310295076e-11,3,0.000684333333333333,0.001328625,29.6358855416667,0.539420375,32.9462455,1.77669533054619e-07,1.16014861141489e-05,3.33841843058735e-11,1,0.999444212866472,2.218172875,0,1,8.61564153353811e-11,21,0.542850791666667,0,4.88498130835069e-15,2.3039296165317e-18,-6.70356011304803,3.5527136788005e-15,9.5105708609574e-16
8,1,1,-7,23,32.4364906666667,0.596905708333333,NaN,NaN,NaN,NaN,0.04,11852.9223043204,80104.5996287945,237899.358866689,68251.6773244741,11852.9223043204,1.10046312113056,13043.7038735304,1190.78156921001,1190.78156956494,-13748.6510010185,21121.8142582002,13043.7038738854,66355.948627776,259021.173124889,0.0399999999989318,6.7882250133142,5.73157610261887e-07,0,14384,14384,0,32,28800,28768,2.4797625681256e-11,5.57649482146871e-11,-1.10046312118632,5.5729865167109e-11,2.99444913309796e-11,4.0279440463408e-10,9.32587340685131e-15,0,0,0.999999999999991,0,1.19700390933026,0.000173106791705514,2.2489072055445,53312.2447538906,0,0,0.0234529111607025,5.57649482146871e-11,5.5729865167109e-11,5.5729865167109e-11,2,0.0006285,0.00129141666666667,32.4364906666667,0.596905708333333,35.9371214166667,1.34372544431335e-07,1.01449209670076e-05,2.7195579122008e-11,1,0.999582869855395,2.32700741666667,0,1,8.29245561106973e-11,22,0.567577125,0,0,3.08997619158369e-18,-4.497814411089,3.5527136788005e-15,2.12869483806761e-15
9,1,1,-7,22,30.9767335833333,0.562276625,NaN,NaN,NaN,NaN,0.04,13058.8597266687,63424.1520926021,219105.728707943,50365.2923659334,13058.8597266687,1.09866358521272,14347.2936460919,1288.43391942319,1288.43391942578,-17654.1229721219,-15546.6313756009,14347.2936460945,45770.0291204802,203559.097332342,0.0399999999998436,6.78822508848792,-3.53317838902578e-07,0,14400,14396,0,4,28800,28796,2.63753463514149e-13,6.96731561333763e-12,-1.09866358521969,6.96731561333763e-12,3.34192650371075e-13,5.73483156619785e-11,2.22044604925031e-16,0,0,1,0,1.26706450000095,0.000170661206963596,1.20311941976888,31422.7354743857,0,0,0.11839297305091,6.96731561333763e-12,6.96753765794256e-12,6.96753765794256e-12,2,0.00052225,0.00130420833333333,30.9767335833333,0.562276625,34.6265686666667,3.5906469541105e-08,2.28454882789109e-06,1.17195142479432e-11,1,0.999861091818308,2.49150229166667,0,1,1.86877180397005e-11,24,0.586566666666667,2.22044604925031e-16,8.88178419700125e-16,3.08997619158369e-18,-2.40623883953776,3.5527136788005e-15,2.06692639469841e-15
10,1,1,-7,23,32.3326955,2.18154395833333,NaN,NaN,NaN,NaN,0.04,14407.7197308133,45439.7614449522,200666.570481055,31032.0417141389,14407.7197308133,1.09838921458648,15825.2839591101,1417.56422829687,1417.56422843196,-16069.1427114398,-13452.8484485457,15825.2839592452,29370.6187335124,187213.722032509,0.0399999999999628,6.78822509095244,1.00099452560176e-07,0,14396,14400,0,4,28800,28796,7.21532463406523e-12,5.49515988268467e-12,-1.09838921459198,5.49427170426497e-12,9.37605548756437e-12,4.08452029615119e-11,2.22044604925031e-16,0,0,1,0,1.29932355633196,0.000168830001708739,0.470072122006172,13545.3347742672,0,0,4.0055503682148,5.49515988268467e-12,5.49427170426497e-12,5.49427170426497e-12,2,0.000586333333333333,0.00163433333333333,32.3326955,2.18154395833333,37.359567875,7.17311799860704e-09,3.64324985804854e-07,2.39364084109184e-12,1,1,2.277004125,0,1,7.88791254535681e-12,21,0.55804275,2.22044604925031e-16,4.44089209850063e-16,2.42590236093632e-18,-0.940144244012345,0,2.36643025777008e-16
