element,rho,delta,scheme,raw_analytic,FE_FD,filtered_analytic,raw_subspace_FD,filtered_subspace_FD,abs_error,relative_error,error_over_raw_interior_RMS
9.156000000000000000e+03,5.994923444542703539e-01,1.000000000000000021e-03,0.000000000000000000e+00,1.660523295685489842e-01,1.660523321334039792e-01,1.652631138647637499e-01,1.660523321056081303e-01,1.652631163153658045e-01,2.564854995057430642e-09,1.544606451304628321e-08,7.744114251641076249e-10
9.156000000000000000e+03,5.994923444542703539e-01,2.999999999999999737e-04,0.000000000000000000e+00,1.660523295685489842e-01,1.660520138102583865e-01,1.652631138647637499e-01,1.660523297968843348e-01,1.652631140853179637e-01,3.157582905977118770e-07,1.901558932766203378e-06,9.533748625180316668e-08
9.156000000000000000e+03,5.994923444542703539e-01,1.000000000000000048e-04,0.000000000000000000e+00,1.660523295685489842e-01,1.660524321778211743e-01,1.652631138647637499e-01,1.660523295939195787e-01,1.652631138892697582e-01,1.026092721900795368e-07,6.179333494247717770e-07,3.098100784055905809e-08
9.766000000000000000e+03,5.648564103605697717e-01,1.000000000000000021e-03,0.000000000000000000e+00,1.594495395232740642e-01,1.594495479366742074e-01,1.600245919989023435e-01,1.594495396486053373e-01,1.600245921455641096e-01,8.413400143236771100e-09,5.276528341437266417e-08,2.540273507841719187e-09
9.766000000000000000e+03,5.648564103605697717e-01,2.999999999999999737e-04,0.000000000000000000e+00,1.594495395232740642e-01,1.594494400099696063e-01,1.600245919989023435e-01,1.594495395345538746e-01,1.600245920121018961e-01,9.951330445789885459e-08,6.241053110308505073e-07,3.004623656173031277e-08
9.766000000000000000e+03,5.648564103605697717e-01,1.000000000000000048e-04,0.000000000000000000e+00,1.594495395232740642e-01,1.594499372004065663e-01,1.600245919989023435e-01,1.594495395245273672e-01,1.600245920003689482e-01,3.976771325020500569e-07,2.494062596173274381e-06,1.200713941059238955e-07
1.072800000000000000e+04,5.282350726767922611e-01,1.000000000000000021e-03,0.000000000000000000e+00,1.550600893320820128e-01,1.550600245536770672e-01,1.573200963790007678e-01,1.550600863410077079e-01,1.573200934042177090e-01,6.477840494567566054e-08,4.177632376242477637e-07,1.955866393636615559e-08
1.072800000000000000e+04,5.282350726767922611e-01,2.999999999999999737e-04,0.000000000000000000e+00,1.550600893320820128e-01,1.550603459084717028e-01,1.573200963790007678e-01,1.550600890628852924e-01,1.573200961112702634e-01,2.565763896900108421e-07,1.654690067542254698e-06,7.746858515830196810e-08
1.072800000000000000e+04,5.282350726767922611e-01,1.000000000000000048e-04,0.000000000000000000e+00,1.550600893320820128e-01,1.550594970467500389e-01,1.573200963790007678e-01,1.550600893021712723e-01,1.573200963492529525e-01,5.922853319739740385e-07,3.819714889403393667e-06,1.788298086720850010e-07
1.891200000000000000e+04,9.988239439480570692e-01,1.000000000000000021e-03,0.000000000000000000e+00,6.096868921363848282e-01,6.096866818552371114e-01,6.117939991067655736e-01,6.096867193987931532e-01,6.117938321471710905e-01,2.102811477167065846e-07,3.449002273607473627e-07,6.349057689508590032e-08
1.891200000000000000e+04,9.988239439480570692e-01,2.999999999999999737e-04,0.000000000000000000e+00,6.096868921363848282e-01,6.096867946325801313e-01,6.117939991067655736e-01,6.096868765899939868e-01,6.117939840803945373e-01,9.750380469686348306e-08,1.599243906248393259e-07,2.943950457227705019e-08
1.891200000000000000e+04,9.988239439480570692e-01,1.000000000000000048e-04,0.000000000000000000e+00,6.096868921363848282e-01,6.096869401517324150e-01,6.117939991067655736e-01,6.096868904090080310e-01,6.117939974371687795e-01,4.801534758680503501e-08,7.875410838923558084e-08,1.449736294102469804e-08
2.624300000000000000e+04,2.278627765646021926e-03,1.000000000000000021e-03,0.000000000000000000e+00,2.653700860872765374e-04,2.500964910723268986e-04,2.691170005196334681e-04,2.653700860872752363e-04,2.691170005196321128e-04,1.527359501494963880e-05,5.755582793882187825e-02,4.611584867643448028e-06
2.624300000000000000e+04,2.278627765646021926e-03,2.999999999999999737e-04,0.000000000000000000e+00,2.653700860872765374e-04,2.645598821497212034e-04,2.691170005196334681e-04,2.653700860872763747e-04,2.691170005196333054e-04,8.102039375553339411e-07,3.053109525272072831e-03,2.446263773838601652e-07
2.624300000000000000e+04,2.278627765646021926e-03,1.000000000000000048e-04,0.000000000000000000e+00,2.653700860872765374e-04,2.655724529176950455e-04,2.691170005196334681e-04,2.653700860872765374e-04,2.691170005196334681e-04,2.023668304185080938e-07,7.625834298141368102e-04,6.110099239619239158e-08
3.990500000000000000e+04,9.996634439226170787e-01,1.000000000000000021e-03,-1.000000000000000000e+00,3.564924384488656894e+00,3.564967712009092793e+00,3.567401711625970417e+00,3.564922632918881895e+00,3.567399927660657166e+00,4.332752043589849222e-05,1.215383995924875007e-05,1.308195859580741818e-05
3.990500000000000000e+04,9.996634439226170787e-01,2.999999999999999737e-04,0.000000000000000000e+00,3.564924384488656894e+00,3.564945224449426853e+00,3.567401711625970417e+00,3.564924226846265309e+00,3.567401551067943100e+00,2.083996076995831004e-05,5.845835289139671079e-06,6.292248002841244256e-06
3.990500000000000000e+04,9.996634439226170787e-01,1.000000000000000048e-04,0.000000000000000000e+00,3.564924384488656894e+00,3.564745802577817813e+00,3.567401711625970417e+00,3.564924366972824998e+00,3.567401693786178107e+00,1.785819108390818144e-04,5.009416514305593300e-05,5.391956751860208256e-05
3.996600000000000000e+04,2.278734691379354083e-03,1.000000000000000021e-03,0.000000000000000000e+00,1.821848214746533967e-03,1.711223376332782209e-03,1.819650172637942266e-03,1.821848214747157817e-03,1.819650172638563514e-03,1.106248384137517582e-04,6.072121569641437955e-02,3.340116261528631585e-05
3.996600000000000000e+04,2.278734691379354083e-03,2.999999999999999737e-04,0.000000000000000000e+00,1.821848214746533967e-03,1.861390046542510607e-03,1.819650172637942266e-03,1.821848214746590129e-03,1.819650172637997778e-03,3.954183179597664001e-05,2.170424049375481446e-02,1.193893860422157367e-05
