iteration,final_core_gray_fraction,final_core_mid_fraction,domain_L1_to_final,final_core_L1_to_final,threshold_flip_to_final
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.285099658291377511e-01,0.000000000000000000e+00,2.701999999999999957e-01
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.117049713544736478e-01,0.000000000000000000e+00,2.587999999999999745e-01
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.945334745543090382e-01,0.000000000000000000e+00,2.514000000000000123e-01
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.773204597429567486e-01,0.000000000000000000e+00,2.426000000000000101e-01
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.600202797654289411e-01,0.000000000000000000e+00,2.366000000000000048e-01
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.433247878875130277e-01,0.000000000000000000e+00,2.214000000000000135e-01
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.272222775974556463e-01,0.000000000000000000e+00,2.184000000000000108e-01
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.123949616761336201e-01,0.000000000000000000e+00,2.179999999999999993e-01
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.989418846172285926e-01,0.000000000000000000e+00,2.013999999999999957e-01
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.863779454021053161e-01,0.000000000000000000e+00,1.975999999999999979e-01
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.749137749626313632e-01,0.000000000000000000e+00,1.867999999999999938e-01
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.636776099949246777e-01,0.000000000000000000e+00,1.721999999999999920e-01
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.545841670603127271e-01,0.000000000000000000e+00,1.723999999999999977e-01
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.484241994574964418e-01,0.000000000000000000e+00,1.693999999999999950e-01
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.436800513629643339e-01,0.000000000000000000e+00,1.706000000000000016e-01
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.398005686355504096e-01,0.000000000000000000e+00,1.731999999999999929e-01
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.364711940953090619e-01,0.000000000000000000e+00,1.787999999999999867e-01
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.335117637974614413e-01,0.000000000000000000e+00,1.804999999999999938e-01
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.307051909846298265e-01,0.000000000000000000e+00,1.786000000000000087e-01
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.285120934776155022e-01,0.000000000000000000e+00,1.786000000000000087e-01
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.264821738548187524e-01,0.000000000000000000e+00,1.784999999999999920e-01
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.247253121791604746e-01,0.000000000000000000e+00,1.791999999999999982e-01
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.233729550371685857e-01,0.000000000000000000e+00,1.799999999999999933e-01
