iteration,Mnd_percent,gray_fraction,mid_fraction,broad_core_fraction,omega1_preupdate,omega2_preupdate,omega3_preupdate,move,stage,exA,exB,exE,gap12_preupdate,gap23_preupdate,warning
1.000000000000000000e+00,9.974719156651696039e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.821560761702113496e+01,2.513577241429392757e+02,3.853906171064376736e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.684753869732014131e+00,5.332356243298816967e-01,0.000000000000000000e+00
2.000000000000000000e+00,9.901769251766464208e+01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.344161107177028214e+01,2.640506470614841987e+02,3.982620524641729958e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.595382007666506841e+00,5.082790248623691998e-01,0.000000000000000000e+00
3.000000000000000000e+00,9.782663237823754798e+01,1.000000000000000000e+00,7.411111111111111649e-01,1.000000000000000000e+00,7.870106850470813242e+01,2.759650241723749104e+02,4.090000678111119328e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.506496537030699301e+00,4.820721177899699450e-01,0.000000000000000000e+00
4.000000000000000000e+00,9.624094613569366174e+01,1.000000000000000000e+00,6.277777777777777679e-01,1.000000000000000000e+00,8.403977032637332911e+01,2.869122419702305820e+02,4.188344618144450919e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.414005545897974336e+00,4.597998988760559347e-01,0.000000000000000000e+00
5.000000000000000000e+00,9.426730854849118657e+01,1.000000000000000000e+00,5.534722222222222543e-01,1.000000000000000000e+00,8.933657821614086458e+01,2.959582230710217345e+02,4.284068892552216425e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.312844850123771057e+00,4.475248729697093863e-01,0.000000000000000000e+00
6.000000000000000000e+00,9.201688291973769651e+01,1.000000000000000000e+00,4.934722222222222010e-01,1.000000000000000000e+00,9.464431667486961430e+01,3.024004189413392396e+02,4.385187483510330821e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.195124964345946061e+00,4.501261270940851156e-01,0.000000000000000000e+00
7.000000000000000000e+00,8.957738458216070399e+01,1.000000000000000000e+00,4.488888888888888928e-01,1.000000000000000000e+00,9.980174593434199437e+01,3.047852411188285373e+02,4.489305850262597346e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.053906905790425341e+00,4.729406954821422926e-01,0.000000000000000000e+00
8.000000000000000000e+00,8.694417943076453525e+01,1.000000000000000000e+00,4.209722222222222476e-01,1.000000000000000000e+00,1.047457550011140626e+02,3.018977054265603783e+02,4.595376806855865084e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.882195134526926106e+00,5.221635422378976266e-01,0.000000000000000000e+00
9.000000000000000000e+00,8.428621362344564716e+01,1.000000000000000000e+00,3.948611111111111072e-01,1.000000000000000000e+00,1.095605597656376347e+02,2.921741215074040383e+02,4.706767571691596004e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.666781934415060951e+00,6.109460849606151989e-01,0.000000000000000000e+00
1.000000000000000000e+01,8.167057696829547808e+01,1.000000000000000000e+00,3.765277777777777946e-01,1.000000000000000000e+00,1.140883652921576470e+02,2.756767322505378388e+02,4.815676757312176051e+02,4.000000000000000083e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.416343958865432739e+00,7.468564423259484997e-01,0.000000000000000000e+00
