outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,moveDescent,maxAbs,rms,l2,r_rho,Neff,u_min,u_P50,u_P75,u_P90,u_P95,u_P975,u_P99,u_max,u_mean,u_RMS,nActive_1e4,nActive_epsRMS,nActive_1e3,nActive_1e2,beta,nInner,innerConv,multN,degen
1,68.2415426134049,251.674531475403,2.68799593088282,0.499878753748315,99.6860108527891,1,1,0.04,1,0,0.0399678081845632,0.0280173672572345,3.96225407571688,0.99919520461408,9827.97350025098,0.000178032897667944,0.587411535933524,0.988510884829572,0.996248746306864,0.997231756183477,0.997722779142342,0.997962537824224,0.99919520461408,0.621552814235023,0.700434181430862,19976,19640,19596,17248,5398.68905128745,21,1,2,1
2,73.8147030136855,265.984065842484,2.60340223536725,0.499884720946299,98.7567469708268,1,1,0.04,1,0,0.0399627380169713,0.0278564452352926,3.93949626512541,0.999068450424283,9717.86617955381,0.000248040901057922,0.596464626294608,0.988453764352563,0.995949419326759,0.997027879836853,0.997548563560867,0.997801256264117,0.999068450424283,0.609426946963531,0.696411130882315,19964,19712,19664,16708,6267.02410002102,21,1,2,1
3,79.4954378406789,279.452920828386,2.51533280926703,0.499874140749882,97.2663806547112,1,0.6234,0.04,1,0,0.0399573109926705,0.0272461177742561,3.85318292783677,0.998932774816763,9299.22481438667,0.000291794430792509,0.565191024792337,0.987237976876917,0.99563906801086,0.996825810682443,0.997368253639195,0.997638643061652,0.998932774816763,0.584795547239899,0.681152944356404,19960,19640,19596,14824,7204.48616931987,20,1,2,1
4,85.1910805019874,291.062307142702,2.41658194059309,0.499860597739652,95.2861681919569,1,0.538,0.04,1,0,0.0399514225933664,0.0264788013400527,3.74466799704855,0.99878556483416,8785.41217486835,3.96409764859487e-05,0.524504126005964,0.98313003204911,0.995252651263939,0.996595112383918,0.997177567089412,0.99747066739721,0.99878556483416,0.556584632365909,0.661970033501319,19972,19588,19500,14060,8199.15087898792,19,1,2,1
5,90.8337091117654,299.686402541075,2.29928619530806,0.499866990915319,92.8575505205704,1,0.4686,0.04,1,0,0.0399449279147869,0.0259908092219827,3.67565548987796,0.998623197869673,8467.32666642391,0.000186860120894759,0.502173098923656,0.976585647078551,0.994841285931691,0.996330266731937,0.996971231780193,0.997301838532779,0.998623197869673,0.53700562456543,0.649770230549567,19884,19112,18996,13840,9245.69345188857,19,1,2,1
6,96.4071242111969,303.85752439683,2.15181608084457,0.499854467367193,90.1322165943209,1,0.4204,0.04,1,0,0.0399376511626137,0.0247875415227642,3.50548773993794,0.998441279065343,7704.27660033636,1.41725016228258e-05,0.425241622056234,0.930710380420495,0.994308479251303,0.996009376866414,0.996764205097671,0.997146845100479,0.998441279065343,0.501347447656292,0.619688538069105,19920,19312,19224,12784,10309.9806732649,18,1,2,1
7,101.759342060513,301.088206539349,1.95882619170536,0.499867064067132,87.1770639924276,1,0.3854,0.04,1,0,0.039929423501868,0.0239125355300498,3.3817432057325,0.9982355875467,7172.90654437182,8.3086379477081e-05,0.373437480805331,0.894254745865924,0.993620837204804,0.995610371851483,0.996541533209354,0.997012537540503,0.9982355875467,0.4729573065163,0.597813388251247,19924,19376,19296,11572,11386.9460762271,18,1,2,1
8,106.912544336565,289.211682556255,1.70512393424857,0.499858059699119,84.1756648559785,1,0.3684,0.04,1,0,0.0399198271187177,0.0224643949979401,3.17694520765932,0.997995677967941,6333.47624121579,3.88204672061389e-05,0.28327042607531,0.796967487944234,0.991253424028523,0.995075581525392,0.996288773734982,0.996925090639859,0.997995677967941,0.427523088632758,0.561609874948502,19924,19300,19168,10524,12448.9689539933,17,1,2,1
9,111.783883309179,267.577579323762,1.39370445365258,0.49984472679391,81.1978514795983,1,0.3584,0.04,1,0,0.0399086071443106,0.021142427622692,2.98999078855026,0.997715178607766,5613.14885448904,8.5960542006217e-05,0.227455188520822,0.733669565057339,0.989786542413492,0.99430604724622,0.995960680022155,0.996845044189645,0.997715178607766,0.386775115416296,0.5285606905673,19756,18304,18120,9660,13501.9195336268,16,1,2,1
10,116.429707921846,238.895463546075,1.05184284844581,0.499856741623448,78.1494880771479,1,0.3464,0.04,1,0,0.0398966183064148,0.020681389435481,2.92479014283769,0.997415457660371,5374.24237702717,2.14562747263226e-05,0.211599142509551,0.704065422348043,0.988711237300114,0.992304478179548,0.995591673260676,0.996801498195993,0.997415457660371,0.371722350714557,0.517034735887025,19808,18236,17968,9292,14590.4991158462,16,1,2,1
11,121.053834005836,208.011015394081,0.718334797921834,0.499838556607206,75.0884912854156,0.8232,0.3386,0.04,1,0,0.0399004255709704,0.0198464303446107,2.80670909580415,0.997510639274259,4948.11458898762,3.62476990411033e-05,0.200796011112578,0.650373506226741,0.976574585786496,0.991660593810708,0.995160148160597,0.996744968382224,0.997510639274259,0.352516011856089,0.496160758615269,19728,17560,17172,8872,15709.8408128305,15,1,2,1
12,126.129972016206,182.99837130983,0.450871417669996,0.499879652319268,71.7785932542688,0.7844,0.3326,0.04,1,0,0.0399004066785022,0.0202114189099578,2.85832627372663,0.997510166962554,5131.79097147617,3.86052154337439e-05,0.210740485701604,0.668009658524747,0.992942514479292,0.995090505602234,0.995795893174291,0.996639478031141,0.997510166962554,0.361807830660208,0.505285472748943,19700,17788,17572,9144,17217.4076889942,15,1,2,1
13,131.104461867804,167.640070302826,0.27867555317729,0.499883603341549,68.9692691179891,0.7604,0.332,0.04,1,0,0.039823568960008,0.0176148765970608,2.49111973830918,0.995589224000199,3912.9909956387,0.000149649906231413,0.214451063047185,0.533180618457301,0.807517035468901,0.991830910087784,0.994042784250734,0.994730058264007,0.995589224000199,0.323118052443849,0.44037191492652,19892,18808,18552,9352,18209.2657542876,15,1,2,1
