outer,omega1,omega2,gap12,volume,Mnd_pct,gray_frac,mid_frac,move,stage,beta,l2,rms,maxAbs,tolOuter,epsRMS,stopRaw,settledMove,stopAdmitted,moveDescent,nActive_epsRMS,nActive_1e4,nActive_1e3,nActive_1e2,nInner,innerConv,multN,degen
1,68.3985922143369,253.385066870241,2.70453628747537,0.499978097703904,99.4592349748065,1,1,0.04,1,5501.1067288552,2.07993273966924,0.0367683636158008,0.0399875520422365,0.05,0.000883883476483184,0,0,0,0,3184,3200,3184,3060,22,1,2,1
2,74.5163028428069,270.84838001057,2.63475333152167,0.499969906277372,97.9960173006832,1,1,0.04,1,6449.03674842529,1.94558175338925,0.0343933512793589,0.0399863663004209,0.05,0.000883883476483184,0,1,0,0,3172,3200,3164,2912,18,1,2,1
3,80.5812946577507,286.206459977108,2.55177291693687,0.499974843013813,95.7916358025895,1,0.33375,0.04,1,7448.34760794283,1.86357604674773,0.0329436814978034,0.0399851056386527,0.05,0.000883883476483184,0,1,0,0,3144,3192,3132,2704,18,1,2,1
4,86.5186241902007,298.966206998194,2.4555127268431,0.499961794537465,93.0591025565724,1,0.30875,0.04,1,8486.17775554629,1.82070635072959,0.0321858451787577,0.0399837365649781,0.05,0.000883883476483184,0,1,0,0,3160,3192,3156,2444,16,1,2,1
5,92.3294805473307,307.625812653206,2.33182652853232,0.499969089088074,89.9374703205674,1,0.2975,0.04,1,9546.79975628659,1.70293621399498,0.0301039436211,0.0399823190745481,0.05,0.000883883476483184,0,1,0,0,3036,3188,3036,2204,15,1,2,1
6,97.8441417153147,309.317579954979,2.16132958532114,0.499963196293195,86.6400844162349,1,0.27,0.04,1,10600.3145572634,1.62386330720186,0.0287061189060612,0.0399811630004157,0.05,0.000883883476483184,0,1,0,0,3128,3196,3120,2164,15,1,2,1
7,103.087428055453,301.287622709658,1.92264176527508,0.499965507292198,83.2636837610134,1,0.23625,0.04,1,11672.0650552658,1.6016258341405,0.0283130122061076,0.039980515727189,0.05,0.000883883476483184,0,1,0,0,3144,3192,3136,2168,16,1,2,1
8,108.227942501584,281.982972035587,1.6054544281063,0.499967789425659,79.7568639947417,1,0.24625,0.04,1,12782.1596667368,1.54014210699631,0.0272261231962007,0.0399810212158638,0.05,0.000883883476483184,0,1,0,0,3116,3200,3112,2096,16,1,2,1
9,113.294195751392,252.271149055987,1.22669085016111,0.499963817354413,76.0892772812986,1,0.2525,0.04,1,13970.299903103,1.54829426817434,0.0273702344074585,0.0399821840324617,0.05,0.000883883476483184,0,1,0,0,3104,3184,3076,2168,16,1,2,1
10,118.542880584516,216.670803048307,0.827784190665333,0.499963019940599,71.9384800398426,1,0.255,0.04,1,15295.951823096,1.56922807372219,0.0277402953039316,0.0399833237292409,0.05,0.000883883476483184,0,1,0,0,3100,3188,3096,2168,17,1,2,1
