outer,omega1,omega2,omega3,omega4,omega5,gap12,N,nInner,cumInner,innerConv,dxNorm2,dxMax,moveMax,moveMean,vol,volErr,Mnd,beta,tOuter,tEig,tGrad,tInner
1,68.1942193318771,251.092267168345,381.080536444694,505.181132110209,792.201827336537,2.68201688689136,2,21,21,1,14.6988627600339,0.0999496582853748,0.1,0.100000000000016,0.499765394100215,-0.000234605899785079,0.977953411587926,6557.41723620393,4.689858125,0.433847333333333,0.0204435,4.23194091666667
2,82.5333558107354,285.902879567784,407.031659516016,549.726329851029,844.039094194229,2.46408887363569,2,19,40,1,13.9009196850153,0.0999291131176845,0.1,0.100000000000016,0.499735775520566,-0.00026422447943425,0.918974387976487,9104.35111544849,3.34796233333333,0.363250125,0.0192877083333333,2.96271233333333
3,96.4366894630461,304.38536784451,432.983177903607,548.955833972251,820.142573266026,2.15632327840482,2,17,57,1,12.0367260174827,0.0999018943517529,0.1,0.0971622448979752,0.499714983064055,-0.000285016935945348,0.843415641287552,11652.5707672069,2.51535595833333,0.348500708333333,0.0175628333333333,2.14794054166667
4,108.28035623603,275.31391228481,459.187174019856,494.741347290459,743.883447331608,1.5426025722032,2,15,72,1,10.0178517347984,0.0998608715950451,0.1,0.0952365306122574,0.499674265415614,-0.000325734584386228,0.775403380874982,13897.1535383464,1.95395008333333,0.363094291666667,0.0176463333333333,1.57206629166667
5,118.661693827245,203.718985870484,466.933008081683,480.548370143166,688.511647388122,0.71680497134206,2,14,86,1,9.27387765632019,0.0998079031504138,0.1,0.0930496326530733,0.499777865392508,-0.000222134607491709,0.703712516498942,16428.6369515369,1.7200485,0.431031291666667,0.0178726666666667,1.26965054166667
6,129.325108079767,173.558318371795,466.8024774105,475.514476709849,509.118890725683,0.342031110190491,2,15,101,1,7.5676058986934,0.0994491069907188,0.1,0.0931943244898057,0.499824097910369,-0.000175902089631363,0.661544384784258,18368.2839205694,1.94052091666667,0.359426541666667,0.017912125,1.56190595833333
7,135.889976754421,156.215970663151,397.084671031254,454.856718736581,544.365515649911,0.149576844401574,2,15,116,1,6.73835782433647,0.0994524825049858,0.1,0.0937010587755217,0.499885978326806,-0.000114021673193854,0.634994880700747,19713.3950439591,3.869981,0.352533291666667,0.018090375,3.49822525
8,140.668032474635,148.774674040325,379.392933251865,449.948574582113,577.371402128699,0.0576295937540162,2,20,136,1,5.96404779400124,0.0995046862323795,0.1,0.0950890132245007,0.499924900734896,-7.50992651043503e-05,0.609666806857161,20793.0956825872,4.71756025,0.360483291666667,0.0177711666666667,4.33820166666667
9,144.369759089813,146.256515877504,377.122515898927,449.864098143226,610.216446864705,0.013068919693337,2,22,158,1,4.26609838965462,0.0994177274203736,0.1,0.0940408432163381,0.499963105494504,-3.68945054958769e-05,0.591316698705195,21445.521092172,3.73884629166667,0.360421416666667,0.0178649166666667,3.35944558333333
10,146.454438834821,146.59984743516,381.736070404487,453.797122083371,632.796126410434,0.000992858949823864,2,25,183,1,3.87662740428102,0.0995018889517927,0.1,0.0910371802840931,0.499954469476185,-4.55305238150627e-05,0.574908610075511,21910.3943769424,4.6583815,0.359066541666667,0.018291875,4.2799115
