outer,omega1,omega2,omega3,lambda1,lambda2,gap12,dOff,volume,Mnd,beta,box_max,box_mean,N,multJ,max_abs_drho,l2_drho,rms_drho,pred_gain,real_gain,gain_ratio,stop_metric,stop_eps,stop_raw,nInner,innerConv,spike
1,68.21560761702113,251.35772414293928,385.3906171064377,4653.369122559392,63180.70548631796,2.684753869732014,58527.336363758564,0.49983007610162533,0.9750868765513135,6612.384373182439,0.1,0.10000000000001322,2,0,0.09995896260291257,13.393076152645488,0.0789194580706955,1959.015250623047,2215.353579509272,1.1308506040495085,13.393076152645488,0.15000000000000002,False,21,1,False
2,82.87775758349561,287.95188736331954,409.35302440769794,6868.722702068664,82916.28943609787,2.4744169697547735,76047.5667340292,0.49979136998694784,0.9109165698811615,9199.403389748815,0.1,0.10000000000001322,2,0,0.09994245960650794,12.411293431999882,0.07313424790885979,2330.680687680151,2494.176887870133,1.0701495494660482,12.411293431999882,0.15000000000000002,False,18,1,False
3,96.762077230384,305.8743384341717,436.06865353557777,9362.899589938797,93559.11091254221,2.1610972727043207,84196.21132260341,0.4997630262433141,0.8334751321163051,11705.977470855363,0.1,0.09702916666667957,2,0,0.09991965334996239,10.603350069554242,0.06248083947897212,2343.077880916566,2398.123493803654,1.0234928652331248,10.603350069554242,0.15000000000000002,False,16,1,False
4,108.44825071776147,272.065045555021,461.8800609592363,11761.023083742451,74019.38901285567,1.5087084738976122,62258.36592911321,0.499761367993067,0.7640222707531457,14014.528468467712,0.1,0.09424611111112137,2,1,0.09988471126636096,9.170516986055516,0.05403778956521895,2253.5053847252602,2462.7498231865666,1.0928528681935308,9.170516986055516,0.15000000000000002,False,15,1,False
5,119.26346006606138,196.72785235010534,458.8488872833924,14223.772906929018,38701.847890284844,0.6495232675719416,24478.074983355826,0.49982530319785207,0.6842323650197021,16817.365940182546,0.1,0.09262666666667389,2,0,0.09985168167769812,9.016166980692848,0.05312827343631794,2593.593033253528,2950.8731948464156,1.1377549048798523,9.016166980692848,0.15000000000000002,False,19,1,False
6,131.05207400791272,171.3052644552177,464.0051838685821,17174.646101775434,29345.493630072073,0.3071541656400993,12170.84752829664,0.49986015893860464,0.64392387948697,18879.24901800883,0.1,0.09386034027778761,2,1,0.09959459692737807,7.063184511709819,0.04162021387501506,1704.602916233398,1770.1743799505384,1.0384672952819014,7.063184511709819,0.15000000000000002,False,16,1,False
7,137.64018483613705,152.41583802256633,386.5891164798585,18944.820481725972,23230.587680121178,0.10734984992950965,4285.767198395206,0.4999165223489542,0.6153862737623561,20196.250707660776,0.1,0.09318855277778813,2,0,0.09959478500310748,6.074466827346996,0.035794139047581615,1251.4302259348042,1339.3436729114692,1.07025037845078,6.074466827346996,0.15000000000000002,False,16,1,False
8,142.42248472287457,145.26961049007357,368.33339978429433,20284.16415463744,21103.259731937695,0.0199907042258035,819.0955773002534,0.49996222876578966,0.5945789947671515,21056.24983052358,0.1,0.09264927872222828,2,0,0.09964625530668451,4.435292304281689,0.026135210540850752,772.0856758861373,804.3424715202782,1.0417787774616063,4.435292304281689,0.15000000000000002,False,21,1,False
9,145.21882325014798,145.28153025282066,374.163026769054,21088.50662615772,21106.723032601243,0.00043181043110826446,18.216406443523738,0.4999696407818986,0.5761345765760945,21708.468791548756,0.1,0.09108944109167472,2,0,0.09957170777069181,3.805203669209992,0.022422377652452644,619.9621653910363,430.61676971272027,0.6945855630417578,3.805203669209992,0.15000000000000002,False,18,1,False
10,146.6939787307933,147.45307909670635,380.10229859409276,21519.12339587044,21742.410535099538,0.005174720683703805,223.2871392290981,0.4999517587295078,0.5604437277496302,22168.30751974916,0.1,0.08592693463778409,2,0,0.09961702131749252,3.309417894623626,0.01950093195890394,649.1841238787201,641.4648661126921,0.9881092936778748,3.309417894623626,0.15000000000000002,False,20,1,False
