outer,omega1,omega2,gap12,volume,volErr,Mnd,gray,mid,move,stage,moveChanged,descent,beta,betaStallRel,betaStallFires,prodStageShadow,prodMoveShadow,prodTol,prodStopRaw,prodSettled,prodStopAdmit,exA,exB,exE,exNA,exNB,exDecl,exAmp,exCos,exNet,exMedcos,exMednet,exTol,exStageStart,cosT,net_ratio,cosT_unsat,net_ratio_unsat,boundFrac,revFrac,maxAbs,ratio,l2,rms,stepNorm,path_W,net_W,nInner,cumInner,innerConv,multN,multJ,degen,tOuter
1,68.215607617021135,251.35772414293928,2.6847538697320141,0.49982491563797832,-0.00017508436202168243,99.747191566517103,1,1,0.040000000000000001,1,1,0,5347.3779620352525,NaN,0,1,0.040000000000000001,0.15000000000000002,0,0,0,0,0,0,0,0,0,4.2664044827910423,NaN,NaN,NaN,NaN,0.15000000000000002,1,NaN,NaN,NaN,NaN,0.23666666666666666,NaN,0.039958870541203131,0.99897176353007822,4.2664044827910423,0.025140029508885258,0.025140029508885258,NaN,NaN,22,22,1,2,0,1,4.1703810416666665
2,73.441611071770282,264.0506470614842,2.5953820076665068,0.49980790148716675,-0.00019209851283324975,99.017692517664628,1,1,0.040000000000000001,1,0,0,6144.8743750400881,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,4.1586366118969647,0.99280879850602277,NaN,NaN,NaN,0.15000000000000002,1,0.99280879850602277,NaN,NaN,NaN,0.21847222222222223,0.034305555555555554,0.039951952620699116,0.99879881551747784,4.1586366118969647,0.024505001239691602,0.024505001239691602,NaN,NaN,21,43,1,2,0,1,2.2896352499999999
3,78.701068504708132,275.96502417237491,2.5064965370306993,0.49980929894195525,-0.00019070105804475102,97.826632378237761,1,0.74111111111111116,0.040000000000000001,1,0,0,7010.9814254235453,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,4.1388560144185362,0.99412773246368213,NaN,NaN,NaN,0.15000000000000002,1,0.99412773246368213,NaN,0.98638679173644994,NaN,0.21513888888888888,0.032083333333333332,0.039944583216971127,0.9986145804242782,4.1388560144185362,0.024388442951250616,0.024388442951250616,NaN,NaN,21,64,1,2,0,1,2.1392870416666665
4,84.039770326373329,286.91224197023058,2.4140055458979743,0.49979191177019666,-0.00020808822980333819,96.240946135693761,1,0.62777777777777777,0.040000000000000001,1,0,0,7928.4536994814653,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,4.0119694596139217,0.99446262333897051,NaN,NaN,NaN,0.15000000000000002,1,0.99446262333897051,NaN,0.98813995084308448,NaN,0.19,0.03138888888888889,0.039936598045794233,0.99841495114485579,4.0119694596139217,0.023640756756719439,0.023640756756719433,NaN,NaN,20,84,1,2,0,1,1.8628923749999999
5,89.336578216140865,295.95822307102173,2.3128448501237711,0.49979429980880075,-0.00020570019119925398,94.267308548491371,1,0.55347222222222225,0.040000000000000001,1,0,0,8904.2804142335572,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,3.9712422231709872,0.99528833353949797,NaN,NaN,NaN,0.15000000000000002,1,0.99528833353949797,NaN,0.99003100748931838,NaN,0.18652777777777776,0.033055555555555553,0.03992799821343767,0.99819995533594175,3.9712422231709872,0.023400769214487881,0.023400769214487884,NaN,NaN,20,104,1,2,0,1,1.7263492499999999
6,94.644316674869614,302.40041894133924,2.1951249643459461,0.49978363499181211,-0.00021636500818789095,92.016882919737611,1,0.4934722222222222,0.040000000000000001,1,0,0,9908.4740114142842,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,3.8040670955514173,0.99482050628459284,NaN,NaN,NaN,0.15000000000000002,1,0.99482050628459284,NaN,0.99026506331426989,NaN,0.15041666666666667,0.049861111111111113,0.039918479701878291,0.99796199254695728,3.8040670955514173,0.022415680327941844,0.022415680327941841,NaN,NaN,19,123,1,2,0,1,1.6131715
7,99.801745934341994,304.78524111882854,2.0539069057904253,0.49977672535673751,-0.00022327464326249435,89.577384582160789,1,0.44888888888888889,0.040000000000000001,1,0,0,10921.366354730499,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,3.6109148620313447,0.994547008584309,NaN,NaN,NaN,0.15000000000000002,1,0.994547008584309,NaN,0.99105497980480828,NaN,0.11583333333333333,0.030694444444444444,0.03990775204611182,0.99769380115279549,3.6109148620313447,0.021277519876913755,0.021277519876913755,NaN,NaN,18,141,1,2,0,1,1.4759874583333332
8,104.74575500111406,301.89770542656038,1.8821951345269261,0.49978590599664952,-0.00021409400335048456,86.944179430764521,1,0.42097222222222225,0.040000000000000001,1,0,0,11953.372410686949,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,3.5155941680233345,0.99474265396548167,NaN,NaN,NaN,0.15000000000000002,1,0.99474265396548167,NaN,0.9914831111168978,NaN,0.10611111111111111,0.030833333333333334,0.039895876615033923,0.99739691537584807,3.5155941680233345,0.020715837300909822,0.020715837300909822,NaN,NaN,18,159,1,2,0,1,1.4107876666666668
9,109.56055976563763,292.17412150740404,1.666781934415061,0.49978165178868006,-0.00021834821131994087,84.28621362344569,1,0.39486111111111111,0.040000000000000001,1,0,0,12965.080937383029,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,3.2880392861041501,0.99321332796887618,NaN,NaN,NaN,0.15000000000000002,1,0.99321332796887618,NaN,0.99015419145010097,NaN,0.083333333333333329,0.021111111111111112,0.039882073591564267,0.99705183978910661,3.2880392861041501,0.019374957300100158,0.019374957300100158,NaN,NaN,17,176,1,2,0,1,1.281136625
10,114.08836529215765,275.67673225053784,1.4163439588654327,0.49977873299090547,-0.0002212670090945279,81.670576968295478,1,0.37652777777777779,0.040000000000000001,1,0,0,13950.210128800423,NaN,0,1,0.040000000000000001,0.15000000000000002,0,1,0,0,0,0,0,0,0,3.0634838427835773,0.99345165383822664,0.96031430019993369,NaN,NaN,0.15000000000000002,1,0.99345165383822664,0.96031430019993369,0.99096799532320889,0.91479120520708246,0.059722222222222225,0.021111111111111112,0.03986629823749057,0.99665745593726429,3.0634838427835773,0.018051751660730756,0.018051751660730753,0.22291074613763112,0.21406437718420429,16,192,1,2,0,1,1.2520100833333334
