path,pre_target_sha256,upstream_sha256,post_target_sha256,action
algo/genGrad.m,13f2ab8541b2f626e340a592b99730ee4cba101e4f978a214dd7227adaeb5208,6176f68ba89120e2354f84ab3e849b907dc53c84a11dd6423aef7fcf765eb084,6176f68ba89120e2354f84ab3e849b907dc53c84a11dd6423aef7fcf765eb084,REPLACED
algo/innerLoopRho.m,aded1849467e93201d2a8c78effaa303300e71da4e192cefad4649f55cab35e5,f892f720c29e6ca1c4bd25b33d7e67ba2ab31b7a316e20896da2228e0cd7fcab,f892f720c29e6ca1c4bd25b33d7e67ba2ab31b7a316e20896da2228e0cd7fcab,REPLACED
architecture/+olh/+config/describe.m,e089721ba2b91f5f3968ec9842c3dc857556b69023df1a753910bf8ac33e242f,ba09e574bde8d46d2d9504e7b59d187f797249771c00bdd2999f536825256185,ba09e574bde8d46d2d9504e7b59d187f797249771c00bdd2999f536825256185,REPLACED
architecture/+olh/+config/fromLegacy.m,7d0bad832c906c5304acb2ebf84304739fe3531281a0e007aa395fd58ae96ff8,36fdb3339c39697def1a85d53fbf51031c0c41fc6a1eb25dda473d5937dfc407,36fdb3339c39697def1a85d53fbf51031c0c41fc6a1eb25dda473d5937dfc407,REPLACED
architecture/+olh/+config/schema.m,d7a808995d9a34810442ddf17f15de980aa1e62efe90b3563f3e474ae5f5cf67,3fa03435a0fc54f2863c537b3e926d00023d2df7bbb6eb00001e0ce05eb6584b,3fa03435a0fc54f2863c537b3e926d00023d2df7bbb6eb00001e0ce05eb6584b,REPLACED
architecture/+olh/+config/toLegacy.m,685caacbd3db2bd19e14cc4fe3be0098b7bba423fe2b4a91f0cb83a3e4a21a04,38fd269c0372c1c1b1da3c1b2658bcebfd4a1b41540816d4b1a0a2b08f7a08fe,38fd269c0372c1c1b1da3c1b2658bcebfd4a1b41540816d4b1a0a2b08f7a08fe,REPLACED
architecture/+olh/+config/validate.m,30e495ea8bcc25193de2c64f04984549870e213f9f9df871e52cc4c906cab141,10493fbe6717cfce186e93257e239e1acacb7d4826638b527c54a8d604373e22,10493fbe6717cfce186e93257e239e1acacb7d4826638b527c54a8d604373e22,REPLACED
architecture/+olh/+material/stiffnessInterpolation.m,ABSENT,6dfedb07f21c06ed3476a7979e1c83f1eb2100ccb9b823242124556c84eccd58,6dfedb07f21c06ed3476a7979e1c83f1eb2100ccb9b823242124556c84eccd58,ADDED
architecture/+olh/+move/limit.m,61fa923d430121ead764a229b4f48dfd77617540b4ab6db883ccd9d5904b1c1e,f1d519c81395669393467d44750fdad884f7435aae75113f167ca18f6d4e4773,f1d519c81395669393467d44750fdad884f7435aae75113f167ca18f6d4e4773,REPLACED
architecture/+olh/+presets/duOlhoffAdaptiveMove.m,ABSENT,3e7962dc0ad0a148c3b5a267ec6a25d6ff3ef578d637c685b2d8349f3037b7f3,3e7962dc0ad0a148c3b5a267ec6a25d6ff3ef578d637c685b2d8349f3037b7f3,ADDED
architecture/+olh/+presets/duOlhoffAdaptivePedersen.m,ABSENT,94e924e6ce46ea40e6ed87af9596fb44f5049ef9f20b4da44f2c5e45b1d2ae75,94e924e6ce46ea40e6ed87af9596fb44f5049ef9f20b4da44f2c5e45b1d2ae75,ADDED
architecture/+olh/+presets/duOlhoffOuterAsymptotes.m,ABSENT,59d154c1198001f536129612851f10132f9aa195467687aa2db188b43698844e,59d154c1198001f536129612851f10132f9aa195467687aa2db188b43698844e,ADDED
architecture/+olh/+presets/list.m,d30b9ab76114e39af56e4938f365867cda101d1447389baf3bfbca0ed72610a8,2593695f8801b4eb5c7bb7da61010edd819c8405d43ad2b197f065a89e1c9109,2593695f8801b4eb5c7bb7da61010edd819c8405d43ad2b197f065a89e1c9109,REPLACED
architecture/docs/CONFIG_REFERENCE.md,397939c66043ef012d0f8fa6e383c7224a54724d4b62fea1a2fad79eb617a14b,94a05f13413892aedd7237b47e423f4c06c389723f09dcdf19620883ebc3edca,94a05f13413892aedd7237b47e423f4c06c389723f09dcdf19620883ebc3edca,REPLACED
architecture/docs/MIGRATION_FROM_LEGACY.md,1808da8b98cafc8704183cdbb631d25835c0c4ffbae9c40cb89e856b5f8ce4b5,dd2c9cabf6d82319ebaea209bd0de641753a892e36d77f4ebc537f442137e7ac,dd2c9cabf6d82319ebaea209bd0de641753a892e36d77f4ebc537f442137e7ac,REPLACED
architecture/docs/PRESETS.md,5fc61dde76f71d627249c76f78c4171606ce18db92c4365a7c0b08a52e4ee86d,de0baa086173b00df046beb73e5f7426b3886c95c42482ff78948ef930ae700d,de0baa086173b00df046beb73e5f7426b3886c95c42482ff78948ef930ae700d,REPLACED
architecture/docs/SCIENTIFIC_CONFIG_PROVENANCE.md,22cd312905fe4589b566884614e5b0b8aa2dc91f69e383fdd6f929ef977e8d97,deb3c90cad72b39d7d12304d7badb39d3d52229056bf316b7860183e12fb332c,deb3c90cad72b39d7d12304d7badb39d3d52229056bf316b7860183e12fb332c,REPLACED
architecture/olhoffSolve.m,1e5a114cbf91717e01e5592e86203f401ed5cdb3e5f5ce9a727b8163cdf2fba3,6c891b42a6c3bbdd80e3d1035f05f626bd8e73a2beaa3540532a68ec6e3cd7f7,6c891b42a6c3bbdd80e3d1035f05f626bd8e73a2beaa3540532a68ec6e3cd7f7,REPLACED
fem/assemble2D.m,7b2f1e10228d57237d962689909297351c879c9b613f311500f23dd37bd00878,ebf543df22d774598053fc99d50dbbce33f7d679084e14202d2999cb09da264f,ebf543df22d774598053fc99d50dbbce33f7d679084e14202d2999cb09da264f,REPLACED
fem/eigSolve.m,b0784ceeb15fafe164ba138b963c3ab4dc5a466fc2953c79786809edd16159cd,1f7181e45b57b0db95c1e9faaf2cd6babb1ccd2cad5abaea247c10ae9d029856,1f7181e45b57b0db95c1e9faaf2cd6babb1ccd2cad5abaea247c10ae9d029856,REPLACED
